Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Argentina,SOUTHCOM,South America,1,Fiat Cronos,"37,435",9.80%,126.10%,"16,558",4.80%,3,South America
Argentina,SOUTHCOM,South America,2,Toyota Hilux,"27,073",7.10%,42.00%,"19,064",5.60%,1,South America
Argentina,SOUTHCOM,South America,3,VW Amarok,"18,655",4.90%,44.30%,"12,929",3.80%,5,South America
Argentina,SOUTHCOM,South America,4,Peugeot 208,"15,809",4.10%,50.70%,"10,488",3.10%,7,South America
Argentina,SOUTHCOM,South America,5,VW Gol,"15,222",4.00%,4.50%,"14,571",4.30%,4,South America
Argentina,SOUTHCOM,South America,6,Ford Ranger,"14,905",3.90%,31.40%,"11,341",3.30%,6,South America
Argentina,SOUTHCOM,South America,7,Toyota Etios,"14,058",3.70%,41.30%,"9,947",2.90%,9,South America
Argentina,SOUTHCOM,South America,8,Toyota Yaris,"11,780",3.10%,78.60%,"6,594",1.90%,17,South America
Argentina,SOUTHCOM,South America,9,Toyota Corolla,"9,128",2.40%,110.50%,"4,336",1.30%,26,South America
Argentina,SOUTHCOM,South America,10,Chevrolet Onix,"8,707",2.30%,-47.50%,"16,569",4.80%,2,South America
Argentina,SOUTHCOM,South America,11,Chevrolet Cruze,"8,481",2.20%,41.10%,"6,012",1.80%,19,South America
Argentina,SOUTHCOM,South America,12,Renault Kangoo,"8,477",2.20%,12.30%,"7,551",2.20%,14,South America
Argentina,SOUTHCOM,South America,13,Renault Sandero,"8,172",2.10%,-6.80%,"8,771",2.60%,11,South America
Argentina,SOUTHCOM,South America,14,Jeep Renegade,"7,078",1.90%,15.20%,"6,142",1.80%,18,South America
Argentina,SOUTHCOM,South America,15,Nissan Frontier,"5,722",1.50%,57.20%,"3,639",1.10%,31,South America
Argentina,SOUTHCOM,South America,16,Citroen C4 Cactus,"5,579",1.50%,17.10%,"4,763",1.40%,22,South America
Argentina,SOUTHCOM,South America,17,Chevrolet Tracker,"5,555",1.50%,63.00%,"3,407",1.00%,35,South America
Argentina,SOUTHCOM,South America,18,Nissan Kicks,"5,525",1.40%,11.90%,"4,938",1.40%,21,South America
Argentina,SOUTHCOM,South America,19,VW Nivus,"5,459",1.40%,375.10%,"1,149",0.30%,51,South America
Argentina,SOUTHCOM,South America,20,Peugeot Partner,"5,355",1.40%,48.80%,"3,600",1.10%,32,South America
Argentina,SOUTHCOM,South America,21,Toyota SW4,"4,884",1.30%,93.70%,"2,521",0.70%,37,South America
Argentina,SOUTHCOM,South America,22,Fiat Toro,"4,777",1.30%,-37.40%,"7,628",2.20%,13,South America
Argentina,SOUTHCOM,South America,23,Toyota Corolla Cross,"4,629",1.20%,new,0,0.00%, –,South America
Argentina,SOUTHCOM,South America,24,Renault Logan,"4,576",1.20%,-2.40%,"4,688",1.40%,24,South America
Argentina,SOUTHCOM,South America,25,VW T-Cross,"4,400",1.20%,-55.00%,"9,779",2.90%,10,South America
Argentina,SOUTHCOM,South America,26,Ford Ka,"4,295",1.10%,-58.00%,"10,217",3.00%,8,South America
Argentina,SOUTHCOM,South America,27,Ford Ecosport,"4,135",1.10%,-44.50%,"7,453",2.20%,15,South America
Argentina,SOUTHCOM,South America,28,Mercedes Sprinter,"4,106",1.10%,110.30%,"1,952",0.60%,42,South America
Argentina,SOUTHCOM,South America,29,Jeep Compass,"4,053",1.10%,17.00%,"3,463",1.00%,34,South America
Argentina,SOUTHCOM,South America,30,Renault Alaskan,"3,920",1.00%,7296.20%,53,0.00%,164,South America
Argentina,SOUTHCOM,South America,31,Fiat Strada,"3,727",1.00%,54.80%,"2,408",0.70%,40,South America
Argentina,SOUTHCOM,South America,32,Nissan Versa,"3,195",0.80%,107.70%,"1,538",0.40%,47,South America
Argentina,SOUTHCOM,South America,33,Renault Kwid,"3,168",0.80%,-58.60%,"7,657",2.20%,12,South America
Argentina,SOUTHCOM,South America,34,Citroen Berlingo,"3,114",0.80%,67.50%,"1,859",0.50%,44,South America
Argentina,SOUTHCOM,South America,35,Chevrolet S10,"3,086",0.80%,-32.20%,"4,553",1.30%,25,South America
Argentina,SOUTHCOM,South America,36,Peugeot 2008,"2,957",0.80%,-25.50%,"3,971",1.20%,28,South America
Argentina,SOUTHCOM,South America,37,VW Polo,"2,904",0.80%,-56.50%,"6,670",1.90%,16,South America
Argentina,SOUTHCOM,South America,38,Renault Duster Oroch,"2,710",0.70%,-50.50%,"5,473",1.60%,20,South America
Argentina,SOUTHCOM,South America,39,VW Taos,"2,583",0.70%,129050.00%,2,0.00%,183,South America
Argentina,SOUTHCOM,South America,40,Ford Territory,"2,393",0.60%,608.00%,338,0.10%,77,South America
Argentina,SOUTHCOM,South America,41,Renault Duster,"2,269",0.60%,-43.30%,"4,003",1.20%,27,South America
Argentina,SOUTHCOM,South America,42,VW Virtus,"1,876",0.50%,-46.40%,"3,502",1.00%,33,South America
Argentina,SOUTHCOM,South America,43,Fiat Fiorino,"1,695",0.40%,-20.30%,"2,126",0.60%,41,South America
Argentina,SOUTHCOM,South America,44,Renault Captur,"1,613",0.40%,-57.60%,"3,807",1.10%,29,South America
Argentina,SOUTHCOM,South America,45,Peugeot 308,"1,611",0.40%,-13.90%,"1,872",0.50%,43,South America
Argentina,SOUTHCOM,South America,46,Citroen C3,"1,457",0.40%,-41.00%,"2,471",0.70%,38,South America
Argentina,SOUTHCOM,South America,47,Iveco Daily,"1,440",0.40%,38.60%,"1,039",0.30%,52,South America
Argentina,SOUTHCOM,South America,48,VW Saveiro,"1,317",0.30%,-12.10%,"1,498",0.40%,48,South America
Argentina,SOUTHCOM,South America,49,Fiat Argo,"1,248",0.30%,-73.40%,"4,688",1.40%,23,South America
Argentina,SOUTHCOM,South America,50,Ford Bronco ,"1,193",0.30%,new,0,0.00%, –,South America
Argentina,SOUTHCOM,South America,51,Ram 1500,"1,109",0.30%,-10.10%,"1,234",0.40%,50,South America
Argentina,SOUTHCOM,South America,52,Fiat Mobi,"1,071",0.30%,-65.90%,"3,138",0.90%,36,South America
Argentina,SOUTHCOM,South America,53,Honda HR-V,"1,068",0.30%,-71.50%,"3,743",1.10%,30,South America
Argentina,SOUTHCOM,South America,54,Ford Transit,"1,031",0.30%,112.60%,485,0.10%,69,South America
Argentina,SOUTHCOM,South America,55,Nissan Sentra,"1,024",0.30%,130.60%,444,0.10%,71,South America
Argentina,SOUTHCOM,South America,56,Toyota Hiace,"1,019",0.30%,1223.40%,77,0.00%,141,South America
Argentina,SOUTHCOM,South America,57,VW Tiguan,951,0.20%,2.70%,926,0.30%,53,South America
Argentina,SOUTHCOM,South America,58,Citroen C4 Lounge,807,0.20%,2.20%,790,0.20%,58,South America
Argentina,SOUTHCOM,South America,59,Toyota RAV4,725,0.20%,-0.10%,726,0.20%,59,South America
Argentina,SOUTHCOM,South America,60,Hyundai Creta,701,0.20%,309.90%,171,0.00%,101,South America
Argentina,SOUTHCOM,South America,61,VW Vento,668,0.20%,-24.80%,888,0.30%,56,South America
Argentina,SOUTHCOM,South America,62,Chevrolet Spin,651,0.20%,-54.90%,"1,443",0.40%,49,South America
Argentina,SOUTHCOM,South America,63,Ford F-150,604,0.20%,-11.80%,685,0.20%,61,South America
Argentina,SOUTHCOM,South America,64,VW Nuevo Polo,590,0.20%,new,0,0.00%, –,South America
Argentina,SOUTHCOM,South America,65,Peugeot 3008,582,0.20%,-9.30%,642,0.20%,62,South America
Argentina,SOUTHCOM,South America,66,Citroen C3 Aircross,576,0.20%,-36.70%,910,0.30%,54,South America
Argentina,SOUTHCOM,South America,67,Honda Fit,507,0.10%,-18.60%,623,0.20%,63,South America
Argentina,SOUTHCOM,South America,68,Chery Tiggo 4,485,0.10%,new,0,0.00%, –,South America
Argentina,SOUTHCOM,South America,69,DS 7,433,0.10%,107.20%,209,0.10%,91,South America
Argentina,SOUTHCOM,South America,70,VW Up,418,0.10%,-82.70%,"2,417",0.70%,39,South America
Argentina,SOUTHCOM,South America,71,Peugeot Boxer,389,0.10%,20.80%,322,0.10%,78,South America
Argentina,SOUTHCOM,South America,72,Mercedes A Class,333,0.10%,-45.90%,615,0.20%,64,South America
Argentina,SOUTHCOM,South America,73,Chevrolet Trailblazer,330,0.10%,-42.80%,577,0.20%,65,South America
Argentina,SOUTHCOM,South America,74,Citroen Jumper,329,0.10%,92.40%,171,0.00%,100,South America
Argentina,SOUTHCOM,South America,75,Citroen C5 Aircross,329,0.10%,103.10%,162,0.00%,102,South America
Argentina,SOUTHCOM,South America,76,Ford Kuga,325,0.10%,16.50%,279,0.10%,82,South America
Argentina,SOUTHCOM,South America,77,Fiat Ducato,318,0.10%,2.60%,310,0.10%,79,South America
Argentina,SOUTHCOM,South America,78,Renault Master,309,0.10%,-65.80%,904,0.30%,55,South America
Argentina,SOUTHCOM,South America,79,Peugeot Expert,307,0.10%,-16.60%,368,0.10%,75,South America
Argentina,SOUTHCOM,South America,80,DS 3 Crossback,299,0.10%,51.80%,197,0.10%,95,South America
Argentina,SOUTHCOM,South America,81,Chery Tiggo 2,295,0.10%,-16.40%,353,0.10%,76,South America
Argentina,SOUTHCOM,South America,82,Mercedes GLB,239,0.10%,new,0,0.00%, –,South America
Argentina,SOUTHCOM,South America,83,Citroen Jumpy,231,0.10%,-18.40%,283,0.10%,81,South America
