Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Belgium,EUCOM,Western Europe,1,Citroen C3,"9,128",2.40%,,,,,Europe
Belgium,EUCOM,Western Europe,2,Volvo XC40,"8,945",2.30%,,,,,Europe
Belgium,EUCOM,Western Europe,3,Mini Cooper,"6,949",1.80%,,,,,Europe
Belgium,EUCOM,Western Europe,4,Hyundai Tucson,"6,895",1.80%,,,,,Europe
Belgium,EUCOM,Western Europe,5,BMW X1,"6,842",1.80%,,,,,Europe
Belgium,EUCOM,Western Europe,6,Dacia Sandero,"6,823",1.80%,,,,,Europe
Belgium,EUCOM,Western Europe,7,Fiat 500,"6,433",1.70%,,,,,Europe
Belgium,EUCOM,Western Europe,8,Audi Q3,"6,311",1.60%,,,,,Europe
Belgium,EUCOM,Western Europe,9,BMW 3 Series,"6,279",1.60%,,,,,Europe
Belgium,EUCOM,Western Europe,10,Dacia Duster,"6,090",1.60%,,,,,Europe
Belgium,EUCOM,Western Europe,11,BMW 1 Series,"6,047",1.60%,,,,,Europe
Belgium,EUCOM,Western Europe,12,Audi A3,"6,042",1.60%,,,,,Europe
Belgium,EUCOM,Western Europe,13,Renault Clio,"5,922",1.50%,,,,,Europe
Belgium,EUCOM,Western Europe,14,Peugeot 2008,"5,905",1.50%,,,,,Europe
Belgium,EUCOM,Western Europe,15,Peugeot 208,"5,863",1.50%,,,,,Europe
Belgium,EUCOM,Western Europe,16,VW Golf,"5,580",1.50%,,,,,Europe
Belgium,EUCOM,Western Europe,17,Peugeot 3008,"5,313",1.40%,,,,,Europe
Belgium,EUCOM,Western Europe,18,VW Polo,"5,290",1.40%,,,,,Europe
Belgium,EUCOM,Western Europe,19,Skoda Octavia,"5,212",1.40%,,,,,Europe
Belgium,EUCOM,Western Europe,20,VW Tiguan,"5,187",1.40%,,,,,Europe
