Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Bosnia and Herzegovina,EUCOM,Southeastern Europe,1,Skoda Octavia,476,5.40%,-32.90%,709,7.80%,1,Europe
Bosnia and Herzegovina,EUCOM,Southeastern Europe,2,Skoda Fabia,338,3.80%,10.80%,305,3.30%,2,Europe
Bosnia and Herzegovina,EUCOM,Southeastern Europe,3,Kia Sportage,323,3.70%,n/a,n/a,n/a,n/a,Europe
Bosnia and Herzegovina,EUCOM,Southeastern Europe,4,Hyundai Tucson,270,3.10%,-5.60%,286,3.10%,3,Europe
Bosnia and Herzegovina,EUCOM,Southeastern Europe,5,Dacia Duster,239,2.70%,-8.80%,262,2.90%,5,Europe
Bosnia and Herzegovina,EUCOM,Southeastern Europe,6,VW Golf,232,2.60%,-12.50%,265,2.90%,4,Europe
Bosnia and Herzegovina,EUCOM,Southeastern Europe,7,VW Caddy,218,2.50%,8.50%,201,2.20%,9,Europe
Bosnia and Herzegovina,EUCOM,Southeastern Europe,8,Toyota Yaris,189,2.10%,-10.40%,211,2.30%,8,Europe
Bosnia and Herzegovina,EUCOM,Southeastern Europe,9,Dacia Sandero,182,2.10%,-30.00%,260,2.80%,6,Europe
Bosnia and Herzegovina,EUCOM,Southeastern Europe,10,Renault Clio,174,2.00%,3.60%,168,1.80%,10,Europe
