Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Brazil,SOUTHCOM,South America,1,Fiat Strada,"109,107",5.50%,36.30%,"80,041",4.10%,4,South America
Brazil,SOUTHCOM,South America,2,Hyundai HB20,"86,455",4.40%,-0.10%,"86,548",4.40%,2,South America
Brazil,SOUTHCOM,South America,3,Fiat Argo,"84,644",4.30%,28.40%,"65,937",3.40%,7,South America
Brazil,SOUTHCOM,South America,4,Jeep Renegade,"73,913",3.70%,30.00%,"56,865",2.90%,9,South America
Brazil,SOUTHCOM,South America,5,Chevrolet Onix,"73,623",3.70%,-45.60%,"135,351",6.90%,1,South America
Brazil,SOUTHCOM,South America,6,Jeep Compass,"70,906",3.60%,33.90%,"52,966",2.70%,11,South America
Brazil,SOUTHCOM,South America,7,Fiat Toro,"70,890",3.60%,31.30%,"53,974",2.80%,10,South America
Brazil,SOUTHCOM,South America,8,VW Gol,"66,228",3.40%,-6.90%,"71,151",3.60%,5,South America
Brazil,SOUTHCOM,South America,9,Fiat Mobi,"65,847",3.30%,41.30%,"46,617",2.40%,15,South America
Brazil,SOUTHCOM,South America,10,Hyundai Creta,"64,759",3.30%,35.60%,"47,757",2.40%,14,South America
Brazil,SOUTHCOM,South America,11,VW T-Cross,"62,307",3.20%,3.60%,"60,119",3.10%,8,South America
Brazil,SOUTHCOM,South America,12,Chevrolet Onix Plus,"54,707",2.80%,-34.40%,"83,392",4.30%,3,South America
Brazil,SOUTHCOM,South America,13,Renault Kwid,"52,916",2.70%,7.00%,"49,475",2.50%,12,South America
Brazil,SOUTHCOM,South America,14,Chevrolet Tracker,"50,757",2.60%,2.80%,"49,372",2.50%,13,South America
Brazil,SOUTHCOM,South America,15,Toyota Hilux,"45,893",2.30%,41.70%,"32,394",1.70%,20,South America
Brazil,SOUTHCOM,South America,16,Toyota Corolla,"41,891",2.10%,2.00%,"41,072",2.10%,17,South America
Brazil,SOUTHCOM,South America,17,Honda HR-V,"38,406",1.90%,18.10%,"32,511",1.70%,19,South America
Brazil,SOUTHCOM,South America,18,VW Nivus,"36,664",1.90%,125.20%,"16,278",0.80%,36,South America
