Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Bulgaria,EUCOM,Southeastern Europe,1,Dacia Dokker,"1,689",5.40%,18.80%,"1,422",5.30%,2,Europe
Bulgaria,EUCOM,Southeastern Europe,2,Nissan Qashqai,"1,211",3.90%,-14.00%,"1,408",5.20%,3,Europe
Bulgaria,EUCOM,Southeastern Europe,3,Dacia Duster,"1,152",3.70%,12.40%,"1,025",3.80%,5,Europe
Bulgaria,EUCOM,Southeastern Europe,4,Toyota Corolla,"1,042",3.40%,28.80%,809,3.00%,6,Europe
Bulgaria,EUCOM,Southeastern Europe,5,Renault Clio,"1,016",3.30%,-30.70%,"1,466",5.40%,1,Europe
Bulgaria,EUCOM,Southeastern Europe,6,Renault Master,882,2.80%,30.50%,676,2.50%,8,Europe
Bulgaria,EUCOM,Southeastern Europe,7,Citroen C3,751,2.40%,46.10%,514,1.90%,9,Europe
Bulgaria,EUCOM,Southeastern Europe,8,Skoda Octavia,725,2.30%,-41.40%,"1,237",4.60%,4,Europe
Bulgaria,EUCOM,Southeastern Europe,9,Dacia Sandero,718,2.30%,4.50%,687,2.50%,7,Europe
Bulgaria,EUCOM,Southeastern Europe,10,Kia Sportage,659,2.10%,64.30%,401,1.50%,13,Europe
Bulgaria,EUCOM,Southeastern Europe,11,Toyota C-HR,598,1.90%,67.50%,357,1.30%,15,Europe
Bulgaria,EUCOM,Southeastern Europe,12,Ford Transit/Custom,519,1.70%,69.10%,307,1.10%,18,Europe
Bulgaria,EUCOM,Southeastern Europe,13,Peugeot 2008,476,1.50%,104.30%,233,0.90%,28,Europe
Bulgaria,EUCOM,Southeastern Europe,14,Toyota Yaris,447,1.40%,-1.30%,453,1.70%,10,Europe
Bulgaria,EUCOM,Southeastern Europe,15,Skoda Superb,396,1.30%,-5.50%,419,1.60%,11,Europe
Bulgaria,EUCOM,Southeastern Europe,16,Toyota RAV4,395,1.30%,18.60%,333,1.20%,16,Europe
Bulgaria,EUCOM,Southeastern Europe,17,Renault Megane,390,1.30%,-3.70%,405,1.50%,12,Europe
Bulgaria,EUCOM,Southeastern Europe,18,Kia Ceed,388,1.20%,131.00%,168,0.60%,36,Europe
Bulgaria,EUCOM,Southeastern Europe,19,Renault Captur,360,1.20%,24.10%,290,1.10%,22,Europe
Bulgaria,EUCOM,Southeastern Europe,20,Peugeot 208,350,1.10%,64.30%,213,0.80%,31,Europe
Bulgaria,EUCOM,Southeastern Europe,21,VW T Roc,317,1.00%,2.90%,308,1.10%,17,Europe
Bulgaria,EUCOM,Southeastern Europe,22,Peugeot Boxer,305,1.00%,8.50%,281,1.00%,23,Europe
Bulgaria,EUCOM,Southeastern Europe,23,Dacia Logan,294,0.90%,-22.80%,381,1.40%,14,Europe
Bulgaria,EUCOM,Southeastern Europe,24,Mercedes GLE,274,0.90%,13.20%,242,0.90%,27,Europe
Bulgaria,EUCOM,Southeastern Europe,25,Skoda Scala,259,0.80%,3.60%,250,0.90%,25,Europe
Bulgaria,EUCOM,Southeastern Europe,26,Iveco Daily,257,0.80%,n/a,n/a,n/a, –,Europe
Bulgaria,EUCOM,Southeastern Europe,27,Peugeot 3008,254,0.80%,-17.30%,307,1.10%,19,Europe
Bulgaria,EUCOM,Southeastern Europe,28,Renault Express,240,0.80%,new,0,0.00%, –,Europe
Bulgaria,EUCOM,Southeastern Europe,29,Hyundai Tucson,228,0.70%,60.60%,142,0.50%,44,Europe
Bulgaria,EUCOM,Southeastern Europe,30,Hyundai i20,224,0.70%,40.90%,159,0.60%,39,Europe
Bulgaria,EUCOM,Southeastern Europe,31,Skoda Karoq,222,0.70%,16.20%,191,0.70%,34,Europe
Bulgaria,EUCOM,Southeastern Europe,32,Skoda Fabia,221,0.70%,4.70%,211,0.80%,32,Europe
Bulgaria,EUCOM,Southeastern Europe,33,Skoda Kodiaq,220,0.70%,16.40%,189,0.70%,35,Europe
Bulgaria,EUCOM,Southeastern Europe,34,Skoda Kamiq,220,0.70%,35.80%,162,0.60%,37,Europe
Bulgaria,EUCOM,Southeastern Europe,35,VW Caddy,205,0.70%,-30.50%,295,1.10%,21,Europe
Bulgaria,EUCOM,Southeastern Europe,36,Suzuki Vitara,204,0.70%,48.90%,137,0.50%,47,Europe
Bulgaria,EUCOM,Southeastern Europe,37,VW Golf,200,0.60%,-33.30%,300,1.10%,20,Europe
Bulgaria,EUCOM,Southeastern Europe,38,VW T Cross,198,0.60%,-12.00%,225,0.80%,30,Europe
Bulgaria,EUCOM,Southeastern Europe,39,VW Passat,194,0.60%,-16.40%,232,0.90%,29,Europe
Bulgaria,EUCOM,Southeastern Europe,40,Toyota Hilux,191,0.60%,-5.00%,201,0.70%,33,Europe
Bulgaria,EUCOM,Southeastern Europe,41,Mazda CX-5,183,0.60%,76.00%,104,0.40%,71,Europe
Bulgaria,EUCOM,Southeastern Europe,42,VW Arteon,180,0.60%,38.50%,130,0.50%,50,Europe
Bulgaria,EUCOM,Southeastern Europe,43,Kia Xceed,180,0.60%,89.50%,95,0.40%,79,Europe
Bulgaria,EUCOM,Southeastern Europe,44,Toyota Aygo,179,0.60%,36.60%,131,0.50%,49,Europe
Bulgaria,EUCOM,Southeastern Europe,45,Citroen Jumper,179,0.60%,68.90%,106,0.40%,67,Europe
Bulgaria,EUCOM,Southeastern Europe,46,Peugeot 308,173,0.60%,-35.70%,269,1.00%,24,Europe
Bulgaria,EUCOM,Southeastern Europe,47,Citroen Berlingo,168,0.50%,4.30%,161,0.60%,38,Europe
Bulgaria,EUCOM,Southeastern Europe,48,Mercedes GLS,165,0.50%,35.20%,122,0.50%,54,Europe
Bulgaria,EUCOM,Southeastern Europe,49,Kia Rio,161,0.50%,5.20%,153,0.60%,41,Europe
Bulgaria,EUCOM,Southeastern Europe,50,BMW X5,159,0.50%,11.20%,143,0.50%,43,Europe
Bulgaria,EUCOM,Southeastern Europe,51,Mercedes GLC,157,0.50%,9.00%,144,0.50%,42,Europe
Bulgaria,EUCOM,Southeastern Europe,52,VW Up!,156,0.50%,47.20%,106,0.40%,68,Europe
Bulgaria,EUCOM,Southeastern Europe,53,BMW 3 Series,151,0.50%,8.60%,139,0.50%,46,Europe
Bulgaria,EUCOM,Southeastern Europe,54,Mazda CX-30,151,0.50%,24.80%,121,0.40%,55,Europe
Bulgaria,EUCOM,Southeastern Europe,55,Hyundai Kona,147,0.50%,-40.50%,247,0.90%,26,Europe
Bulgaria,EUCOM,Southeastern Europe,56,Peugeot Partner,147,0.50%,26.70%,116,0.40%,58,Europe
Bulgaria,EUCOM,Southeastern Europe,57,Mercedes Sprinter,144,0.50%,45.50%,99,0.40%,75,Europe
Bulgaria,EUCOM,Southeastern Europe,58,Dacia Lodgy,135,0.40%,5.50%,128,0.50%,51,Europe
Bulgaria,EUCOM,Southeastern Europe,59,Mercedes S class,134,0.40%,282.90%,35,0.10%,135,Europe
Bulgaria,EUCOM,Southeastern Europe,60,Ford Focus,132,0.40%,20.00%,110,0.40%,63,Europe
Bulgaria,EUCOM,Southeastern Europe,61,Peugeot 5008,130,0.40%,28.70%,101,0.40%,73,Europe
Bulgaria,EUCOM,Southeastern Europe,62,Ford Fiesta,129,0.40%,20.60%,107,0.40%,66,Europe
Bulgaria,EUCOM,Southeastern Europe,63,BMW X7,123,0.40%,9.80%,112,0.40%,60,Europe
Bulgaria,EUCOM,Southeastern Europe,64,Opel Combo,122,0.40%,45.20%,84,0.30%,82,Europe
Bulgaria,EUCOM,Southeastern Europe,65,Peugeot Rifter,121,0.40%,3.40%,117,0.40%,57,Europe
Bulgaria,EUCOM,Southeastern Europe,66,Opel Corsa,120,0.40%,25.00%,96,0.40%,78,Europe
Bulgaria,EUCOM,Southeastern Europe,67,Suzuki Swift,117,0.40%,165.90%,44,0.20%,115,Europe
Bulgaria,EUCOM,Southeastern Europe,68,Nissan X-Trail,115,0.40%,-17.90%,140,0.50%,45,Europe
Bulgaria,EUCOM,Southeastern Europe,69,Opel Crossland,115,0.40%,5.50%,109,0.40%,65,Europe
Bulgaria,EUCOM,Southeastern Europe,70,Ford Ranger,114,0.40%,-28.30%,159,0.60%,40,Europe
Bulgaria,EUCOM,Southeastern Europe,71,Seat Leon,114,0.40%,216.70%,36,0.10%,133,Europe
Bulgaria,EUCOM,Southeastern Europe,72,VW Crafter,112,0.40%,0.90%,111,0.40%,62,Europe
Bulgaria,EUCOM,Southeastern Europe,73,VW Tiguan,111,0.40%,-12.60%,127,0.50%,52,Europe
Bulgaria,EUCOM,Southeastern Europe,74,Renault Arkana,110,0.40%,new,0,0.00%, –,Europe
Bulgaria,EUCOM,Southeastern Europe,75,Suzuki Jimny,109,0.40%,109.60%,52,0.20%,101,Europe
Bulgaria,EUCOM,Southeastern Europe,76,Opel Mokka,109,0.40%,new,0,0.00%, –,Europe
Bulgaria,EUCOM,Southeastern Europe,77,Opel Astra,108,0.30%,10.20%,98,0.40%,76,Europe
Bulgaria,EUCOM,Southeastern Europe,78,Toyota Land Cruiser,107,0.30%,35.40%,79,0.30%,86,Europe
Bulgaria,EUCOM,Southeastern Europe,79,BMW X6,106,0.30%,-10.20%,118,0.40%,56,Europe
Bulgaria,EUCOM,Southeastern Europe,80,Ford Ecosport,106,0.30%,30.90%,81,0.30%,85,Europe
Bulgaria,EUCOM,Southeastern Europe,81,Peugeot 508,105,0.30%,56.70%,67,0.20%,91,Europe
