Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Canada,NORTHCOM,North America,1,Ford F-Series,"116,401",7.00%,-9.50%,"128,649",7.74%,1,North America
Canada,NORTHCOM,North America,2,Ram Pick-up,"73,467",4.42%,-12.20%,"83,672",5.04%,2,North America
Canada,NORTHCOM,North America,3,Toyota RAV4,"61,933",3.73%,-8.90%,"67,977",4.09%,3,North America
Canada,NORTHCOM,North America,4,GMC Sierra,"53,758",3.24%,4.40%,"51,492",3.10%,5,North America
Canada,NORTHCOM,North America,5,Chevrolet Silverado,"51,685",3.11%,-2.10%,"52,767",3.18%,4,North America
Canada,NORTHCOM,North America,6,Honda CR-V,"50,935",3.07%,1.60%,"50,135",3.02%,7,North America
Canada,NORTHCOM,North America,7,Honda Civic,"43,556",2.62%,-14.30%,"50,805",3.06%,6,North America
Canada,NORTHCOM,North America,8,Toyota Corolla,"40,020",2.41%,7.70%,"37,156",2.24%,8,North America
Canada,NORTHCOM,North America,9,Hyundai Kona,"31,101",1.87%,-2.00%,"31,733",1.91%,9,North America
Canada,NORTHCOM,North America,10,Nissan Rogue,"29,927",1.80%,15.10%,"25,998",1.56%,12,North America
Canada,NORTHCOM,North America,11,Ford Escape,"27,059",1.63%,13.90%,"23,747",1.43%,14,North America
Canada,NORTHCOM,North America,12,Mazda CX-5,"26,571",1.60%,-13.10%,"30,583",1.84%,10,North America
Canada,NORTHCOM,North America,13,Hyundai Elantra,"26,312",1.58%,5.20%,"25,006",1.50%,13,North America
Canada,NORTHCOM,North America,14,Hyundai Tucson,"25,487",1.53%,-10.40%,"28,444",1.71%,11,North America
Canada,NORTHCOM,North America,15,Subaru Crosstrek,"23,342",1.40%,5.30%,"22,161",1.33%,16,North America
Canada,NORTHCOM,North America,16,Jeep Wrangler,"20,026",1.21%,-5.80%,"21,262",1.28%,17,North America
Canada,NORTHCOM,North America,17,Toyota Highlander,"19,885",1.20%,20.80%,"16,457",0.99%,21,North America
Canada,NORTHCOM,North America,18,Jeep Grand Cherokee,"19,433",1.17%,25.20%,"15,521",0.93%,25,North America
Canada,NORTHCOM,North America,19,VW Tiguan,"19,031",1.15%,33.60%,"14,240",0.86%,28,North America
Canada,NORTHCOM,North America,20,Nissan Kicks,"18,479",1.11%,30.60%,"14,149",0.85%,29,North America
Canada,NORTHCOM,North America,21,Ford Explorer,"16,391",0.99%,1.00%,"16,229",0.98%,22,North America
Canada,NORTHCOM,North America,22,Hyundai Santa Fe,"15,946",0.96%,1.40%,"15,721",0.95%,23,North America
Canada,NORTHCOM,North America,23,Tesla Model 3 (est),"15,700",0.94%,-0.10%,"15,712",0.95%,24,North America
Canada,NORTHCOM,North America,24,Toyota Tacoma,"14,879",0.90%,-12.20%,"16,946",1.02%,18,North America
Canada,NORTHCOM,North America,25,Kia Seltos,"14,436",0.87%,-14.50%,"16,881",1.02%,19,North America
Canada,NORTHCOM,North America,26,Kia Forte,"14,428",0.87%,-13.70%,"16,715",1.01%,20,North America
Canada,NORTHCOM,North America,27,Ford Transit ,"14,329",0.86%,-0.60%,"14,413",0.87%,27,North America
Canada,NORTHCOM,North America,28,VW Atlas,"13,490",0.81%,44.00%,"9,370",0.56%,47,North America
Canada,NORTHCOM,North America,29,VW Jetta,"12,584",0.76%,19.30%,"10,552",0.64%,44,North America
Canada,NORTHCOM,North America,30,Nissan Qashqai,"11,973",0.72%,8.10%,"11,073",0.67%,39,North America
Canada,NORTHCOM,North America,31,Toyota Camry,"11,897",0.72%,2.30%,"11,631",0.70%,38,North America
