Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
China Retail,INDOPACOM,East Asia,1,Nissan Sylphy,"507,686",2.50%,-7.00%,"545,634",2.86%,1,Asia
China Retail,INDOPACOM,East Asia,2,VW Lavida,"430,021",2.12%,-4.10%,"448,504",2.35%,2,Asia
China Retail,INDOPACOM,East Asia,3,Wuling Hongguang Mini EV,"390,089",1.92%,252.70%,"110,612",0.58%,49,Asia
China Retail,INDOPACOM,East Asia,4,Haval H6,"355,676",1.75%,3.70%,"342,852",1.80%,4,Asia
China Retail,INDOPACOM,East Asia,5,Toyota Corolla,"309,212",1.53%,-14.20%,"360,536",1.89%,3,Asia
China Retail,INDOPACOM,East Asia,6,Buick Excelle Yinlang,"271,803",1.34%,-12.50%,"310,676",1.63%,6,Asia
China Retail,INDOPACOM,East Asia,7,VW Bora,"265,932",1.31%,-20.30%,"333,853",1.75%,5,Asia
China Retail,INDOPACOM,East Asia,8,VW Sagitar,"242,937",1.20%,-20.40%,"305,290",1.60%,7,Asia
China Retail,INDOPACOM,East Asia,9,Honda CR-V,"218,510",1.08%,-7.80%,"236,955",1.24%,8,Asia
China Retail,INDOPACOM,East Asia,10,Toyota Levin,"216,286",1.07%,-8.70%,"236,785",1.24%,9,Asia
China Retail,INDOPACOM,East Asia,11,Toyota Camry,"211,234",1.04%,11.40%,"189,677",1.00%,14,Asia
China Retail,INDOPACOM,East Asia,12,ChangAn CS75 Plus,"202,579",1.00%,-1.40%,"205,478",1.08%,12,Asia
China Retail,INDOPACOM,East Asia,13,Toyota RAV4,"199,386",0.98%,14.90%,"173,544",0.91%,19,Asia
China Retail,INDOPACOM,East Asia,14,Honda Accord,"198,633",0.98%,-4.20%,"207,364",1.09%,11,Asia
China Retail,INDOPACOM,East Asia,15,Wuling Hongguang,"193,809",0.96%,-0.10%,"194,097",1.02%,13,Asia
China Retail,INDOPACOM,East Asia,16,Honda XR-V,"185,327",0.91%,15.00%,"161,095",0.85%,24,Asia
China Retail,INDOPACOM,East Asia,17,Geely Emgrand,"176,995",0.87%,31.50%,"134,600",0.71%,38,Asia
China Retail,INDOPACOM,East Asia,18,VW Tiguan,"175,215",0.86%,-1.00%,"176,948",0.93%,17,Asia
China Retail,INDOPACOM,East Asia,19,BMW 5 Series L,"172,563",0.85%,9.50%,"157,574",0.83%,26,Asia
China Retail,INDOPACOM,East Asia,20,BMW 3 Series L,"171,203",0.84%,12.60%,"152,057",0.80%,31,Asia
China Retail,INDOPACOM,East Asia,21,ChangAn Eado,"170,099",0.84%,14.30%,"148,768",0.78%,34,Asia
China Retail,INDOPACOM,East Asia,22,Honda Vezel,"168,947",0.83%,13.40%,"149,021",0.78%,33,Asia
China Retail,INDOPACOM,East Asia,23,Honda Breeze,"162,927",0.80%,31.20%,"124,161",0.65%,44,Asia
China Retail,INDOPACOM,East Asia,24,VW Santana,"162,703",0.80%,-9.20%,"179,214",0.94%,16,Asia
China Retail,INDOPACOM,East Asia,25,Honda Civic,"162,514",0.80%,-28.80%,"228,214",1.20%,10,Asia
China Retail,INDOPACOM,East Asia,26,Nissan Teana,"162,264",0.80%,37.10%,"118,356",0.62%,46,Asia
China Retail,INDOPACOM,East Asia,27,Nissan Qashqai,"161,975",0.80%,3.60%,"156,390",0.82%,27,Asia
China Retail,INDOPACOM,East Asia,28,Tesla Model Y,"160,594",0.79%,8029600.00%,2,0.00%,870,Asia
China Retail,INDOPACOM,East Asia,29,Buick GL8,"156,819",0.77%,-1.00%,"158,419",0.83%,25,Asia
