Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Columbia,SOUTHCOM,South America,1,Mazda CX-30,"11,214",4.50%,99.20%,"5,629",3.00%,7,South America
Columbia,SOUTHCOM,South America,2,Renault Duster,"9,280",3.70%,38.20%,"6,713",3.60%,3,South America
Columbia,SOUTHCOM,South America,3,Kia Picanto,"8,721",3.50%,65.80%,"5,261",2.80%,8,South America
Columbia,SOUTHCOM,South America,4,Renault Kwid,"8,410",3.40%,9.30%,"7,695",4.10%,2,South America
Columbia,SOUTHCOM,South America,5,Renault Sandero Stepway,"8,344",3.30%,28.30%,"6,505",3.40%,4,South America
Columbia,SOUTHCOM,South America,6,Renault Sandero,"7,331",2.90%,24.60%,"5,884",3.10%,6,South America
Columbia,SOUTHCOM,South America,7,Renault Logan,"6,948",2.80%,8.50%,"6,405",3.40%,5,South America
Columbia,SOUTHCOM,South America,8,Chevrolet Joy,"6,618",2.60%,622.50%,916,0.50%,43,South America
Columbia,SOUTHCOM,South America,9,Mazda2,"5,777",2.30%,29.60%,"4,459",2.40%,10,South America
Columbia,SOUTHCOM,South America,10,Chevrolet Onix,"5,666",2.30%,-34.60%,"8,659",4.60%,1,South America
Columbia,SOUTHCOM,South America,11,Suzuki Vitara,"5,497",2.20%,82.50%,"3,012",1.60%,16,South America
Columbia,SOUTHCOM,South America,12,Nissan Frontier NP300,"5,325",2.10%,100.60%,"2,655",1.40%,19,South America
Columbia,SOUTHCOM,South America,13,Mazda CX-5,"4,419",1.80%,44.70%,"3,054",1.60%,15,South America
Columbia,SOUTHCOM,South America,14,Chevrolet Beat,"4,059",1.60%,-22.60%,"5,245",2.80%,9,South America
Columbia,SOUTHCOM,South America,15,Suzuki Swift,"4,018",1.60%,156.40%,"1,567",0.80%,34,South America
Columbia,SOUTHCOM,South America,16,Chevrolet Tracker,"3,907",1.60%,11.30%,"3,509",1.90%,11,South America
Columbia,SOUTHCOM,South America,17,Nissan Kicks,"3,765",1.50%,80.10%,"2,091",1.10%,28,South America
Columbia,SOUTHCOM,South America,18,Nissan Versa,"3,738",1.50%,13.80%,"3,285",1.70%,13,South America
Columbia,SOUTHCOM,South America,19,Toyota Hilux,"3,711",1.50%,27.70%,"2,906",1.50%,17,South America
Columbia,SOUTHCOM,South America,20,Toyota Corolla Cross,"3,436",1.40%,new,0,0.00%, –,South America
Columbia,SOUTHCOM,South America,21,VW Gol,"3,341",1.30%,28.50%,"2,599",1.40%,20,South America
Columbia,SOUTHCOM,South America,22,Nissan March,"3,211",1.30%,3.10%,"3,115",1.70%,14,South America
Columbia,SOUTHCOM,South America,23,Ford Ranger,"2,879",1.10%,124.00%,"1,285",0.70%,36,South America
Columbia,SOUTHCOM,South America,24,Toyota SW4 Fortuner,"2,832",1.10%,14.20%,"2,480",1.30%,21,South America
Columbia,SOUTHCOM,South America,25,Chevrolet NHR,"2,654",1.10%,17.70%,"2,254",1.20%,27,South America
Columbia,SOUTHCOM,South America,26,Renault Duster Oroch,"2,627",1.00%,36.30%,"1,927",1.00%,30,South America
Columbia,SOUTHCOM,South America,27,Toyota Corolla,"2,470",1.00%,0.60%,"2,455",1.30%,22,South America
Columbia,SOUTHCOM,South America,28,Kia Rio,"2,344",0.90%,1.80%,"2,303",1.20%,24,South America
Columbia,SOUTHCOM,South America,29,Kia Sportage,"2,301",0.90%,-14.60%,"2,694",1.40%,18,South America
Columbia,SOUTHCOM,South America,30,VW Voyage,"2,253",0.90%,39.20%,"1,618",0.90%,32,South America
Columbia,SOUTHCOM,South America,31,Ford Escape,"2,158",0.90%,34.40%,"1,606",0.90%,33,South America
Columbia,SOUTHCOM,South America,32,Mazda3,"2,090",0.80%,-10.00%,"2,322",1.20%,23,South America
Columbia,SOUTHCOM,South America,33,VW T-Cross,"2,064",0.80%,44.40%,"1,429",0.80%,35,South America
Columbia,SOUTHCOM,South America,34,Toyota Prado,"2,055",0.80%,3.20%,"1,992",1.10%,29,South America
Columbia,SOUTHCOM,South America,35,Chevrolet Captiva  ,"2,054",0.80%,18.10%,"1,739",0.90%,31,South America
Columbia,SOUTHCOM,South America,36,Hyundai Creta,"1,849",0.70%,110.60%,878,0.50%,44,South America
Columbia,SOUTHCOM,South America,37,Renault Captur,"1,842",0.70%,-19.10%,"2,278",1.20%,26,South America
Columbia,SOUTHCOM,South America,38,Suzuki S-Cross,"1,834",0.70%,114.00%,857,0.50%,45,South America
Columbia,SOUTHCOM,South America,39,Toyota RAV4,"1,823",0.70%,88.90%,965,0.50%,41,South America
Columbia,SOUTHCOM,South America,40,Kia Eko Taxi,"1,595",0.60%,125.60%,707,0.40%,56,South America
Columbia,SOUTHCOM,South America,41,Nissan Qashqai,"1,525",0.60%,19.00%,"1,281",0.70%,37,South America
Columbia,SOUTHCOM,South America,42,Hyundai HB20S Accent,"1,471",0.60%,new,0,0.00%, –,South America
