Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Cyprus,EUCOM,West Asia,1,Kia Sportage,534,5.00%,75.70%,304,3.00%,8,Europe
Cyprus,EUCOM,West Asia,2,VW T-Roc,499,4.70%,27.30%,392,3.90%,2,Europe
Cyprus,EUCOM,West Asia,3,Kia Stonic,448,4.20%,0.90%,444,4.40%,1,Europe
Cyprus,EUCOM,West Asia,4,Hyundai Tucson,431,4.10%,17.10%,368,3.70%,4,Europe
Cyprus,EUCOM,West Asia,5,Toyota C-HR,398,3.70%,7.90%,369,3.70%,3,Europe
Cyprus,EUCOM,West Asia,6,Toyota Yaris,388,3.70%,19.00%,326,3.30%,6,Europe
Cyprus,EUCOM,West Asia,7,Toyota RAV4,327,3.10%,7.60%,304,3.00%,9,Europe
Cyprus,EUCOM,West Asia,8,Nissan Qashqai,300,2.80%,-15.70%,356,3.60%,5,Europe
Cyprus,EUCOM,West Asia,9,Nissan Juke,294,2.80%,-8.10%,320,3.20%,7,Europe
Cyprus,EUCOM,West Asia,10,Ford Puma,258,2.40%,706.30%,32,0.30%,n/a,Europe
Cyprus,EUCOM,West Asia,11,VW T-Cross,254,2.40%,-2.30%,260,2.60%,11,Europe
Cyprus,EUCOM,West Asia,12,Kia Rio,231,2.20%,9.00%,212,2.10%,13,Europe
Cyprus,EUCOM,West Asia,13,Volvo XC40,212,2.00%,24.00%,171,1.70%,15,Europe
Cyprus,EUCOM,West Asia,14,Jeep Renegade,211,2.00%,-23.80%,277,2.80%,10,Europe
Cyprus,EUCOM,West Asia,15,Audi Q3,175,1.60%,20.70%,145,1.50%,16,Europe
Cyprus,EUCOM,West Asia,16,Kia Ceed,175,1.60%,25.00%,140,1.40%,17,Europe
Cyprus,EUCOM,West Asia,17,BMW X1,164,1.50%,25.20%,131,1.30%,18,Europe
Cyprus,EUCOM,West Asia,18,Renault Captur,160,1.50%,-18.40%,196,2.00%,14,Europe
Cyprus,EUCOM,West Asia,19,Hyundai Kona,145,1.40%,-38.30%,235,2.40%,12,Europe
Cyprus,EUCOM,West Asia,20,Dacia Duster,126,1.20%,14.50%,110,1.10%,24,Europe
Cyprus,EUCOM,West Asia,21,Nissan X-Trail,124,1.20%,17.00%,106,1.10%,26,Europe
Cyprus,EUCOM,West Asia,22,VW Golf,119,1.10%,-4.80%,125,1.30%,20,Europe
Cyprus,EUCOM,West Asia,23,Kia Picanto,117,1.10%,25.80%,93,0.90%,30,Europe
Cyprus,EUCOM,West Asia,24,Nissan Micra,109,1.00%,-0.90%,110,1.10%,25,Europe
Cyprus,EUCOM,West Asia,25,Toyota Aygo,102,1.00%,2.00%,100,1.00%,29,Europe
Cyprus,EUCOM,West Asia,26,Range Rover Evoque,95,0.90%,-26.90%,130,1.30%,19,Europe
Cyprus,EUCOM,West Asia,27,Peugeot 2008,94,0.90%,161.10%,36,0.40%,n/a,Europe
Cyprus,EUCOM,West Asia,28,Skoda Kamiq,93,0.90%,29.20%,72,0.70%,n/a,Europe
Cyprus,EUCOM,West Asia,29,BMW X2,93,0.90%,55.00%,60,0.60%,n/a,Europe
Cyprus,EUCOM,West Asia,30,Mercedes GLA,90,0.80%,42.90%,63,0.60%,n/a,Europe
