Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Denmark,EUCOM,Northern Europe,1,Ford Kuga,"5,890",3.20%,14.70%,"5,134",2.60%,3,Europe
Denmark,EUCOM,Northern Europe,2,Citroen C3,"5,226",2.80%,-14.90%,"6,141",3.10%,2,Europe
Denmark,EUCOM,Northern Europe,3,Toyota Yaris,"4,261",2.30%,-5.00%,"4,487",2.30%,6,Europe
Denmark,EUCOM,Northern Europe,4,Peugeot 208,"4,088",2.20%,-37.60%,"6,553",3.30%,1,Europe
Denmark,EUCOM,Northern Europe,5,Toyota Aygo,"3,542",1.90%,-23.10%,"4,608",2.30%,5,Europe
Denmark,EUCOM,Northern Europe,6,BMW 3 Series,"3,481",1.90%,8.30%,"3,215",1.60%,15,Europe
Denmark,EUCOM,Northern Europe,7,Hyundai i10,"3,277",1.80%,13.70%,"2,881",1.50%,20,Europe
Denmark,EUCOM,Northern Europe,8,Opel Corsa,"3,237",1.70%,-8.90%,"3,553",1.80%,12,Europe
Denmark,EUCOM,Northern Europe,9,Peugeot 3008,"3,172",1.70%,44.90%,"2,189",1.10%,32,Europe
Denmark,EUCOM,Northern Europe,10,Kia Ceed,"3,126",1.70%,12.90%,"2,768",1.40%,24,Europe
Denmark,EUCOM,Northern Europe,11,Toyota RAV4,"3,015",1.60%,58.90%,"1,898",1.00%,34,Europe
Denmark,EUCOM,Northern Europe,12,Nissan Qashqai,"3,012",1.60%,-37.30%,"4,802",2.40%,4,Europe
Denmark,EUCOM,Northern Europe,13,VW Polo,"2,762",1.50%,-21.90%,"3,536",1.80%,13,Europe
Denmark,EUCOM,Northern Europe,14,VW ID.4,"2,669",1.40%,new,0,0.00%, –,Europe
Denmark,EUCOM,Northern Europe,15,Peugeot 2008,"2,596",1.40%,-13.70%,"3,007",1.50%,16,Europe
Denmark,EUCOM,Northern Europe,16,Skoda Octavia,"2,482",1.30%,-30.60%,"3,575",1.80%,11,Europe
Denmark,EUCOM,Northern Europe,17,Mercedes C Class,"2,462",1.30%,-1.40%,"2,496",1.30%,28,Europe
Denmark,EUCOM,Northern Europe,18,VW T-Roc,"2,403",1.30%,-19.60%,"2,988",1.50%,17,Europe
Denmark,EUCOM,Northern Europe,19,VW T-Cross,"2,396",1.30%,-8.70%,"2,625",1.30%,25,Europe
Denmark,EUCOM,Northern Europe,20,Renault Captur,"2,309",1.20%,-30.80%,"3,335",1.70%,14,Europe
Denmark,EUCOM,Northern Europe,21,BMW X1,"2,271",1.20%,106.30%,"1,101",0.60%,60,Europe
Denmark,EUCOM,Northern Europe,22,Skoda Fabia,"2,182",1.20%,-25.60%,"2,931",1.50%,18,Europe
Denmark,EUCOM,Northern Europe,23,Hyundai i20,"2,171",1.20%,48.30%,"1,464",0.70%,45,Europe
Denmark,EUCOM,Northern Europe,24,Audi Q3,"2,040",1.10%,75.00%,"1,166",0.60%,55,Europe
Denmark,EUCOM,Northern Europe,25,Suzuki Swift,"2,011",1.10%,17.10%,"1,718",0.90%,40,Europe
Denmark,EUCOM,Northern Europe,26,Volvo V60,"2,004",1.10%,11.10%,"1,804",0.90%,36,Europe
Denmark,EUCOM,Northern Europe,27,Toyota Corolla,"2,001",1.10%,-14.00%,"2,326",1.20%,30,Europe
Denmark,EUCOM,Northern Europe,28,Mercedes GLB,"1,999",1.10%,86.50%,"1,072",0.50%,63,Europe
Denmark,EUCOM,Northern Europe,29,Mercedes A Class,"1,973",1.10%,-32.20%,"2,912",1.50%,19,Europe
Denmark,EUCOM,Northern Europe,30,Tesla Model 3,"1,905",1.00%,-55.50%,"4,279",2.20%,7,Europe
Denmark,EUCOM,Northern Europe,31,BMW 5 Series,"1,807",1.00%,84.60%,979,0.50%,67,Europe
Denmark,EUCOM,Northern Europe,32,Skoda Kamiq,"1,782",1.00%,9.70%,"1,625",0.80%,41,Europe
Denmark,EUCOM,Northern Europe,33,Kia Niro,"1,764",1.00%,-6.00%,"1,877",0.90%,35,Europe
Denmark,EUCOM,Northern Europe,34,Hyundai Kona,"1,743",0.90%,-38.80%,"2,850",1.40%,21,Europe
Denmark,EUCOM,Northern Europe,35,VW ID.3,"1,732",0.90%,0.60%,"1,722",0.90%,39,Europe
Denmark,EUCOM,Northern Europe,36,Volvo XC40,"1,716",0.90%,32.90%,"1,291",0.70%,50,Europe
Denmark,EUCOM,Northern Europe,37,Citroen C5 Aircross,"1,698",0.90%,23.00%,"1,381",0.70%,49,Europe
Denmark,EUCOM,Northern Europe,38,Seat Leon,"1,692",0.90%,-16.00%,"2,015",1.00%,33,Europe
Denmark,EUCOM,Northern Europe,39,Renault Clio,"1,690",0.90%,-56.40%,"3,879",2.00%,9,Europe
Denmark,EUCOM,Northern Europe,40,Fiat 500,"1,678",0.90%,11.30%,"1,508",0.80%,44,Europe
Denmark,EUCOM,Northern Europe,41,VW Passat,"1,661",0.90%,-41.30%,"2,831",1.40%,22,Europe
Denmark,EUCOM,Northern Europe,42,Citroen C1,"1,661",0.90%,-57.60%,"3,919",2.00%,8,Europe
Denmark,EUCOM,Northern Europe,43,VW Golf,"1,657",0.90%,-54.70%,"3,654",1.80%,10,Europe
Denmark,EUCOM,Northern Europe,44,Kia Picanto,"1,627",0.90%,62.10%,"1,004",0.50%,64,Europe
Denmark,EUCOM,Northern Europe,45,Audi Q2,"1,601",0.90%,77.90%,900,0.50%,72,Europe
Denmark,EUCOM,Northern Europe,46,Tesla Model Y,"1,524",0.80%,new,0,0.00%, –,Europe
Denmark,EUCOM,Northern Europe,47,Audi Q4,"1,518",0.80%,new,0,0.00%, –,Europe
Denmark,EUCOM,Northern Europe,48,BMW 1 Series,"1,495",0.80%,25.20%,"1,194",0.60%,53,Europe
Denmark,EUCOM,Northern Europe,49,Audi Q5,"1,475",0.80%,555.60%,225,0.10%,129,Europe
Denmark,EUCOM,Northern Europe,50,Toyota C-HR,"1,474",0.80%,-9.20%,"1,624",0.80%,42,Europe
Denmark,EUCOM,Northern Europe,51,Peugeot 508,"1,412",0.80%,19.70%,"1,180",0.60%,54,Europe
Denmark,EUCOM,Northern Europe,52,Mercedes E Class,"1,373",0.70%,-2.10%,"1,403",0.70%,47,Europe
Denmark,EUCOM,Northern Europe,53,MG eHS,"1,336",0.70%,new,0,0.00%, –,Europe
Denmark,EUCOM,Northern Europe,54,Peugeot 108,"1,321",0.70%,-47.70%,"2,528",1.30%,27,Europe
Denmark,EUCOM,Northern Europe,55,Hyundai Tucson,"1,317",0.70%,128.20%,577,0.30%,92,Europe
Denmark,EUCOM,Northern Europe,56,VW Touran,"1,290",0.70%,-49.10%,"2,536",1.30%,26,Europe
Denmark,EUCOM,Northern Europe,57,Suzuki Ignis,"1,289",0.70%,3.10%,"1,250",0.60%,51,Europe
Denmark,EUCOM,Northern Europe,58,Opel Crossland X,"1,253",0.70%,-29.30%,"1,772",0.90%,37,Europe
Denmark,EUCOM,Northern Europe,59,VW Tiguan,"1,172",0.60%,-26.90%,"1,604",0.80%,43,Europe
Denmark,EUCOM,Northern Europe,60,Mazda CX-30,"1,108",0.60%,112.30%,522,0.30%,100,Europe
Denmark,EUCOM,Northern Europe,61,Citroen C4  ,"1,105",0.60%,new,0,0.00%, –,Europe
Denmark,EUCOM,Northern Europe,62,Ford Fiesta,"1,064",0.60%,-61.90%,"2,796",1.40%,23,Europe
Denmark,EUCOM,Northern Europe,63,Volvo XC60,"1,062",0.60%,-7.20%,"1,144",0.60%,57,Europe
Denmark,EUCOM,Northern Europe,64,Suzuki Vitara,"1,053",0.60%,-15.70%,"1,249",0.60%,52,Europe
Denmark,EUCOM,Northern Europe,65,Mini,"1,027",0.60%,5.90%,970,0.50%,68,Europe
Denmark,EUCOM,Northern Europe,66,Ford Mustang Mach-E,"1,020",0.60%,new,0,0.00%, –,Europe
Denmark,EUCOM,Northern Europe,67,Hyundai Ioniq 5,"1,015",0.50%,new,0,0.00%, –,Europe
Denmark,EUCOM,Northern Europe,68,Audi A6,"1,012",0.50%,-5.90%,"1,075",0.50%,61,Europe
Denmark,EUCOM,Northern Europe,69,VW Up!,983,0.50%,-58.90%,"2,390",1.20%,29,Europe
