Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Egypt,CENTCOM,North Africa,1,Chevrolet T-Series,"27,311",9.80%,31.90%,"20,713",9.40%,1,Africa
Egypt,CENTCOM,North Africa,2,Nissan Sunny,"16,812",6.00%,32.50%,"12,693",5.80%,3,Africa
Egypt,CENTCOM,North Africa,3,Toyota Corolla,"14,923",5.40%,7.00%,"13,946",6.30%,2,Africa
Egypt,CENTCOM,North Africa,4,Fiat Tipo,"12,197",4.40%,-2.60%,"12,528",5.70%,4,Africa
Egypt,CENTCOM,North Africa,5,Kia Sportage,"12,089",4.40%,55.00%,"7,799",3.60%,6,Africa
Egypt,CENTCOM,North Africa,6,MG5,"10,313",3.70%,78.10%,"5,792",2.60%,10,Africa
Egypt,CENTCOM,North Africa,7,Hyundai Tucson,"10,187",3.70%,50.30%,"6,778",3.10%,8,Africa
Egypt,CENTCOM,North Africa,8,Hyundai Elantra,"10,146",3.70%,5.50%,"9,621",4.40%,5,Africa
Egypt,CENTCOM,North Africa,9,Suzuki Swift,"8,410",3.00%,n/a,n/a,n/a,n/a,Africa
Egypt,CENTCOM,North Africa,10,BYD F3,"6,894",2.50%,68.60%,"4,090",1.90%,18,Africa
Egypt,CENTCOM,North Africa,11,MG ZS,"6,597",2.40%,40.00%,"4,711",2.10%,13,Africa
Egypt,CENTCOM,North Africa,12,Chery Tiggo 7,"6,158",2.20%,n/a,n/a,n/a,n/a,Africa
Egypt,CENTCOM,North Africa,13,Chevrolet Optra,"5,935",2.10%,7.70%,"5,513",2.50%,11,Africa
Egypt,CENTCOM,North Africa,14,Chery Arrizo 5,"5,103",1.80%,11.70%,"4,568",2.10%,15,Africa
Egypt,CENTCOM,North Africa,15,Toyota Hiace,"4,990",1.80%,7.50%,"4,644",2.10%,14,Africa
Egypt,CENTCOM,North Africa,16,Peugeot 3008,"4,337",1.60%,n/a,n/a,n/a,n/a,Africa
Egypt,CENTCOM,North Africa,17,Nissan Datsun Truck ,"4,277",1.50%,n/a,n/a,n/a,n/a,Africa
Egypt,CENTCOM,North Africa,18,Suzuki Carry Microbus,"4,267",1.50%,1.60%,"4,199",1.90%,17,Africa
Egypt,CENTCOM,North Africa,19,Chevrolet N300,"4,140",1.50%,-4.70%,"4,343",2.00%,16,Africa
Egypt,CENTCOM,North Africa,20,King Long XMQ6500E,"4,049",1.50%,-16.40%,"4,846",2.20%,12,Africa
