Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Estonia,EUCOM,Eastern Europe,1,Toyota RAV4,"1,446",6.50%,5.20%,"1,375",7.30%,1,Europe
Estonia,EUCOM,Eastern Europe,2,Skoda Octavia,"1,089",4.90%,3.20%,"1,055",5.60%,2,Europe
Estonia,EUCOM,Eastern Europe,3,Toyota Corolla,941,4.20%,-4.00%,980,5.20%,3,Europe
Estonia,EUCOM,Eastern Europe,4,Kia Ceed,783,3.50%,58.80%,493,2.60%,6,Europe
Estonia,EUCOM,Eastern Europe,5,Kia Sportage,609,2.70%,52.60%,399,2.10%,7,Europe
Estonia,EUCOM,Eastern Europe,6,Skoda Kodiaq,472,2.10%,-11.90%,536,2.90%,5,Europe
Estonia,EUCOM,Eastern Europe,7,Citroen Berlingo,435,1.90%,-24.70%,578,3.10%,4,Europe
Estonia,EUCOM,Eastern Europe,8,VW T-Cross,428,1.90%,183.40%,151,0.80%,n/a,Europe
Estonia,EUCOM,Eastern Europe,9,Skoda Kamiq,408,1.80%,29.90%,314,1.70%,n/a,Europe
Estonia,EUCOM,Eastern Europe,10,VW Golf,402,1.80%,100.00%,201,1.10%,n/a,Europe
