Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Finland,EUCOM,Northern Europe,1,Toyota Corolla,"5,320",5.60%,-1.40%,"5,395",5.70%,1,Europe
Finland,EUCOM,Northern Europe,2,Toyota Yaris,"3,704",3.90%,9.10%,"3,396",3.60%,3,Europe
Finland,EUCOM,Northern Europe,3,Skoda Octavia,"3,676",3.80%,-5.60%,"3,896",4.10%,2,Europe
Finland,EUCOM,Northern Europe,4,Toyota RAV4,"2,636",2.80%,37.70%,"1,914",2.00%,9,Europe
Finland,EUCOM,Northern Europe,5,Volvo XC60,"2,294",2.40%,31.80%,"1,740",1.80%,10,Europe
Finland,EUCOM,Northern Europe,6,Volvo XC40,"2,240",2.30%,10.90%,"2,019",2.10%,7,Europe
Finland,EUCOM,Northern Europe,7,Nissan Qashqai,"2,105",2.20%,-28.60%,"2,947",3.10%,4,Europe
Finland,EUCOM,Northern Europe,8,Kia Rio,"1,907",2.00%,20.50%,"1,582",1.70%,13,Europe
Finland,EUCOM,Northern Europe,9,Volvo V60,"1,852",1.90%,-5.00%,"1,950",2.10%,8,Europe
Finland,EUCOM,Northern Europe,10,VW Golf,"1,790",1.90%,-24.90%,"2,385",2.50%,5,Europe
Finland,EUCOM,Northern Europe,11,Toyota C-HR,"1,739",1.80%,7.70%,"1,614",1.70%,12,Europe
Finland,EUCOM,Northern Europe,12,Kia Ceed,"1,717",1.80%,19.40%,"1,438",1.50%,16,Europe
Finland,EUCOM,Northern Europe,13,VW ID.4,"1,428",1.50%,new,0,0.00%, –,Europe
Finland,EUCOM,Northern Europe,14,BMW 3 Series,"1,392",1.50%,34.00%,"1,039",1.10%,24,Europe
Finland,EUCOM,Northern Europe,15,VW Tiguan,"1,378",1.40%,162.50%,525,0.60%,60,Europe
Finland,EUCOM,Northern Europe,16,Kia Stonic,"1,359",1.40%,34.60%,"1,010",1.10%,26,Europe
Finland,EUCOM,Northern Europe,17,Ford Kuga,"1,352",1.40%,124.20%,603,0.60%,52,Europe
Finland,EUCOM,Northern Europe,18,VW Polo,"1,204",1.30%,-27.60%,"1,662",1.80%,11,Europe
Finland,EUCOM,Northern Europe,19,Ford Focus,"1,176",1.20%,-49.20%,"2,314",2.50%,6,Europe
Finland,EUCOM,Northern Europe,20,Peugeot 2008,"1,123",1.20%,40.40%,800,0.80%,38,Europe
Finland,EUCOM,Northern Europe,21,Tesla Model 3,"1,082",1.10%,37.50%,787,0.80%,39,Europe
