Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
France,EUCOM,Western Europe,1,Peugeot 208 II,"88,013",5.30%,-5.20%,"92,796",5.60%,1,Europe
France,EUCOM,Western Europe,2,Renault Clio V,"85,247",5.10%,1.40%,"84,031",5.10%,2,Europe
France,EUCOM,Western Europe,3,Peugeot 2008 II,"75,477",4.50%,13.20%,"66,698",4.00%,3,Europe
France,EUCOM,Western Europe,4,Dacia Sandero III,"73,740",4.40%,113346.20%,65,0.00%,265,Europe
France,EUCOM,Western Europe,5,Citroen C3,"65,395",3.90%,11.70%,"58,547",3.50%,4,Europe
France,EUCOM,Western Europe,6,Renault Captur II,"52,596",3.20%,-3.70%,"54,597",3.30%,5,Europe
France,EUCOM,Western Europe,7,Peugeot 3008,"50,399",3.00%,11.80%,"45,087",2.70%,7,Europe
France,EUCOM,Western Europe,8,Toyota Yaris,"32,302",1.90%,-3.40%,"33,454",2.00%,11,Europe
France,EUCOM,Western Europe,9,Dacia Duster,"31,060",1.90%,2.60%,"30,263",1.80%,12,Europe
France,EUCOM,Western Europe,10,Renault Twingo,"29,111",1.80%,-32.50%,"43,115",2.60%,8,Europe
France,EUCOM,Western Europe,11,Renault Megane IV,"27,952",1.70%,-3.50%,"28,980",1.80%,14,Europe
France,EUCOM,Western Europe,12,Citroen C3 Aircross,"26,669",1.60%,-11.60%,"30,163",1.80%,13,Europe
France,EUCOM,Western Europe,13,Fiat 500,"25,182",1.50%,40.30%,"17,948",1.10%,20,Europe
France,EUCOM,Western Europe,14,Tesla Model 3,"24,911",1.50%,284.60%,"6,477",0.40%,65,Europe
France,EUCOM,Western Europe,15,VW Polo,"23,882",1.40%,11.10%,"21,492",1.30%,17,Europe
France,EUCOM,Western Europe,16,Renault Zoe,"23,575",1.40%,-37.00%,"37,410",2.30%,9,Europe
France,EUCOM,Western Europe,17,Citroen C4 III,"22,358",1.30%,2365.00%,907,0.10%,160,Europe
France,EUCOM,Western Europe,18,Citroen C5 Aircross,"21,908",1.30%,-17.60%,"26,577",1.60%,15,Europe
France,EUCOM,Western Europe,19,Peugeot 5008,"21,408",1.30%,6.30%,"20,132",1.20%,18,Europe
France,EUCOM,Western Europe,20,VW T-Roc,"18,145",1.10%,21.80%,"14,897",0.90%,27,Europe
France,EUCOM,Western Europe,21,Renault Arkana,"17,977",1.10%,new,0,0.00%, –,Europe
France,EUCOM,Western Europe,22,Hyundai Tucson,"17,911",1.10%,171.10%,"6,606",0.40%,64,Europe
France,EUCOM,Western Europe,23,Peugeot 308 II,"17,436",1.10%,-52.30%,"36,582",2.20%,10,Europe
France,EUCOM,Western Europe,24,Toyota Corolla,"16,867",1.00%,11.60%,"15,111",0.90%,26,Europe
France,EUCOM,Western Europe,25,Ford Puma,"16,176",1.00%,3.70%,"15,603",0.90%,25,Europe
France,EUCOM,Western Europe,26,Opel Corsa,"15,870",1.00%,-29.20%,"22,411",1.40%,16,Europe
France,EUCOM,Western Europe,27,Mini Hatch,"14,855",0.90%,15.00%,"12,919",0.80%,34,Europe
