Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Germany,EUCOM,Central Europe,1,VW Golf,"91,621",3.50%,-32.80%,"136,324",4.70%,100.00%,Europe
Germany,EUCOM,Central Europe,2,VW T-Roc,"57,424",2.20%,13.00%,"50,822",1.70%,700.00%,Europe
Germany,EUCOM,Central Europe,3,VW Tiguan,"55,527",2.10%,-8.00%,"60,380",2.10%,300.00%,Europe
Germany,EUCOM,Central Europe,4,Opel Corsa,"49,475",1.90%,-7.00%,"53,199",1.80%,600.00%,Europe
Germany,EUCOM,Central Europe,5,VW Up!,"46,708",1.80%,73.80%,"26,872",0.90%,2900.00%,Europe
Germany,EUCOM,Central Europe,6,VW Passat,"45,696",1.70%,-25.00%,"60,904",2.10%,200.00%,Europe
Germany,EUCOM,Central Europe,7,Mini All,"42,938",1.60%,-2.70%,"44,152",1.50%,1100.00%,Europe
Germany,EUCOM,Central Europe,8,BMW 3er,"41,704",1.60%,-11.80%,"47,273",1.60%,800.00%,Europe
Germany,EUCOM,Central Europe,9,Fiat Ducato,"41,379",1.60%,-6.60%,"44,312",1.50%,1000.00%,Europe
Germany,EUCOM,Central Europe,10,Skoda Octavia,"40,663",1.60%,-23.70%,"53,302",1.80%,500.00%,Europe
Germany,EUCOM,Central Europe,11,Fiat 500/500L/500X,"35,787",1.40%,11.70%,"32,039",1.10%,2100.00%,Europe
Germany,EUCOM,Central Europe,12,Tesla Model 3,"35,262",1.30%,132.00%,"15,202",0.50%,6400.00%,Europe
Germany,EUCOM,Central Europe,13,VW T-Cross,"34,181",1.30%,25.00%,"27,345",0.90%,2800.00%,Europe
Germany,EUCOM,Central Europe,14,VW Polo,"32,274",1.20%,-30.10%,"46,174",1.60%,900.00%,Europe
Germany,EUCOM,Central Europe,15,Opel Astra,"31,220",1.20%,-0.30%,"31,317",1.10%,2400.00%,Europe
Germany,EUCOM,Central Europe,16,VW Transporter,"30,663",1.20%,3.80%,"29,540",1.00%,2600.00%,Europe
Germany,EUCOM,Central Europe,17,Mercedes GLC,"30,371",1.20%,-21.50%,"38,711",1.30%,1400.00%,Europe
Germany,EUCOM,Central Europe,18,Hyundai Kona,"29,982",1.10%,-5.00%,"31,557",1.10%,2200.00%,Europe
Germany,EUCOM,Central Europe,19,Ford Kuga,"29,102",1.10%,21.90%,"23,868",0.80%,4000.00%,Europe
Germany,EUCOM,Central Europe,20,Seat Leon,"28,882",1.10%,-22.60%,"37,310",1.30%,1600.00%,Europe
Germany,EUCOM,Central Europe,21,Audi A3,"28,494",1.10%,-16.40%,"34,098",1.20%,1900.00%,Europe
Germany,EUCOM,Central Europe,22,VW ID.3,"26,693",1.00%,84.20%,"14,493",0.50%,6900.00%,Europe
Germany,EUCOM,Central Europe,23,Opel Mokka,"26,520",1.00%,55150.00%,48,0.00%,30000.00%,Europe
Germany,EUCOM,Central Europe,24,Audi A6,"26,260",1.00%,-16.40%,"31,400",1.10%,2300.00%,Europe
Germany,EUCOM,Central Europe,25,BMW 1er,"26,081",1.00%,-20.60%,"32,831",1.10%,20,Europe
Germany,EUCOM,Central Europe,26,Kia Ceed,"25,980",1.00%,4.80%,"24,799",0.80%,34,Europe
Germany,EUCOM,Central Europe,27,Mercedes E-Klasse ,"25,729",1.00%,-31.30%,"37,437",1.30%,15,Europe
Germany,EUCOM,Central Europe,28,BMW X1,"25,486",1.00%,-10.70%,"28,551",1.00%,27,Europe
Germany,EUCOM,Central Europe,29,Mercedes A-Klasse ,"25,070",1.00%,-42.20%,"43,391",1.50%,12,Europe
Germany,EUCOM,Central Europe,30,Renault Zoe,"24,736",0.90%,-18.60%,"30,376",1.00%,25,Europe
Germany,EUCOM,Central Europe,31,Audi Q3,"24,346",0.90%,-3.80%,"25,307",0.90%,31,Europe
Germany,EUCOM,Central Europe,32,BMW X3,"24,157",0.90%,3.50%,"23,351",0.80%,41,Europe
Germany,EUCOM,Central Europe,33,Audi A4,"23,767",0.90%,-33.70%,"35,841",1.20%,17,Europe
Germany,EUCOM,Central Europe,34,BMW 5er,"23,290",0.90%,-12.20%,"26,540",0.90%,30,Europe
