Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Ghana,AFRICOM,West Africa,1,Toyota Hilux,"1,514",13.20%,,,,,Africa
Ghana,AFRICOM,West Africa,2,Nissan Hardbody,567,4.90%,,,,,Africa
Ghana,AFRICOM,West Africa,3,Toyota Prado,561,4.90%,,,,,Africa
Ghana,AFRICOM,West Africa,4,Mitsubishi L200,535,4.70%,,,,,Africa
Ghana,AFRICOM,West Africa,5,Kia K-Series,471,4.10%,,,,,Africa
Ghana,AFRICOM,West Africa,6,Isuzu D-Max,401,3.50%,,,,,Africa
Ghana,AFRICOM,West Africa,7,Toyota Land Cruiser 70,356,3.10%,,,,,Africa
Ghana,AFRICOM,West Africa,8,MG T60,325,2.80%,,,,,Africa
Ghana,AFRICOM,West Africa,9,VW Gol,300,2.60%,,,,,Africa
Ghana,AFRICOM,West Africa,10,Toyota Fortuner,254,2.20%,,,,,Africa
Ghana,AFRICOM,West Africa,11,Nissan Navara,235,2.00%,,,,,Africa
Ghana,AFRICOM,West Africa,12,Kia Sonet,225,2.00%,,,,,Africa
Ghana,AFRICOM,West Africa,13,Peugeot Landtrek,208,1.80%,,,,,Africa
Ghana,AFRICOM,West Africa,14,Suzuki Swift,207,1.80%,,,,,Africa
Ghana,AFRICOM,West Africa,15,Toyota Rush,205,1.80%,,,,,Africa
Ghana,AFRICOM,West Africa,16,Toyota Corolla Cross,186,1.60%,,,,,Africa
Ghana,AFRICOM,West Africa,17,Toyota Hiace,147,1.30%,,,,,Africa
Ghana,AFRICOM,West Africa,18,Toyota RAV4,142,1.20%,,,,,Africa
Ghana,AFRICOM,West Africa,19,Dongfeng Rich 6,131,1.10%,,,,,Africa
Ghana,AFRICOM,West Africa,20,Toyota Land Cruiser 300,121,1.10%,,,,,Africa
