Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Greece,EUCOM,Southern Europe,1,Toyota Yaris,"4,783",4.70%,5.60%,"4,531",5.60%,1,Europe
Greece,EUCOM,Southern Europe,2,Peugeot 208,"3,476",3.40%,26.80%,"2,741",3.40%,4,Europe
Greece,EUCOM,Southern Europe,3,Citroen C3,"3,399",3.40%,72.10%,"1,975",2.40%,7,Europe
Greece,EUCOM,Southern Europe,4,Opel Corsa,"3,203",3.20%,14.70%,"2,793",3.40%,3,Europe
Greece,EUCOM,Southern Europe,5,Peugeot 2008,"3,196",3.20%,89.30%,"1,688",2.10%,12,Europe
Greece,EUCOM,Southern Europe,6,Toyota C-HR,"2,934",2.90%,52.70%,"1,922",2.40%,8,Europe
Greece,EUCOM,Southern Europe,7,Toyota Aygo,"2,473",2.50%,41.90%,"1,743",2.20%,10,Europe
Greece,EUCOM,Southern Europe,8,Hyundai i20,"2,396",2.40%,80.60%,"1,327",1.60%,17,Europe
Greece,EUCOM,Southern Europe,9,Kia Stonic,"2,323",2.30%,139.50%,970,1.20%,29,Europe
Greece,EUCOM,Southern Europe,10,Hyundai i10,"2,281",2.30%,44.30%,"1,581",2.00%,15,Europe
Greece,EUCOM,Southern Europe,11,Toyota Corolla,"2,118",2.10%,18.30%,"1,790",2.20%,9,Europe
Greece,EUCOM,Southern Europe,12,Peugeot 3008,"2,010",2.00%,42.40%,"1,412",1.70%,16,Europe
Greece,EUCOM,Southern Europe,13,VW T-Roc,"1,978",2.00%,19.20%,"1,660",2.00%,13,Europe
Greece,EUCOM,Southern Europe,14,Renault Clio,"1,876",1.90%,-20.10%,"2,348",2.90%,5,Europe
Greece,EUCOM,Southern Europe,15,Suzuki Vitara,"1,859",1.80%,79.60%,"1,035",1.30%,23,Europe
Greece,EUCOM,Southern Europe,16,Nissan Qashqai,"1,656",1.60%,-46.40%,"3,091",3.80%,2,Europe
Greece,EUCOM,Southern Europe,17,Ford Puma,"1,641",1.60%,59.90%,"1,026",1.30%,24,Europe
Greece,EUCOM,Southern Europe,18,Mercedes A-Class,"1,633",1.60%,-4.30%,"1,707",2.10%,11,Europe
Greece,EUCOM,Southern Europe,19,VW T-Cross,"1,555",1.50%,-2.10%,"1,588",2.00%,14,Europe
