Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
India,INDOPACOM,South Asia,1,Maruti Suzuki Wagon R,"183,851",5.98%,24.00%,"148,298",6.11%,4,Asia
India,INDOPACOM,South Asia,2,Maruti Suzuki Swift,"175,052",5.69%,8.90%,"160,765",6.62%,1,Asia
India,INDOPACOM,South Asia,3,Maruti Suzuki Baleno,"172,237",5.60%,11.90%,"153,986",6.34%,3,Asia
India,INDOPACOM,South Asia,4,Maruti Suzuki Alto,"166,233",5.40%,7.90%,"154,076",6.35%,2,Asia
India,INDOPACOM,South Asia,5,Hyundai Creta,"125,437",4.08%,29.30%,"96,989",3.99%,7,Asia
India,INDOPACOM,South Asia,6,Maruti Suzuki DZire,"116,222",3.78%,-7.00%,"124,969",5.15%,5,Asia
India,INDOPACOM,South Asia,7,Maruti Suzuki Vitara Brezza,"115,962",3.77%,38.60%,"83,666",3.45%,10,Asia
India,INDOPACOM,South Asia,8,Maruti Suzuki Eeco,"114,524",3.72%,15.10%,"99,480",4.10%,6,Asia
India,INDOPACOM,South Asia,9,Maruti Suzuki Ertiga,"114,408",3.72%,41.80%,"80,677",3.32%,12,Asia
India,INDOPACOM,South Asia,10,Tata Nexon,"108,577",3.53%,122.30%,"48,842",2.01%,18,Asia
India,INDOPACOM,South Asia,11,Hyundai Venue,"108,007",3.51%,31.00%,"82,428",3.40%,11,Asia
India,INDOPACOM,South Asia,12,Kia Seltos,"98,187",3.19%,1.30%,"96,932",3.99%,8,Asia
India,INDOPACOM,South Asia,13,Hyundai Grand i10,"95,515",3.11%,3.90%,"91,930",3.79%,9,Asia
India,INDOPACOM,South Asia,14,Kia Sonet,"79,289",2.58%,106.60%,"38,374",1.58%,21,Asia
India,INDOPACOM,South Asia,15,Hyundai Elite i20,"72,292",2.35%,-1.50%,"73,414",3.02%,13,Asia
India,INDOPACOM,South Asia,16,Tata Altroz,"69,744",2.27%,48.20%,"47,070",1.94%,19,Asia
India,INDOPACOM,South Asia,17,Maruti Suzuki S-Presso,"65,478",2.13%,-3.30%,"67,690",2.79%,14,Asia
India,INDOPACOM,South Asia,18,Mahindra Bolero,"65,323",2.12%,23.80%,"52,763",2.17%,16,Asia
India,INDOPACOM,South Asia,19,Tata Tiago,"64,994",2.11%,31.30%,"49,486",2.04%,17,Asia
India,INDOPACOM,South Asia,20,Toyota Innova Crysta,"55,250",1.80%,62.10%,"34,078",1.40%,25,Asia
India,INDOPACOM,South Asia,21,Mahindra XUV300,"47,432",1.54%,47.30%,"32,197",1.33%,26,Asia
India,INDOPACOM,South Asia,22,Honda Amaze,"39,697",1.29%,5.90%,"37,484",1.54%,23,Asia
India,INDOPACOM,South Asia,23,Maruti Suzuki XL6,"39,002",1.27%,65.90%,"23,508",0.97%,32,Asia
India,INDOPACOM,South Asia,24,Hyundai Aura (Xcent),"37,584",1.22%,3.40%,"36,341",1.50%,24,Asia
India,INDOPACOM,South Asia,25,Mahindra Scorpio,"36,945",1.20%,18.30%,"31,240",1.29%,27,Asia
India,INDOPACOM,South Asia,26,Honda City,"34,132",1.11%,56.40%,"21,826",0.90%,33,Asia
India,INDOPACOM,South Asia,27,Nissan Magnite,"34,086",1.11%,5986.80%,560,0.02%,72,Asia
India,INDOPACOM,South Asia,28,Maruti Suzuki Celerio,"32,852",1.07%,-44.80%,"59,463",2.45%,15,Asia
India,INDOPACOM,South Asia,29,Renault Triber,"32,766",1.07%,-15.80%,"38,906",1.60%,20,Asia
India,INDOPACOM,South Asia,30,Maruti Suzuki Ignis,"32,735",1.06%,20.30%,"27,200",1.12%,28,Asia
India,INDOPACOM,South Asia,31,MG Hector,"32,231",1.05%,24.30%,"25,935",1.07%,31,Asia
India,INDOPACOM,South Asia,32,Mahindra Thar,"32,129",1.04%,513.30%,"5,239",0.22%,50,Asia
India,INDOPACOM,South Asia,33,Renault Kwid,"31,656",1.03%,-16.50%,"37,927",1.56%,22,Asia
India,INDOPACOM,South Asia,34,Renault Kiger,"28,586",0.93%,new,0,0.00%, –,Asia
India,INDOPACOM,South Asia,35,Tata Harrier,"28,038",0.91%,99.30%,"14,071",0.58%,37,Asia
India,INDOPACOM,South Asia,36,Toyota Urban Cruiser,"27,015",0.88%,255.50%,"7,600",0.31%,43,Asia
India,INDOPACOM,South Asia,37,Toyota Glanza,"26,326",0.86%,27.30%,"20,676",0.85%,34,Asia
India,INDOPACOM,South Asia,38,Hyundai Santro,"24,142",0.78%,-9.70%,"26,735",1.10%,30,Asia
India,INDOPACOM,South Asia,39,Hyundai Verna,"22,611",0.74%,54.30%,"14,658",0.60%,35,Asia
India,INDOPACOM,South Asia,40,Tata Punch,"22,571",0.73%,new,0,0.00%, –,Asia
India,INDOPACOM,South Asia,41,Ford Ecosport,"20,789",0.68%,-23.50%,"27,181",1.12%,29,Asia
India,INDOPACOM,South Asia,42,Maruti Suzuki S-Cross,"20,389",0.66%,66.80%,"12,222",0.50%,38,Asia
India,INDOPACOM,South Asia,43,Toyota Fortuner,"18,945",0.62%,105.80%,"9,204",0.38%,41,Asia
India,INDOPACOM,South Asia,44,Tata Tigor,"18,900",0.61%,85.10%,"10,213",0.42%,40,Asia
