Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Indonesia,INDOPACOM,Southeast Asia,1,Toyota Avanza,"62,304",7.00%,74.30%,"35,754",6.70%,3,Asia
Indonesia,INDOPACOM,Southeast Asia,2,Mitsubishi Xpander,"54,644",6.20%,107.30%,"26,362",5.00%,6,Asia
Indonesia,INDOPACOM,Southeast Asia,3,Toyota Rush,"52,553",5.90%,79.00%,"29,361",5.50%,4,Asia
Indonesia,INDOPACOM,Southeast Asia,4,Suzuki Carry Pikap,"52,220",5.90%,37.20%,"38,072",7.20%,2,Asia
Indonesia,INDOPACOM,Southeast Asia,5,Toyota Kijang Innova,"49,745",5.60%,80.10%,"27,614",5.20%,5,Asia
Indonesia,INDOPACOM,Southeast Asia,6,Honda Brio,"46,235",5.20%,13.10%,"40,879",7.70%,1,Asia
Indonesia,INDOPACOM,Southeast Asia,7,Daihatsu Gran Max Pikap,"39,254",4.40%,65.30%,"23,742",4.50%,7,Asia
Indonesia,INDOPACOM,Southeast Asia,8,Daihatsu Sigra,"37,093",4.20%,59.20%,"23,295",4.40%,9,Asia
Indonesia,INDOPACOM,Southeast Asia,9,Toyota Calya,"36,062",4.10%,53.80%,"23,442",4.40%,8,Asia
Indonesia,INDOPACOM,Southeast Asia,10,Mitsubishi L-300 Pikap,"26,335",3.00%,63.70%,"16,088",3.00%,10,Asia
Indonesia,INDOPACOM,Southeast Asia,11,Toyota Fortuner,"24,177",2.70%,113.00%,"11,352",2.10%,15,Asia
Indonesia,INDOPACOM,Southeast Asia,12,Toyota Raize,"22,923",2.60%,new,0,0.00%, –,Asia
Indonesia,INDOPACOM,Southeast Asia,13,Daihatsu Ayla,"19,660",2.20%,50.20%,"13,091",2.50%,11,Asia
Indonesia,INDOPACOM,Southeast Asia,14,Daihatsu Terios,"18,994",2.10%,53.60%,"12,362",2.30%,14,Asia
Indonesia,INDOPACOM,Southeast Asia,15,Mitsubishi Pajero Sport,"16,958",1.90%,81.50%,"9,344",1.80%,17,Asia
Indonesia,INDOPACOM,Southeast Asia,16,Honda HR-V,"16,802",1.90%,29.00%,"13,021",2.40%,12,Asia
Indonesia,INDOPACOM,Southeast Asia,17,Toyota Agya,"16,355",1.80%,26.30%,"12,952",2.40%,13,Asia
Indonesia,INDOPACOM,Southeast Asia,18,Suzuki XL7,"16,090",1.80%,63.70%,"9,827",1.80%,16,Asia
Indonesia,INDOPACOM,Southeast Asia,19,Daihatsu Xenia,"15,555",1.80%,103.70%,"7,637",1.40%,20,Asia
Indonesia,INDOPACOM,Southeast Asia,20,Daihatsu Gran Max Minibus,"13,235",1.50%,53.30%,"8,631",1.60%,19,Asia
