Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Iran,CENTCOM,West Asia,1,Peugeot 206/405/Pars,"302,495",32.15%,,,,,Asia
Iran,CENTCOM,West Asia,2,Saipa Tiba,"291,217",30.95%,,,,,Asia
Iran,CENTCOM,West Asia,3,Saipa Quick,"99,717",10.60%,,,,,Asia
Iran,CENTCOM,West Asia,4,Iran Khodro Dena,"52,585",5.59%,,,,,Asia
Iran,CENTCOM,West Asia,5,Iran Khodro Samand,"52,055",5.53%,,,,,Asia
Iran,CENTCOM,West Asia,6,Zamyad Z24 (Nissan Junior),"36,376",3.87%,,,,,Asia
Iran,CENTCOM,West Asia,7,Iran Khodro Runna,"29,688",3.16%,,,,,Asia
Iran,CENTCOM,West Asia,8,Saipa 151,"24,693",2.62%,,,,,Asia
Iran,CENTCOM,West Asia,9,Saipa Saina,"19,319",2.05%,,,,,Asia
Iran,CENTCOM,West Asia,10,Saipa Shahin,"18,403",1.96%,,,,,Asia
Iran,CENTCOM,West Asia,11,Iran Khodro Tara,"5,888",0.63%,,,,,Asia
Iran,CENTCOM,West Asia,12,Haima S7,"5,737",0.61%,,,,,Asia
Iran,CENTCOM,West Asia,13,Brilliance H300,"1,258",0.13%,,,,,Asia
Iran,CENTCOM,West Asia,14,Iran Khodro Arisun,495,0.05%,,,,,Asia
Iran,CENTCOM,West Asia,15,Zamyad Padra,470,0.05%,,,,,Asia
Iran,CENTCOM,West Asia,16,Changan CS35,250,0.03%,,,,,Asia
Iran,CENTCOM,West Asia,17,Saipa Ario (Zotye Z300),120,0.01%,,,,,Asia
Iran,CENTCOM,West Asia,18,Peugeot 2008,114,0.01%,,,,,Asia
Iran,CENTCOM,West Asia,19,Dongfeng Rich,1,0.00%,,,,,Asia
