Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Ireland,EUCOM,Western Europe,1,Hyundai Tucson,"5,466",5.20%,69.40%,"3,227",3.70%,2,Europe
Ireland,EUCOM,Western Europe,2,Toyota Corolla,"4,322",4.10%,15.10%,"3,755",4.30%,1,Europe
Ireland,EUCOM,Western Europe,3,Toyota Yaris,"2,701",2.60%,41.00%,"1,915",2.20%,10,Europe
Ireland,EUCOM,Western Europe,4,VW Tiguan,"2,668",2.50%,-10.40%,"2,977",3.40%,3,Europe
Ireland,EUCOM,Western Europe,5,Toyota C-HR,"2,576",2.50%,24.00%,"2,078",2.40%,7,Europe
Ireland,EUCOM,Western Europe,6,Toyota RAV4,"2,561",2.40%,77.20%,"1,445",1.60%,15,Europe
Ireland,EUCOM,Western Europe,7,Skoda Octavia,"2,555",2.40%,24.90%,"2,045",2.30%,8,Europe
Ireland,EUCOM,Western Europe,8,VW Golf,"2,341",2.20%,7.30%,"2,181",2.50%,6,Europe
Ireland,EUCOM,Western Europe,9,Ford Focus,"2,131",2.00%,-14.90%,"2,503",2.80%,4,Europe
Ireland,EUCOM,Western Europe,10,Kia Sportage,"2,101",2.00%,17.80%,"1,784",2.00%,11,Europe
Ireland,EUCOM,Western Europe,11,Peugeot 3008,"1,961",1.90%,23.80%,"1,584",1.80%,13,Europe
Ireland,EUCOM,Western Europe,12,Hyundai Kona,"1,954",1.90%,-15.80%,"2,321",2.60%,5,Europe
Ireland,EUCOM,Western Europe,13,Skoda Kodiaq,"1,882",1.80%,12.70%,"1,670",1.90%,12,Europe
Ireland,EUCOM,Western Europe,14,Ford Puma,"1,773",1.70%,131.50%,766,0.90%,35,Europe
Ireland,EUCOM,Western Europe,15,Ford Kuga,"1,702",1.60%,87.40%,908,1.00%,28,Europe
Ireland,EUCOM,Western Europe,16,Nissan Qashqai,"1,684",1.60%,-12.70%,"1,930",2.20%,9,Europe
Ireland,EUCOM,Western Europe,17,VW Polo,"1,634",1.60%,16.50%,"1,403",1.60%,16,Europe
Ireland,EUCOM,Western Europe,18,VW T-Roc,"1,440",1.40%,19.80%,"1,202",1.40%,22,Europe
Ireland,EUCOM,Western Europe,19,VW ID.4,"1,428",1.40%,new,0,0.00%, –,Europe
Ireland,EUCOM,Western Europe,20,Skoda Karoq,"1,406",1.30%,24.30%,"1,131",1.30%,23,Europe
Ireland,EUCOM,Western Europe,21,Peugeot 2008,"1,390",1.30%,131.70%,600,0.70%,46,Europe
Ireland,EUCOM,Western Europe,22,Hyundai i20,"1,340",1.30%,88.70%,710,0.80%,39,Europe
Ireland,EUCOM,Western Europe,23,Kia Niro,"1,295",1.20%,45.70%,889,1.00%,31,Europe
Ireland,EUCOM,Western Europe,24,VW ID.3,"1,269",1.20%,254.50%,358,0.40%,73,Europe
Ireland,EUCOM,Western Europe,25,Nissan Micra,"1,216",1.20%,20.00%,"1,013",1.10%,25,Europe
Ireland,EUCOM,Western Europe,26,Renault Clio,"1,203",1.10%,8.80%,"1,106",1.30%,24,Europe
Ireland,EUCOM,Western Europe,27,Seat Arona,"1,184",1.10%,20.60%,982,1.10%,26,Europe
Ireland,EUCOM,Western Europe,28,Peugeot 5008,"1,158",1.10%,-6.20%,"1,235",1.40%,19,Europe
