Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Japan Regular,INDOPACOM,East Asia,1,Toyota Yaris,"212,927",10.56%,40.30%,"151,766",7.53%,1,Asia
Japan Regular,INDOPACOM,East Asia,2,Toyota Roomy,"134,801",6.69%,54.50%,"87,242",4.33%,6,Asia
Japan Regular,INDOPACOM,East Asia,3,Toyota Corolla,"110,865",5.50%,-6.30%,"118,276",5.87%,3,Asia
Japan Regular,INDOPACOM,East Asia,4,Toyota Alphard,"95,049",4.72%,4.70%,"90,748",4.51%,5,Asia
Japan Regular,INDOPACOM,East Asia,5,Nissan Note,"90,177",4.47%,24.90%,"72,205",3.58%,9,Asia
Japan Regular,INDOPACOM,East Asia,6,Toyota Raize,"81,880",4.06%,-35.00%,"126,038",6.26%,2,Asia
Japan Regular,INDOPACOM,East Asia,7,Toyota Harrier,"74,575",3.70%,12.90%,"66,067",3.28%,13,Asia
Japan Regular,INDOPACOM,East Asia,8,Toyota Aqua,"72,495",3.60%,21.70%,"59,548",2.96%,14,Asia
Japan Regular,INDOPACOM,East Asia,9,Toyota Voxy,"70,085",3.48%,0.80%,"69,517",3.45%,10,Asia
Japan Regular,INDOPACOM,East Asia,10,Honda Freed,"69,577",3.45%,-8.80%,"76,283",3.79%,7,Asia
Japan Regular,INDOPACOM,East Asia,11,Nissan Serena,"58,954",2.92%,-14.10%,"68,648",3.41%,11,Asia
Japan Regular,INDOPACOM,East Asia,12,Honda Fit,"58,780",2.92%,-40.10%,"98,210",4.88%,4,Asia
Japan Regular,INDOPACOM,East Asia,13,Toyota Sienta,"57,802",2.87%,-20.50%,"72,689",3.61%,8,Asia
Japan Regular,INDOPACOM,East Asia,14,Honda Vezel,"52,669",2.61%,59.90%,"32,931",1.63%,23,Asia
Japan Regular,INDOPACOM,East Asia,15,Toyota RAV4,"49,594",2.46%,-9.60%,"54,848",2.72%,15,Asia
Japan Regular,INDOPACOM,East Asia,16,Toyota Prius,"49,179",2.44%,-26.90%,"67,297",3.34%,12,Asia
Japan Regular,INDOPACOM,East Asia,17,Suzuki Solio,"44,713",2.22%,10.80%,"40,342",2.00%,17,Asia
Japan Regular,INDOPACOM,East Asia,18,Toyota Noah,"44,211",2.19%,-2.70%,"45,434",2.26%,16,Asia
Japan Regular,INDOPACOM,East Asia,19,Honda StepWGN,"39,247",1.95%,14.00%,"34,441",1.71%,20,Asia
Japan Regular,INDOPACOM,East Asia,20,Nissan Kicks,"35,044",1.74%,91.20%,"18,326",0.91%,36,Asia
