Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Kazakhstan,CENTCOM,Central Asia,1,Chevrolet Cobalt,"14,605",12.40%,200.60%,"4,859",5.20%,5,Asia
Kazakhstan,CENTCOM,Central Asia,2,Chevrolet Nexia,"10,809",9.20%,267.50%,"2,941",3.20%,12,Asia
Kazakhstan,CENTCOM,Central Asia,3,Hyundai Accent,"9,063",7.70%,76.20%,"5,143",5.50%,3,Asia
Kazakhstan,CENTCOM,Central Asia,4,Toyota Camry,"5,599",4.80%,30.40%,"4,294",4.60%,6,Asia
Kazakhstan,CENTCOM,Central Asia,5,Kia Rio,"5,017",4.30%,43.50%,"3,495",3.80%,8,Asia
Kazakhstan,CENTCOM,Central Asia,6,GAZ Gazelle,"3,931",3.30%,26.40%,"3,110",3.30%,11,Asia
Kazakhstan,CENTCOM,Central Asia,7,Hyundai Creta,"3,673",3.10%,5.60%,"3,477",3.70%,9,Asia
Kazakhstan,CENTCOM,Central Asia,8,Hyundai Elantra,"3,174",2.70%,57.20%,"2,019",2.20%,14,Asia
Kazakhstan,CENTCOM,Central Asia,9,Toyota RAV4,"3,169",2.70%,91.00%,"1,659",1.80%,16,Asia
Kazakhstan,CENTCOM,Central Asia,10,Lada Vesta,"3,152",2.70%,-22.50%,"4,065",4.40%,7,Asia
Kazakhstan,CENTCOM,Central Asia,11,VW Polo,"2,668",2.30%,39.10%,"1,918",2.10%,15,Asia
Kazakhstan,CENTCOM,Central Asia,12,Hyundai Tucson,"2,378",2.00%,-51.40%,"4,889",5.30%,4,Asia
Kazakhstan,CENTCOM,Central Asia,13,Lada Largus,"2,322",2.00%,1.60%,"2,286",2.50%,13,Asia
Kazakhstan,CENTCOM,Central Asia,14,Toyota Land Cruiser Prado,"2,263",1.90%,45.70%,"1,553",1.70%,17,Asia
Kazakhstan,CENTCOM,Central Asia,15,Lada Granta,"2,173",1.80%,-71.20%,"7,558",8.10%,1,Asia
Kazakhstan,CENTCOM,Central Asia,16,Hyundai Sonata,"2,135",1.80%,127.90%,937,1.00%,22,Asia
Kazakhstan,CENTCOM,Central Asia,17,Kia Sportage,"2,093",1.80%,35.70%,"1,542",1.70%,18,Asia
Kazakhstan,CENTCOM,Central Asia,18,Hyundai Santa Fe,"2,014",1.70%,45.70%,"1,382",1.50%,19,Asia
Kazakhstan,CENTCOM,Central Asia,19,Nissan Qashqai,"1,441",1.20%,103.20%,709,0.80%,31,Asia
Kazakhstan,CENTCOM,Central Asia,20,Nissan X-Trail,"1,353",1.20%,62.00%,835,0.90%,26,Asia
Kazakhstan,CENTCOM,Central Asia,21,Lada 4×4,"1,231",1.00%,-61.40%,"3,188",3.40%,10,Asia
Kazakhstan,CENTCOM,Central Asia,22,Renault Duster,"1,114",0.90%,44.90%,769,0.80%,28,Asia
Kazakhstan,CENTCOM,Central Asia,23,Nissan Terrano,"1,080",0.90%,23.60%,874,0.90%,25,Asia
Kazakhstan,CENTCOM,Central Asia,24,Kia Sorento,"1,054",0.90%,250.20%,301,0.30%,50,Asia
Kazakhstan,CENTCOM,Central Asia,25,VW Tiguan,"1,026",0.90%,161.70%,392,0.40%,41,Asia
Kazakhstan,CENTCOM,Central Asia,26,Lexus RX,988,0.80%,73.90%,568,0.60%,35,Asia
Kazakhstan,CENTCOM,Central Asia,27,UAZ Bukhanka,979,0.80%,-19.40%,"1,215",1.30%,20,Asia
Kazakhstan,CENTCOM,Central Asia,28,JAC J7,920,0.80%,1143.20%,74,0.10%,90,Asia
Kazakhstan,CENTCOM,Central Asia,29,Mitsubishi Outlander,860,0.70%,59.90%,538,0.60%,37,Asia
Kazakhstan,CENTCOM,Central Asia,30,Chevrolet Tracker,790,0.70%,109.50%,377,0.40%,45,Asia
Kazakhstan,CENTCOM,Central Asia,31,Toyota Corolla,764,0.60%,10.20%,693,0.70%,32,Asia
Kazakhstan,CENTCOM,Central Asia,32,Toyota Hilux,749,0.60%,0.40%,746,0.80%,30,Asia
Kazakhstan,CENTCOM,Central Asia,33,Chevrolet Damas,730,0.60%,39.80%,522,0.60%,38,Asia
Kazakhstan,CENTCOM,Central Asia,34,Renault Arkana,726,0.60%,88.60%,385,0.40%,43,Asia
Kazakhstan,CENTCOM,Central Asia,35,Chevrolet Equinox,714,0.60%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,36,Kia K5,683,0.60%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,37,Renault Logan,636,0.50%,24.20%,512,0.60%,39,Asia
Kazakhstan,CENTCOM,Central Asia,38,Toyota Land Cruiser 300,597,0.50%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,39,JAC S5,593,0.50%,-27.00%,812,0.90%,27,Asia
Kazakhstan,CENTCOM,Central Asia,40,KAMAZ 6511,590,0.50%,n/a,0,0.00%,n/a,Asia
Kazakhstan,CENTCOM,Central Asia,41,Renault Sandero,588,0.50%,5.80%,556,0.60%,36,Asia
Kazakhstan,CENTCOM,Central Asia,42,JAC S3,568,0.50%,-39.10%,933,1.00%,23,Asia
Kazakhstan,CENTCOM,Central Asia,43,Kia Cerato,519,0.40%,63.20%,318,0.30%,48,Asia
Kazakhstan,CENTCOM,Central Asia,44,Renault Kaptur,500,0.40%,80.50%,277,0.30%,52,Asia
Kazakhstan,CENTCOM,Central Asia,45,UAZ Patriot,474,0.40%,13.10%,419,0.50%,40,Asia
Kazakhstan,CENTCOM,Central Asia,46,Subaru Forester,442,0.40%,13.30%,390,0.40%,42,Asia
Kazakhstan,CENTCOM,Central Asia,47,Haval F7,423,0.40%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,48,BMW X7,418,0.40%,82.50%,229,0.20%,58,Asia
Kazakhstan,CENTCOM,Central Asia,49,JAC T6,414,0.40%,74.70%,237,0.30%,57,Asia
Kazakhstan,CENTCOM,Central Asia,50,Haval F7X,405,0.30%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,51,Chevrolet Malibu,351,0.30%,15.10%,305,0.30%,49,Asia
Kazakhstan,CENTCOM,Central Asia,52,KAMAZ 4311,344,0.30%,17100.00%,2,0.00%,217,Asia
Kazakhstan,CENTCOM,Central Asia,53,BMW X5,339,0.30%,120.10%,154,0.20%,66,Asia
Kazakhstan,CENTCOM,Central Asia,54,Chevrolet Trailblazer,329,0.30%,174.20%,120,0.10%,72,Asia
Kazakhstan,CENTCOM,Central Asia,55,Infiniti QX80,316,0.30%,110.70%,150,0.20%,67,Asia
Kazakhstan,CENTCOM,Central Asia,56,JAC Sunray,314,0.30%,-18.20%,384,0.40%,44,Asia
Kazakhstan,CENTCOM,Central Asia,57,Chevrolet Spark,307,0.30%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,58,Toyota Highlander,300,0.30%,18.10%,254,0.30%,54,Asia
Kazakhstan,CENTCOM,Central Asia,59,Hyundai Palisade,289,0.20%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,60,Haval Jolion,286,0.20%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,61,Mazda CX-5,266,0.20%,4.70%,254,0.30%,55,Asia
Kazakhstan,CENTCOM,Central Asia,62,Lexus ES,266,0.20%,26.10%,211,0.20%,59,Asia
Kazakhstan,CENTCOM,Central Asia,63,Lexus LX,257,0.20%,-14.30%,300,0.30%,51,Asia
Kazakhstan,CENTCOM,Central Asia,64,Toyota Land Cruiser 200,255,0.20%,-66.00%,750,0.80%,29,Asia
Kazakhstan,CENTCOM,Central Asia,65,Lada XRAY,253,0.20%,-26.50%,344,0.40%,47,Asia
Kazakhstan,CENTCOM,Central Asia,66,BMW X6,232,0.20%,74.40%,133,0.10%,69,Asia
Kazakhstan,CENTCOM,Central Asia,67,JAC S7,230,0.20%,2455.60%,9,0.00%,167,Asia
Kazakhstan,CENTCOM,Central Asia,68,Skoda Rapid,227,0.20%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,69,JAC N721,225,0.20%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,70,Subaru Outback,207,0.20%,44.80%,143,0.20%,68,Asia
Kazakhstan,CENTCOM,Central Asia,71,Lada Niva,202,0.20%,n/a,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,72,Golden Dragon XML,192,0.20%,6300.00%,3,0.00%,203,Asia
Kazakhstan,CENTCOM,Central Asia,73,Chevrolet Labo,190,0.20%,13.10%,168,0.20%,64,Asia
Kazakhstan,CENTCOM,Central Asia,74,PAZ 3205,189,0.20%,n/a,n/a,n/a, –,Asia
Kazakhstan,CENTCOM,Central Asia,75,JAC N56,181,0.20%,465.60%,32,0.00%,124,Asia
Kazakhstan,CENTCOM,Central Asia,76,Chevrolet Niva,180,0.20%,-73.30%,674,0.70%,33,Asia
Kazakhstan,CENTCOM,Central Asia,77,Kamaz 4514,178,0.20%,n/a,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,78,VW Taos,174,0.10%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,79,Kia Seltos,170,0.10%,146.40%,69,0.10%,93,Asia
Kazakhstan,CENTCOM,Central Asia,80,Hyundai H350,160,0.10%,-73.00%,593,0.60%,34,Asia
Kazakhstan,CENTCOM,Central Asia,81,Mercedes GLE,152,0.10%,94.90%,78,0.10%,86,Asia
Kazakhstan,CENTCOM,Central Asia,82,Lexus NX,136,0.10%,-19.00%,168,0.20%,63,Asia
Kazakhstan,CENTCOM,Central Asia,83,Yutong ZK-Series,131,0.10%,-85.30%,892,1.00%,24,Asia
Kazakhstan,CENTCOM,Central Asia,84,Kia Soul,129,0.10%,163.30%,49,0.10%,105,Asia
Kazakhstan,CENTCOM,Central Asia,85,KAMAZ 6520,125,0.10%,83.80%,68,0.10%,94,Asia
Kazakhstan,CENTCOM,Central Asia,86,Hino 300,122,0.10%,11.90%,109,0.10%,75,Asia
Kazakhstan,CENTCOM,Central Asia,87,Cadillac Escalade,120,0.10%,34.80%,89,0.10%,80,Asia
Kazakhstan,CENTCOM,Central Asia,88,Infiniti QX50,120,0.10%,79.10%,67,0.10%,95,Asia
Kazakhstan,CENTCOM,Central Asia,89,PAZ 3204,120,0.10%,n/a,n/a,n/a,n/a,Asia
Kazakhstan,CENTCOM,Central Asia,90,Mitsubishi ASX,116,0.10%,213.50%,37,0.00%,119,Asia
Kazakhstan,CENTCOM,Central Asia,91,Subaru XV,115,0.10%,3.60%,111,0.10%,74,Asia
Kazakhstan,CENTCOM,Central Asia,92,Hyundai EX8,112,0.10%,115.40%,52,0.10%,101,Asia
Kazakhstan,CENTCOM,Central Asia,93,Mitsubishi L200,110,0.10%,86.40%,59,0.10%,97,Asia
Kazakhstan,CENTCOM,Central Asia,94,UAZ Hunter (3151),105,0.10%,-5.40%,111,0.10%,73,Asia
Kazakhstan,CENTCOM,Central Asia,95,Mitsubishi Pajero Sport,103,0.10%,-40.50%,173,0.20%,61,Asia
Kazakhstan,CENTCOM,Central Asia,96,Hyundai HD-Series,101,0.10%,-41.30%,172,0.20%,62,Asia
Kazakhstan,CENTCOM,Central Asia,97,JAC N80,101,0.10%,676.90%,13,0.00%,152,Asia
Kazakhstan,CENTCOM,Central Asia,98,Lexus GX,99,0.10%,253.60%,28,0.00%,126,Asia
Kazakhstan,CENTCOM,Central Asia,99,Range Rover,96,0.10%,-21.30%,122,0.10%,71,Asia
Kazakhstan,CENTCOM,Central Asia,100,Toyota C-HR,90,0.10%,13.90%,79,0.10%,85,Asia
Kazakhstan,CENTCOM,Central Asia,101,Mercedes GLS,88,0.10%,79.60%,49,0.10%,107,Asia
Kazakhstan,CENTCOM,Central Asia,102,Porsche Cayenne,85,0.10%,16.40%,73,0.10%,91,Asia
Kazakhstan,CENTCOM,Central Asia,103,KAMAZ 4325,82,0.10%,n/a,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,104,Haval H9,82,0.10%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,105,FAW Trucks,80,0.10%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,106,BMW 5 Series,79,0.10%,71.70%,46,0.00%,109,Asia
Kazakhstan,CENTCOM,Central Asia,107,KAMAZ 53605,76,0.10%,81.00%,42,0.00%,113,Asia
Kazakhstan,CENTCOM,Central Asia,108,Shacman SX-Series,73,0.10%,-31.10%,106,0.10%,76,Asia
Kazakhstan,CENTCOM,Central Asia,109,VW Touareg,73,0.10%,102.80%,36,0.00%,121,Asia
Kazakhstan,CENTCOM,Central Asia,110,Hyundai EX9,73,0.10%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,111,Isuzu D-Max,72,0.10%,100.00%,36,0.00%,120,Asia
Kazakhstan,CENTCOM,Central Asia,112,Mazda6,70,0.10%,-19.50%,87,0.10%,81,Asia
Kazakhstan,CENTCOM,Central Asia,113,Ravon Nexia R3,69,0.10%,-98.80%,"5,945",6.40%,2,Asia
Kazakhstan,CENTCOM,Central Asia,114,Scania P/G/R Series,67,0.10%,131.00%,29,0.00%,125,Asia
Kazakhstan,CENTCOM,Central Asia,115,JAC N944,66,0.10%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,116,Mercedes G-Class,65,0.10%,47.70%,44,0.00%,111,Asia
Kazakhstan,CENTCOM,Central Asia,117,UAZ Cargo,64,0.10%,-15.80%,76,0.10%,88,Asia
Kazakhstan,CENTCOM,Central Asia,118,Nissan Murano,64,0.10%,220.00%,20,0.00%,135,Asia
Kazakhstan,CENTCOM,Central Asia,119,VW Passat,63,0.10%,215.00%,20,0.00%,138,Asia
Kazakhstan,CENTCOM,Central Asia,120,Land Rover Defender,62,0.10%,520.00%,10,0.00%,162,Asia
Kazakhstan,CENTCOM,Central Asia,121,Toyota Hiace,61,0.10%,24.50%,49,0.10%,106,Asia
Kazakhstan,CENTCOM,Central Asia,122,Renault Master,59,0.10%,268.80%,16,0.00%,142,Asia
Kazakhstan,CENTCOM,Central Asia,123,Chevrolet Traverse,56,0.00%,522.20%,9,0.00%,165,Asia
Kazakhstan,CENTCOM,Central Asia,124,Dong Feng BWC6665GA5,55,0.00%,14.60%,48,0.10%,108,Asia
Kazakhstan,CENTCOM,Central Asia,125,Chevrolet Tahoe,51,0.00%,-1.90%,52,0.10%,100,Asia
Kazakhstan,CENTCOM,Central Asia,126,VW Jetta,51,0.00%,142.90%,21,0.00%,133,Asia
Kazakhstan,CENTCOM,Central Asia,127,JAC N120,51,0.00%,264.30%,14,0.00%,145,Asia
Kazakhstan,CENTCOM,Central Asia,128,Mazda CX-30,48,0.00%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,129,BMW X3,44,0.00%,12.80%,39,0.00%,115,Asia
Kazakhstan,CENTCOM,Central Asia,130,VW Caravelle,44,0.00%,120.00%,20,0.00%,137,Asia
Kazakhstan,CENTCOM,Central Asia,131,Hyundai EX6,43,0.00%,760.00%,5,0.00%,181,Asia
Kazakhstan,CENTCOM,Central Asia,132,Kia Picanto,42,0.00%,-14.30%,49,0.10%,102,Asia
Kazakhstan,CENTCOM,Central Asia,133,Ural 4320,41,0.00%,-59.80%,102,0.10%,77,Asia
Kazakhstan,CENTCOM,Central Asia,134,Isuzu NPR,40,0.00%,-28.60%,56,0.10%,98,Asia
Kazakhstan,CENTCOM,Central Asia,135,VW Teramont,40,0.00%,2.60%,39,0.00%,116,Asia
Kazakhstan,CENTCOM,Central Asia,137,Mercedes S-Class,40,0.00%,566.70%,6,0.00%,177,Asia
Kazakhstan,CENTCOM,Central Asia,138,Range Rover Sport,39,0.00%,-47.30%,74,0.10%,89,Asia
Kazakhstan,CENTCOM,Central Asia,139,MAN TG,39,0.00%,2.60%,38,0.00%,117,Asia
Kazakhstan,CENTCOM,Central Asia,140,Chery Tiggo 7 Pro,39,0.00%,new,0,0.00%, –,Asia
Kazakhstan,CENTCOM,Central Asia,141,Mazda CX-9,38,0.00%,-29.60%,54,0.10%,99,Asia
Kazakhstan,CENTCOM,Central Asia,142,Audi Q8,37,0.00%,-19.60%,46,0.00%,110,Asia
Kazakhstan,CENTCOM,Central Asia,143,VW Transporter,36,0.00%,80.00%,20,0.00%,134,Asia
Kazakhstan,CENTCOM,Central Asia,144,BMW X4,35,0.00%,29.60%,27,0.00%,127,Asia
Kazakhstan,CENTCOM,Central Asia,145,Isuzu NMR,34,0.00%,-45.20%,62,0.10%,96,Asia
Kazakhstan,CENTCOM,Central Asia,146,KAMAZ 5490,34,0.00%,161.50%,13,0.00%,149,Asia
Kazakhstan,CENTCOM,Central Asia,147,VW Multivan,34,0.00%,325.00%,8,0.00%,170,Asia
