Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Kenya,AFRICOM,East Africa,1,Isuzu D-Max,"1,214",17.50%,,,,,Africa
Kenya,AFRICOM,East Africa,2,Toyota Hilux,"1,020",14.70%,,,,,Africa
Kenya,AFRICOM,East Africa,3,Toyota Land Cruiser 70,613,8.80%,,,,,Africa
Kenya,AFRICOM,East Africa,4,Isuzu N-Series,487,7.00%,,,,,Africa
Kenya,AFRICOM,East Africa,5,Toyota Land Cruiser 79,379,5.50%,,,,,Africa
Kenya,AFRICOM,East Africa,6,Ford Ranger,316,4.50%,,,,,Africa
Kenya,AFRICOM,East Africa,7,Toyota Hiace,287,4.10%,,,,,Africa
Kenya,AFRICOM,East Africa,8,Toyota Prado,210,3.00%,,,,,Africa
Kenya,AFRICOM,East Africa,9,Toyota Fortuner,167,2.40%,,,,,Africa
Kenya,AFRICOM,East Africa,10,Toyota Land Cruiser 76,166,2.40%,,,,,Africa
Kenya,AFRICOM,East Africa,11,Isuzu MU-X,147,2.10%,,,,,Africa
Kenya,AFRICOM,East Africa,12,Toyota Corolla Cross,125,1.80%,,,,,Africa
Kenya,AFRICOM,East Africa,13,VW Tiguan,115,1.70%,,,,,Africa
Kenya,AFRICOM,East Africa,14,Nissan NP300,101,1.50%,,,,,Africa
Kenya,AFRICOM,East Africa,15,Mitsubishi L200,95,1.40%,,,,,Africa
Kenya,AFRICOM,East Africa,16,Suzuki Vitara,76,1.10%,,,,,Africa
Kenya,AFRICOM,East Africa,17,Tata Xenon,69,1.00%,,,,,Africa
Kenya,AFRICOM,East Africa,18,Toyota Urban Cruiser,65,0.90%,,,,,Africa
Kenya,AFRICOM,East Africa,19,VW Polo,62,0.90%,,,,,Africa
Kenya,AFRICOM,East Africa,20,Mahindra Scorpio,61,0.90%,,,,,Africa
Kenya,AFRICOM,East Africa,20,Nissan Patrol,61,0.90%,,,,,Africa
