Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Kuwait,CENTCOM,West Asia,1,Toyota Land Cruiser SW,6215,6.10%,0,6651,8.00%,1,Asia
Kuwait,CENTCOM,West Asia,2,Nissan Sunny,4906,4.80%,125.50%,2176,2.60%,6,Asia
Kuwait,CENTCOM,West Asia,3,Toyota Camry,4549,4.50%,-3.80%,4727,5.70%,3,Asia
Kuwait,CENTCOM,West Asia,4,Toyota Prado,3982,3.90%,-19.50%,4945,5.90%,2,Asia
Kuwait,CENTCOM,West Asia,5,Nissan Patrol,3345,3.30%,50.10%,2229,2.70%,5,Asia
Kuwait,CENTCOM,West Asia,6,Chevrolet Captiva,3107,3.10%,65.50%,1877,2.20%,9,Asia
Kuwait,CENTCOM,West Asia,7,Toyota Hilux,2915,2.90%,0,2371,2.80%,4,Asia
Kuwait,CENTCOM,West Asia,8,Mitsubishi Pajero,2442,2.40%,26.90%,1925,2.30%,8,Asia
Kuwait,CENTCOM,West Asia,9,Toyota Hiace,2222,2.20%,76.90%,1256,1.50%,16,Asia
Kuwait,CENTCOM,West Asia,10,Ford F-Series,2102,2.10%,7.30%,1959,2.30%,7,Asia
Kuwait,CENTCOM,West Asia,11,Mitsubishi L200,1873,1.80%,32.60%,1413,1.70%,13,Asia
Kuwait,CENTCOM,West Asia,12,Toyota Corolla,1850,1.80%,6.30%,1741,2.10%,10,Asia
Kuwait,CENTCOM,West Asia,13,Chevrolet Tahoe,1781,1.70%,4.20%,1709,2.00%,11,Asia
Kuwait,CENTCOM,West Asia,14,Kia Sportage,1730,1.70%,3.50%,1672,2.00%,12,Asia
Kuwait,CENTCOM,West Asia,15,Hyundai Tucson,1714,1.70%,75.60%,976,1.20%,22,Asia
Kuwait,CENTCOM,West Asia,16,Honda Civic,1433,1.40%,51.80%,944,1.10%,23,Asia
Kuwait,CENTCOM,West Asia,17,Toyota RAV4,1271,1.20%,-1.50%,1290,1.50%,14,Asia
Kuwait,CENTCOM,West Asia,18,Chevrolet Silverado,1249,1.20%,27.10%,983,1.20%,21,Asia
Kuwait,CENTCOM,West Asia,19,Toyota Rush,1210,1.20%,9.00%,1110,1.30%,17,Asia
Kuwait,CENTCOM,West Asia,20,Toyota Yaris,1197,1.20%,-5.00%,1260,1.50%,15,Asia
Kuwait,CENTCOM,West Asia,21,Ford Expedition,1142,1.10%,52.50%,749,0.90%,29,Asia
Kuwait,CENTCOM,West Asia,22,Gmc Yukon,1117,1.10%,6.60%,1048,1.30%,18,Asia
Kuwait,CENTCOM,West Asia,23,Lexus RX,1064,1.00%,7.70%,988,1.20%,19,Asia
Kuwait,CENTCOM,West Asia,24,Lexus LX,972,1.00%,5.10%,925,1.10%,24,Asia
Kuwait,CENTCOM,West Asia,25,Honda Accord,927,0.90%,21.80%,761,0.90%,28,Asia
Kuwait,CENTCOM,West Asia,26,Lexus ES,923,0.90%,-6.30%,985,1.20%,20,Asia
Kuwait,CENTCOM,West Asia,27,Nissan X-Trail,893,0.90%,11.20%,803,1.00%,27,Asia
Kuwait,CENTCOM,West Asia,28,Changan CS85,886,0.90%,250.20%,253,0.30%,76,Asia
Kuwait,CENTCOM,West Asia,29,Dodge Charger,862,0.80%,22.30%,705,0.80%,31,Asia
Kuwait,CENTCOM,West Asia,30,Kia Optima,855,0.80%,-2.60%,878,1.00%,25,Asia
Kuwait,CENTCOM,West Asia,31,Gmc Sierra,840,0.80%,107.40%,405,0.50%,52,Asia
Kuwait,CENTCOM,West Asia,32,Jeep Grand Cherokee,822,0.80%,383.50%,170,0.20%,97,Asia
Kuwait,CENTCOM,West Asia,33,Ram Pickup,809,0.80%,8.70%,744,0.90%,30,Asia
Kuwait,CENTCOM,West Asia,34,MG RX8,802,0.80%,82.30%,440,0.50%,48,Asia
Kuwait,CENTCOM,West Asia,35,Jeep Wrangler,743,0.70%,29.70%,573,0.70%,34,Asia
Kuwait,CENTCOM,West Asia,36,Land Rover Defender,710,0.70%,414.50%,138,0.20%,106,Asia
Kuwait,CENTCOM,West Asia,37,Toyota Land Cruiser H/D,700,0.70%,55.60%,450,0.50%,47,Asia
Kuwait,CENTCOM,West Asia,38,Toyota Fortuner,699,0.70%,30.20%,537,0.60%,38,Asia
Kuwait,CENTCOM,West Asia,39,Toyota Coaster,677,0.70%,21.10%,559,0.70%,37,Asia
Kuwait,CENTCOM,West Asia,40,Toyota FJ Cruiser,671,0.70%,2.40%,655,0.80%,32,Asia
Kuwait,CENTCOM,West Asia,41,Nissan Altima,634,0.60%,40.30%,452,0.50%,46,Asia
Kuwait,CENTCOM,West Asia,42,Honda CR-V,624,0.60%,10.60%,564,0.70%,35,Asia
Kuwait,CENTCOM,West Asia,43,Renault Dokker,620,0.60%,33.30%,465,0.60%,44,Asia
Kuwait,CENTCOM,West Asia,44,Geely Tugella,596,0.60%,4866.70%,12,0.00%,218,Asia
Kuwait,CENTCOM,West Asia,45,MG ZS,592,0.60%,109.20%,283,0.30%,68,Asia
Kuwait,CENTCOM,West Asia,46,Kia Telluride,556,0.50%,94.40%,286,0.30%,66,Asia
Kuwait,CENTCOM,West Asia,47,Mitsubishi Eclipse Cross,553,0.50%,84.90%,299,0.40%,64,Asia
Kuwait,CENTCOM,West Asia,48,Nissan Urvan,553,0.50%,-34.20%,840,1.00%,26,Asia
Kuwait,CENTCOM,West Asia,49,Ford Taurus,546,0.50%,124.70%,243,0.30%,79,Asia
Kuwait,CENTCOM,West Asia,50,MG HS,525,0.50%,29.60%,405,0.50%,53,Asia
