Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Latvia,EUCOM,Eastern Europe,1,Toyota Corolla,796,5.50%,14.50%,695,5.10%,1,Europe
Latvia,EUCOM,Eastern Europe,2,Toyota RAV4,665,4.60%,-3.30%,688,5.10%,2,Europe
Latvia,EUCOM,Eastern Europe,3,Skoda Octavia,595,4.10%,-2.30%,609,4.50%,3,Europe
Latvia,EUCOM,Eastern Europe,4,VW T-Cross,365,2.50%,89.10%,193,1.40%,n/a,Europe
Latvia,EUCOM,Eastern Europe,5,Skoda Kodiaq,358,2.50%,-8.20%,390,2.90%,4,Europe
Latvia,EUCOM,Eastern Europe,6,VW Tiguan,350,2.40%,37.30%,255,1.90%,6,Europe
Latvia,EUCOM,Eastern Europe,7,Nissan Qashqai,307,2.10%,10.40%,278,2.10%,5,Europe
Latvia,EUCOM,Eastern Europe,8,Toyota Yaris,284,2.00%,98.60%,143,1.10%,n/a,Europe
Latvia,EUCOM,Eastern Europe,9,Dacia Duster,278,1.90%,22.50%,227,1.70%,n/a,Europe
Latvia,EUCOM,Eastern Europe,10,Toyota C-HR,272,1.90%,49.50%,182,1.30%,n/a,Europe
