Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Lithuania,EUCOM,Eastern Europe,1,Toyota RAV4,"1,634",5.20%,27.60%,"1,281",3.20%,3,Europe
Lithuania,EUCOM,Eastern Europe,2,Toyota Corolla,"1,316",4.20%,3.70%,"1,269",3.20%,4,Europe
Lithuania,EUCOM,Eastern Europe,3,Toyota C-HR,827,2.60%,16.00%,713,1.80%,6,Europe
Lithuania,EUCOM,Eastern Europe,4,VW Tiguan,797,2.50%,80.30%,442,1.10%,n/a,Europe
Lithuania,EUCOM,Eastern Europe,5,Skoda Octavia,732,2.30%,-19.40%,908,2.30%,5,Europe
Lithuania,EUCOM,Eastern Europe,6,VW T-Roc,660,2.10%,182.10%,234,0.60%,n/a,Europe
Lithuania,EUCOM,Eastern Europe,7,VW T-Cross,655,2.10%,179.90%,234,0.60%,n/a,Europe
Lithuania,EUCOM,Eastern Europe,8,Peugeot 2008,605,1.90%,140.10%,252,0.60%,n/a,Europe
Lithuania,EUCOM,Eastern Europe,9,Kia Sportage,598,1.90%,64.70%,363,0.90%,n/a,Europe
Lithuania,EUCOM,Eastern Europe,10,Fiat 500,572,1.80%,-66.80%,"1,725",4.30%,1,Europe
