Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Luxembourg,EUCOM,Western Europe,1,VW Golf,"1,023",2.30%,-17.40%,"1,239",2.70%,1,Europe
Luxembourg,EUCOM,Western Europe,2,Peugeot 208,922,2.10%,75.00%,527,1.20%,n/a,Europe
Luxembourg,EUCOM,Western Europe,3,Fiat 500,891,2.00%,128.50%,390,0.90%,n/a,Europe
Luxembourg,EUCOM,Western Europe,4,Audi Q3,889,2.00%,-8.30%,969,2.10%,4,Europe
Luxembourg,EUCOM,Western Europe,5,BMW 1 Series,744,1.70%,6.60%,698,1.50%,5,Europe
Luxembourg,EUCOM,Western Europe,6,Mercedes GLC,739,1.70%,-27.70%,"1,022",2.30%,3,Europe
Luxembourg,EUCOM,Western Europe,7,BMW 3 Series,739,1.70%,7.60%,687,1.50%,6,Europe
Luxembourg,EUCOM,Western Europe,8,Mercedes A Class,719,1.60%,-40.70%,"1,212",2.70%,2,Europe
Luxembourg,EUCOM,Western Europe,9,Audi A3,703,1.60%,40.60%,500,1.10%,n/a,Europe
Luxembourg,EUCOM,Western Europe,10,VW T-Roc,700,1.60%,5.60%,663,1.50%,n/a,Europe
