Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Mexico,NORTHCOM,North America,1,Nissan Versa,"69,775",6.90%,2.60%,"68,013",7.20%,1,North America
Mexico,NORTHCOM,North America,2,Nissan Pickup (NP300),"47,884",4.70%,7.40%,"44,577",4.70%,2,North America
Mexico,NORTHCOM,North America,3,Chevrolet Aveo,"37,039",3.70%,19.00%,"31,129",3.30%,5,North America
Mexico,NORTHCOM,North America,4,Kia Rio,"35,249",3.50%,21.50%,"29,014",3.10%,6,North America
Mexico,NORTHCOM,North America,5,Nissan March,"34,974",3.40%,-8.90%,"38,393",4.00%,4,North America
Mexico,NORTHCOM,North America,6,VW Vento,"29,380",2.90%,9.80%,"26,767",2.80%,7,North America
Mexico,NORTHCOM,North America,7,Nissan Sentra,"22,469",2.20%,33.50%,"16,825",1.80%,10,North America
Mexico,NORTHCOM,North America,8,Chevrolet Beat,"19,265",1.90%,-53.90%,"41,782",4.40%,3,North America
Mexico,NORTHCOM,North America,9,Toyota Hilux,"16,635",1.60%,21.70%,"13,666",1.40%,12,North America
Mexico,NORTHCOM,North America,10,Mazda3,"16,560",1.60%,0.50%,"16,485",1.70%,11,North America
Mexico,NORTHCOM,North America,11,Kia Forte,"16,018",1.60%,21.50%,"13,180",1.40%,13,North America
Mexico,NORTHCOM,North America,12,Hyundai Grand i10,"15,363",1.50%,33.80%,"11,479",1.20%,17,North America
Mexico,NORTHCOM,North America,13,Kia Seltos,"14,080",1.40%,10.30%,"12,768",1.30%,14,North America
Mexico,NORTHCOM,North America,14,Nissan Kicks,"13,988",1.40%,29.60%,"10,792",1.10%,20,North America
Mexico,NORTHCOM,North America,15,Ram 1500-4000,"12,970",1.30%,7.60%,"12,055",1.30%,15,North America
Mexico,NORTHCOM,North America,16,Honda HR-V,"12,768",1.30%,11.60%,"11,441",1.20%,18,North America
Mexico,NORTHCOM,North America,17,Chevrolet Onix,"12,362",1.20%,-51.10%,"25,283",2.70%,8,North America
Mexico,NORTHCOM,North America,18,Toyota RAV4,"11,731",1.20%,17.10%,"10,015",1.10%,21,North America
Mexico,NORTHCOM,North America,19,Honda CR-V,"11,537",1.10%,-2.90%,"11,877",1.30%,16,North America
Mexico,NORTHCOM,North America,20,Renault Kwid,"11,368",1.10%,17.10%,"9,709",1.00%,22,North America
Mexico,NORTHCOM,North America,21,Chevrolet Captiva,"10,761",1.10%,new,0,0.00%, –,North America
Mexico,NORTHCOM,North America,22,Seat Ibiza,"10,660",1.10%,44.00%,"7,401",0.80%,36,North America
Mexico,NORTHCOM,North America,23,Toyota Yaris,"10,646",1.00%,32.70%,"8,021",0.80%,31,North America
Mexico,NORTHCOM,North America,24,Chevrolet Tracker,"10,389",1.00%,60.20%,"6,487",0.70%,42,North America
Mexico,NORTHCOM,North America,25,Hyundai Creta,"10,025",1.00%,16.10%,"8,634",0.90%,28,North America
Mexico,NORTHCOM,North America,26,VW Taos,"9,567",0.90%,5244.70%,179,0.00%,224,North America
Mexico,NORTHCOM,North America,27,Ford F-Series,"9,407",0.90%,-13.00%,"10,810",1.10%,19,North America
Mexico,NORTHCOM,North America,28,Toyota Avanza,"9,302",0.90%,30.40%,"7,132",0.80%,38,North America
Mexico,NORTHCOM,North America,29,VW Saveiro,"9,253",0.90%,33.00%,"6,957",0.70%,39,North America
Mexico,NORTHCOM,North America,30,Mazda CX-5,"9,162",0.90%,4.00%,"8,807",0.90%,26,North America
Mexico,NORTHCOM,North America,31,VW Tiguan,"9,009",0.90%,-2.30%,"9,219",1.00%,24,North America
Mexico,NORTHCOM,North America,32,VW Polo,"8,853",0.90%,47.50%,"6,001",0.60%,48,North America
Mexico,NORTHCOM,North America,33,Mitsubishi L200,"8,812",0.90%,71.60%,"5,134",0.50%,56,North America
Mexico,NORTHCOM,North America,34,VW Jetta,"8,774",0.90%,-57.60%,"20,711",2.20%,9,North America
Mexico,NORTHCOM,North America,35,Toyota Corolla,"8,770",0.90%,7.90%,"8,127",0.90%,30,North America
Mexico,NORTHCOM,North America,36,Toyota Sienna,"8,619",0.80%,93.30%,"4,459",0.50%,64,North America
Mexico,NORTHCOM,North America,37,VW Virtus,"8,552",0.80%,26.30%,"6,769",0.70%,40,North America
Mexico,NORTHCOM,North America,38,Mazda CX-30,"8,490",0.80%,16.10%,"7,313",0.80%,37,North America
Mexico,NORTHCOM,North America,39,Kia Sportage,"8,372",0.80%,2.50%,"8,168",0.90%,29,North America
Mexico,NORTHCOM,North America,40,Suzuki Swift,"8,212",0.80%,-6.30%,"8,765",0.90%,27,North America
Mexico,NORTHCOM,North America,41,Chevrolet Silverado,"7,730",0.80%,-19.10%,"9,557",1.00%,23,North America
Mexico,NORTHCOM,North America,42,Ford Ranger,"7,710",0.80%,17.50%,"6,560",0.70%,41,North America
Mexico,NORTHCOM,North America,43,Suzuki Ertiga,"7,487",0.70%,29.50%,"5,781",0.60%,51,North America
Mexico,NORTHCOM,North America,44,Nissan X-Trail,"7,465",0.70%,-1.80%,"7,603",0.80%,34,North America
Mexico,NORTHCOM,North America,45,MG 5,"7,291",0.70%,1844.30%,375,0.00%,183,North America
Mexico,NORTHCOM,North America,46,Honda City,"7,200",0.70%,-20.30%,"9,035",1.00%,25,North America
Mexico,NORTHCOM,North America,47,Dodge Attitude,"7,046",0.70%,10.80%,"6,357",0.70%,43,North America
Mexico,NORTHCOM,North America,48,MG ZS,"6,758",0.70%,3313.10%,198,0.00%,220,North America
Mexico,NORTHCOM,North America,49,VW T-Cross,"6,690",0.70%,12.20%,"5,961",0.60%,49,North America
Mexico,NORTHCOM,North America,50,Renault Duster,"6,257",0.60%,54.60%,"4,048",0.40%,66,North America
Mexico,NORTHCOM,North America,51,Mitsubishi Mirage,"6,121",0.60%,63.30%,"3,749",0.40%,70,North America
Mexico,NORTHCOM,North America,52,Nissan Urvan,"6,010",0.60%,-4.20%,"6,271",0.70%,45,North America
Mexico,NORTHCOM,North America,53,Chevrolet Cavalier,"5,827",0.60%,-7.10%,"6,270",0.70%,46,North America
Mexico,NORTHCOM,North America,54,Suzuki Ignis,"5,748",0.60%,11.40%,"5,158",0.50%,55,North America
Mexico,NORTHCOM,North America,55,Ford Figo,"5,610",0.60%,-24.80%,"7,461",0.80%,35,North America
Mexico,NORTHCOM,North America,56,Hyundai Accent,"5,564",0.50%,4.30%,"5,334",0.60%,53,North America
Mexico,NORTHCOM,North America,57,Toyota Tacoma,"5,303",0.50%,10.80%,"4,784",0.50%,60,North America
Mexico,NORTHCOM,North America,58,Seat Arona,"5,264",0.50%,88.60%,"2,791",0.30%,80,North America
Mexico,NORTHCOM,North America,59,Suzuki Jimny,"5,163",0.50%,17110.00%,30,0.00%,298,North America
Mexico,NORTHCOM,North America,60,Mazda2,"5,055",0.50%,6.90%,"4,730",0.50%,61,North America
Mexico,NORTHCOM,North America,61,Ram 700,"5,051",0.50%,-36.90%,"8,011",0.80%,32,North America
Mexico,NORTHCOM,North America,62,Mazda CX-3,"5,027",0.50%,-19.30%,"6,233",0.70%,47,North America
Mexico,NORTHCOM,North America,63,Ford Transit,"4,924",0.50%,-0.20%,"4,934",0.50%,58,North America
Mexico,NORTHCOM,North America,64,Toyota Prius C,"4,868",0.50%,16.80%,"4,169",0.40%,65,North America
Mexico,NORTHCOM,North America,65,Toyota Prius,"4,580",0.50%,-6.50%,"4,899",0.50%,59,North America
Mexico,NORTHCOM,North America,66,Kia Soul,"4,560",0.40%,-12.90%,"5,236",0.60%,54,North America
Mexico,NORTHCOM,North America,67,Hyundai Tucson,"4,350",0.40%,-4.90%,"4,574",0.50%,63,North America
Mexico,NORTHCOM,North America,68,Ford Bronco Sport,"4,193",0.40%,2811.80%,144,0.00%,238,North America
Mexico,NORTHCOM,North America,69,Jeep Wrangler,"4,182",0.40%,36.70%,"3,059",0.30%,74,North America
Mexico,NORTHCOM,North America,70,Mercedes GLE,"4,074",0.40%,52.00%,"2,681",0.30%,81,North America
Mexico,NORTHCOM,North America,71,Renault Oroch,"3,955",0.40%,-21.90%,"5,065",0.50%,57,North America
Mexico,NORTHCOM,North America,72,Honda BR-V,"3,819",0.40%,1.60%,"3,759",0.40%,69,North America
Mexico,NORTHCOM,North America,73,Honda Civic,"3,717",0.40%,-37.10%,"5,906",0.60%,50,North America
Mexico,NORTHCOM,North America,74,Toyota Highlander,"3,670",0.40%,16.70%,"3,146",0.30%,72,North America
Mexico,NORTHCOM,North America,75,Ram ProMaster Rapid,"3,647",0.40%,-8.90%,"4,005",0.40%,67,North America
Mexico,NORTHCOM,North America,76,Chevrolet Spark,"3,562",0.40%,-34.80%,"5,463",0.60%,52,North America
Mexico,NORTHCOM,North America,77,Suzuki Vitara,"3,513",0.30%,-25.00%,"4,681",0.50%,62,North America
Mexico,NORTHCOM,North America,78,Fiat Mobi,"3,441",0.30%,35.00%,"2,549",0.30%,83,North America
Mexico,NORTHCOM,North America,79,Jeep Renegade,"3,376",0.30%,94.80%,"1,733",0.20%,93,North America
Mexico,NORTHCOM,North America,80,Peugeot Partner,"3,325",0.30%,-16.50%,"3,983",0.40%,68,North America
Mexico,NORTHCOM,North America,81,Toyota Camry,"3,016",0.30%,21.10%,"2,491",0.30%,84,North America
Mexico,NORTHCOM,North America,82,Chevrolet Groove,"2,919",0.30%,new,0,0.00%, –,North America
Mexico,NORTHCOM,North America,83,Mini Cooper,"2,788",0.30%,4.10%,"2,677",0.30%,82,North America
Mexico,NORTHCOM,North America,84,Mercedes Sprinter,"2,645",0.30%,15.00%,"2,301",0.20%,87,North America
Mexico,NORTHCOM,North America,85,VW Transporter,"2,639",0.30%,55.20%,"1,700",0.20%,96,North America
Mexico,NORTHCOM,North America,86,JAC Frison,"2,532",0.20%,150.90%,"1,009",0.10%,131,North America
Mexico,NORTHCOM,North America,87,Fiat Argo,"2,516",0.20%,667.10%,328,0.00%,190,North America
Mexico,NORTHCOM,North America,88,Mercedes GLC,"2,467",0.20%,-20.60%,"3,107",0.30%,73,North America
Mexico,NORTHCOM,North America,89,Chevrolet Suburban,"2,408",0.20%,61.50%,"1,491",0.20%,106,North America
Mexico,NORTHCOM,North America,90,GMC Sierra,"2,362",0.20%,-16.60%,"2,832",0.30%,78,North America
Mexico,NORTHCOM,North America,91,BMW X3,"2,361",0.20%,55.60%,"1,517",0.20%,105,North America
Mexico,NORTHCOM,North America,92,Dodge Charger,"2,306",0.20%,375.50%,485,0.10%,170,North America
Mexico,NORTHCOM,North America,93,BMW X1,"2,248",0.20%,41.90%,"1,584",0.20%,101,North America
Mexico,NORTHCOM,North America,94,Ford Ecosport,"2,217",0.20%,-23.00%,"2,881",0.30%,75,North America
Mexico,NORTHCOM,North America,95,Peugeot 2008,"2,216",0.20%,91.20%,"1,159",0.10%,118,North America
Mexico,NORTHCOM,North America,96,Dodge Journey,"2,209",0.20%,259.20%,615,0.10%,162,North America
Mexico,NORTHCOM,North America,97,Toyota Hiace,"2,192",0.20%,-30.50%,"3,155",0.30%,71,North America
Mexico,NORTHCOM,North America,98,Mitsubishi Xpander,"2,151",0.20%,new,0,0.00%, –,North America
Mexico,NORTHCOM,North America,99,Kia Sorento,"2,071",0.20%,-16.30%,"2,473",0.30%,85,North America
Mexico,NORTHCOM,North America,100,Audi Q3,"1,952",0.20%,-1.10%,"1,973",0.20%,90,North America
Mexico,NORTHCOM,North America,101,MG HS,"1,941",0.20%,1316.80%,137,0.00%,240,North America
Mexico,NORTHCOM,North America,102,Renault Kangoo,"1,936",0.20%,84.70%,"1,048",0.10%,128,North America
Mexico,NORTHCOM,North America,103,Audi Q5,"1,896",0.20%,29.10%,"1,469",0.20%,107,North America
Mexico,NORTHCOM,North America,104,Jeep Grand Cherokee,"1,817",0.20%,-1.60%,"1,846",0.20%,91,North America
Mexico,NORTHCOM,North America,105,Renault Sandero/Stepway,"1,810",0.20%,-16.20%,"2,161",0.20%,88,North America
Mexico,NORTHCOM,North America,106,Seat Leon,"1,784",0.20%,-37.70%,"2,863",0.30%,76,North America
Mexico,NORTHCOM,North America,107,Chevrolet Tornado Van,"1,779",0.20%,new,0,0.00%, –,North America
Mexico,NORTHCOM,North America,108,Chevrolet Tahoe,"1,706",0.20%,72.50%,989,0.10%,132,North America
Mexico,NORTHCOM,North America,109,Audi Q2,"1,615",0.20%,44.70%,"1,116",0.10%,124,North America
Mexico,NORTHCOM,North America,110,Renault Koleos,"1,611",0.20%,-11.20%,"1,815",0.20%,92,North America
Mexico,NORTHCOM,North America,111,Seat Ateca,"1,555",0.20%,37.00%,"1,135",0.10%,121,North America
Mexico,NORTHCOM,North America,112,Volvo XC40,"1,499",0.10%,25.50%,"1,194",0.10%,116,North America
Mexico,NORTHCOM,North America,113,BMW X4,"1,495",0.10%,55.90%,959,0.10%,136,North America
Mexico,NORTHCOM,North America,114,Ford Escape,"1,455",0.10%,4.10%,"1,398",0.10%,110,North America
Mexico,NORTHCOM,North America,115,Suzuki Baleno,"1,435",0.10%,new,0,0.00%, –,North America
Mexico,NORTHCOM,North America,116,Audi A1,"1,406",0.10%,17.80%,"1,194",0.10%,117,North America
Mexico,NORTHCOM,North America,117,JAC J7,"1,397",0.10%,2440.00%,55,0.00%,276,North America
Mexico,NORTHCOM,North America,118,GMC Yukon,"1,391",0.10%,157.10%,541,0.10%,166,North America
Mexico,NORTHCOM,North America,119,Jeep Gladiator,"1,383",0.10%,4.40%,"1,325",0.10%,111,North America
Mexico,NORTHCOM,North America,120,BMW 3 Series,"1,373",0.10%,-14.90%,"1,614",0.20%,98,North America
Mexico,NORTHCOM,North America,121,Peugeot Rifter,"1,316",0.10%,5.90%,"1,243",0.10%,114,North America
Mexico,NORTHCOM,North America,122,JAC Sei2,"1,314",0.10%,15.30%,"1,140",0.10%,120,North America
Mexico,NORTHCOM,North America,123,BMW X5,"1,310",0.10%,7.60%,"1,217",0.10%,115,North America
Mexico,NORTHCOM,North America,124,Mazda CX-9,"1,267",0.10%,13.10%,"1,120",0.10%,123,North America
Mexico,NORTHCOM,North America,125,Hyundai Elantra,"1,267",0.10%,50.80%,840,0.10%,141,North America
Mexico,NORTHCOM,North America,126,Subaru Forester,"1,247",0.10%,53.40%,813,0.10%,142,North America
Mexico,NORTHCOM,North America,127,Honda Accord,"1,244",0.10%,-12.70%,"1,425",0.20%,109,North America
Mexico,NORTHCOM,North America,128,Renault Captur,"1,242",0.10%,-22.10%,"1,594",0.20%,100,North America
Mexico,NORTHCOM,North America,129,Ford Explorer,"1,192",0.10%,11.20%,"1,072",0.10%,127,North America
Mexico,NORTHCOM,North America,130,Jeep Compass,"1,172",0.10%,-7.40%,"1,266",0.10%,113,North America
Mexico,NORTHCOM,North America,131,Honda Odyssey,"1,172",0.10%,9.20%,"1,073",0.10%,126,North America
Mexico,NORTHCOM,North America,132,VW Teramont,"1,158",0.10%,51.00%,767,0.10%,147,North America
Mexico,NORTHCOM,North America,133,Peugeot 3008,"1,153",0.10%,18.30%,975,0.10%,134,North America
Mexico,NORTHCOM,North America,134,Buick Encore,"1,070",0.10%,-1.90%,"1,091",0.10%,125,North America
Mexico,NORTHCOM,North America,135,Mercedes CLA,"1,060",0.10%,-19.50%,"1,317",0.10%,112,North America
Mexico,NORTHCOM,North America,136,Isuzu Elf,"1,045",0.10%,8.40%,964,0.10%,135,North America
Mexico,NORTHCOM,North America,137,GMC Terrain,"1,015",0.10%,-35.60%,"1,576",0.20%,102,North America
Mexico,NORTHCOM,North America,138,Volvo XC60,"1,014",0.10%,55.00%,654,0.10%,157,North America
Mexico,NORTHCOM,North America,139,Kia Niro,"1,010",0.10%,13.90%,887,0.10%,140,North America
Mexico,NORTHCOM,North America,140,BMW X2,992,0.10%,52.60%,650,0.10%,158,North America
Mexico,NORTHCOM,North America,141,VW Golf,971,0.10%,-41.90%,"1,671",0.20%,97,North America
Mexico,NORTHCOM,North America,142,Ford Transit Courier,964,0.10%,new,0,0.00%, –,North America
Mexico,NORTHCOM,North America,143,Chevrolet Colorado,955,0.10%,-15.40%,"1,129",0.10%,122,North America
Mexico,NORTHCOM,North America,144,Chevrolet Blazer,930,0.10%,-9.50%,"1,028",0.10%,129,North America
Mexico,NORTHCOM,North America,145,Mini Countryman,920,0.10%,19.90%,767,0.10%,146,North America
Mexico,NORTHCOM,North America,146,VW Crafter,910,0.10%,21.20%,751,0.10%,151,North America
Mexico,NORTHCOM,North America,147,Suzuki S-Cross,893,0.10%,18.80%,752,0.10%,150,North America
Mexico,NORTHCOM,North America,148,Cupra Formentor,883,0.10%,new,0,0.00%, –,North America
Mexico,NORTHCOM,North America,149,Mazda MX-5,865,0.10%,9.10%,793,0.10%,144,North America
Mexico,NORTHCOM,North America,150,Peugeot Landtrek,862,0.10%,669.60%,112,0.00%,249,North America
Mexico,NORTHCOM,North America,151,Ford Maverick,847,0.10%,new,0,0.00%, –,North America
Mexico,NORTHCOM,North America,152,Peugeot 301,819,0.10%,7.10%,765,0.10%,148,North America
Mexico,NORTHCOM,North America,153,Fiat Ducato,805,0.10%,142.50%,332,0.00%,189,North America
Mexico,NORTHCOM,North America,154,Toyota Raize,788,0.10%,new,0,0.00%, –,North America
Mexico,NORTHCOM,North America,155,Seat Tarraco,786,0.10%,2.30%,768,0.10%,145,North America
Mexico,NORTHCOM,North America,156,Honda Pilot,780,0.10%,-17.50%,946,0.10%,137,North America
Mexico,NORTHCOM,North America,157,Mercedes GLB,779,0.10%,-16.90%,937,0.10%,139,North America
Mexico,NORTHCOM,North America,158,Subaru XV,775,0.10%,43.50%,540,0.10%,167,North America
