Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Moldova,EUCOM,Eastern Europe,1,Toyota RAV4,530,7.70%,28.60%,412,7.90%,1,Europe
Moldova,EUCOM,Eastern Europe,2,Kia Sportage,464,6.80%,91.70%,242,4.60%,4,Europe
Moldova,EUCOM,Eastern Europe,3,Dacia Duster,457,6.70%,44.20%,317,6.10%,2,Europe
Moldova,EUCOM,Eastern Europe,4,Dacia Logan,301,4.40%,-1.30%,305,5.80%,3,Europe
Moldova,EUCOM,Eastern Europe,5,Hyundai Tucson,242,3.50%,66.90%,145,2.80%,7,Europe
Moldova,EUCOM,Eastern Europe,6,Suzuki Vitara,233,3.40%,n/a,n/a,n/a,n/a,Europe
Moldova,EUCOM,Eastern Europe,7,Skoda Kodiaq,175,2.60%,-8.90%,192,3.70%,5,Europe
Moldova,EUCOM,Eastern Europe,8,Kia Rio,172,2.50%,n/a,n/a,n/a,n/a,Europe
Moldova,EUCOM,Eastern Europe,9,Renault Kadjar,129,1.90%,n/a,n/a,n/a,n/a,Europe
Moldova,EUCOM,Eastern Europe,10,Suzuki SX4 S-Cross,114,1.70%,n/a,n/a,n/a,n/a,Europe
