Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
North Macedonia,EUCOM,Southeastern Europe,1,Kia Sportage,308,5.60%,146.40%,125,2.40%,5,Europe
North Macedonia,EUCOM,Southeastern Europe,2,Citroen C3,287,5.20%,28.10%,224,4.40%,1,Europe
North Macedonia,EUCOM,Southeastern Europe,3,Toyota Corolla,188,3.40%,67.90%,112,2.20%,8,Europe
North Macedonia,EUCOM,Southeastern Europe,4,Hyundai Tucson,178,3.30%,17.10%,152,3.00%,2,Europe
North Macedonia,EUCOM,Southeastern Europe,5,Dacia Duster,171,3.10%,n/a,n/a,n/a,n/a,Europe
North Macedonia,EUCOM,Southeastern Europe,6,Skoda Octavia,112,2.00%,-16.40%,134,2.60%,4,Europe
North Macedonia,EUCOM,Southeastern Europe,7,Fiat Ducato,109,2.00%,n/a,n/a,n/a,n/a,Europe
North Macedonia,EUCOM,Southeastern Europe,8,Toyota RAV4,99,1.80%,n/a,n/a,n/a,n/a,Europe
North Macedonia,EUCOM,Southeastern Europe,9,Toyota Aygo,98,1.80%,n/a,n/a,n/a,n/a,Europe
North Macedonia,EUCOM,Southeastern Europe,10,Renault Clio,95,1.70%,n/a,n/a,n/a,n/a,Europe
