Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Norway,EUCOM,Northern Europe,1,Tesla Model 3,"12,058",6.80%,55.20%,"7,770",5.50%,2,Europe
Norway,EUCOM,Northern Europe,2,Toyota RAV4,"8,928",5.10%,102.40%,"4,412",3.10%,7,Europe
Norway,EUCOM,Northern Europe,3,VW ID.4,"8,645",4.90%,new,0,0.00%, –,Europe
Norway,EUCOM,Northern Europe,4,Tesla Model Y,"8,267",4.70%,new,0,0.00%, –,Europe
Norway,EUCOM,Northern Europe,5,Volvo XC40,"6,425",3.60%,117.80%,"2,950",2.10%,11,Europe
Norway,EUCOM,Northern Europe,6,Ford Mustang Mach-E,"6,160",3.50%,new,0,0.00%, –,Europe
Norway,EUCOM,Northern Europe,7,Audi e-tron,"5,745",3.30%,-37.70%,"9,226",6.50%,1,Europe
Norway,EUCOM,Northern Europe,8,Skoda Enyaq,"5,711",3.20%,new,0,0.00%, –,Europe
Norway,EUCOM,Northern Europe,9,Nissan Leaf ,"5,313",3.00%,1.80%,"5,221",3.70%,4,Europe
Norway,EUCOM,Northern Europe,10,Polestar 2,"4,103",2.30%,44.90%,"2,831",2.00%,12,Europe
Norway,EUCOM,Northern Europe,11,Mercedes EQC,"3,946",2.20%,9.20%,"3,614",2.60%,9,Europe
Norway,EUCOM,Northern Europe,12,Hyundai Ioniq 5,"3,557",2.00%,new,0,0.00%, –,Europe
Norway,EUCOM,Northern Europe,13,Volvo XC60,"3,298",1.90%,30.00%,"2,537",1.80%,14,Europe
Norway,EUCOM,Northern Europe,14,Hyundai Kona,"3,281",1.90%,-34.80%,"5,029",3.60%,6,Europe
Norway,EUCOM,Northern Europe,15,Peugeot 2008,"3,252",1.80%,90.70%,"1,705",1.20%,26,Europe
Norway,EUCOM,Northern Europe,16,Audi Q4,"3,241",1.80%,new,0,0.00%, –,Europe
Norway,EUCOM,Northern Europe,17,VW ID.3,"3,209",1.80%,-58.60%,"7,754",5.50%,3,Europe
Norway,EUCOM,Northern Europe,18,Kia Niro,"2,664",1.50%,50.30%,"1,773",1.30%,24,Europe
Norway,EUCOM,Northern Europe,19,MG ZS,"2,538",1.40%,-31.80%,"3,720",2.60%,8,Europe
Norway,EUCOM,Northern Europe,20,Toyota Corolla,"2,519",1.40%,1.30%,"2,487",1.80%,16,Europe
