Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Poland,EUCOM,Central Europe,1,Toyota Corolla,"22,096",5.00%,26.20%,"17,507",4.20%,2,Europe
Poland,EUCOM,Central Europe,2,Toyota Yaris,"14,481",3.30%,-5.80%,"15,379",3.70%,3,Europe
Poland,EUCOM,Central Europe,3,Skoda Octavia,"13,116",3.00%,-29.70%,"18,667",4.50%,1,Europe
Poland,EUCOM,Central Europe,4,Dacia Duster,"12,695",2.90%,-2.10%,"12,967",3.10%,4,Europe
Poland,EUCOM,Central Europe,5,Toyota RAV4,"10,993",2.50%,14.70%,"9,587",2.30%,6,Europe
Poland,EUCOM,Central Europe,6,Skoda Fabia,"10,604",2.40%,-12.60%,"12,136",2.90%,5,Europe
Poland,EUCOM,Central Europe,7,Toyota C-HR,"9,662",2.20%,16.80%,"8,271",2.00%,9,Europe
Poland,EUCOM,Central Europe,8,Hyundai Tucson,"9,589",2.20%,49.20%,"6,427",1.50%,14,Europe
Poland,EUCOM,Central Europe,9,Hyundai i30,"7,793",1.80%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,10,Kia Sportage,"7,659",1.70%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,11,Kia Ceed,"7,607",1.70%,26.30%,"6,024",1.40%,15,Europe
Poland,EUCOM,Central Europe,12,VW T-Roc,"7,489",1.70%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,13,Toyota Aygo,"7,000",1.60%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,14,VW Tiguan,"5,921",1.40%,-11.90%,"6,721",1.60%,11,Europe
Poland,EUCOM,Central Europe,15,Renault Clio,"5,580",1.30%,-35.20%,"8,616",2.10%,8,Europe
Poland,EUCOM,Central Europe,16,VW Golf,"5,417",1.20%,-26.20%,"7,342",1.80%,10,Europe
Poland,EUCOM,Central Europe,17,Skoda Superb,"5,356",1.20%,-16.70%,"6,431",1.50%,13,Europe
Poland,EUCOM,Central Europe,18,Fiat Tipo,"5,192",1.20%,-40.60%,"8,744",2.10%,7,Europe
Poland,EUCOM,Central Europe,19,Ford Focus,"5,080",1.20%,-23.00%,"6,594",1.60%,12,Europe
Poland,EUCOM,Central Europe,20,Dacia Sandero,"4,985",1.10%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,21,Skoda Kamiq,"4,832",1.10%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,22,VW Passat,"4,512",1.00%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,23,Volvo XC60,"4,209",1.00%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,24,Nissan Qashqai,"4,161",0.90%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,25,Kia Xceed,"4,119",0.90%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,26,Seat Leon,"4,119",0.90%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,27,BMW 3 Series,"4,084",0.90%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,28,Suzuki Vitara,"3,964",0.90%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,29,Audi Q5,"3,959",0.90%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,30,Kia Stonic,"3,934",0.90%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,31,Hyundai i20,"3,827",0.90%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,32,Skoda Scala,"3,807",0.90%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,33,Skoda Karoq,"3,677",0.80%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,34,VW T-Cross,"3,394",0.80%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,35,BMW X3,"3,389",0.80%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,36,Toyota Camry,"3,366",0.80%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,37,Opel Corsa,"3,354",0.80%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,38,Skoda Kodiaq,"3,281",0.70%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,39,Ford Puma,"3,250",0.70%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,40,Mazda CX-30,"3,239",0.70%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,41,Opel Astra,"3,207",0.70%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,42,Audi Q3,"3,090",0.70%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,43,Renault Captur,"3,084",0.70%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,44,Volvo XC40,"3,037",0.70%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,45,Citroen C3,"2,957",0.70%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,46,Suzuki SX4 S-Cross,"2,835",0.60%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,47,Kia Rio,"2,835",0.60%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,48,Suzuki Swift,"2,715",0.60%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,49,Opel Crossland X,"2,706",0.60%,n/a,,,n/a,Europe
Poland,EUCOM,Central Europe,50,Hyundai Kona,"2,662",0.60%,n/a,,,n/a,Europe
