Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Portugal,EUCOM,Southwestern Europe,1,Peugeot 2008,"6,404",4.40%,33.90%,"4,781",3.30%,3,Europe
Portugal,EUCOM,Southwestern Europe,2,Renault Clio,"5,601",3.80%,-29.90%,"7,989",5.50%,1,Europe
Portugal,EUCOM,Southwestern Europe,3,Renault Captur,"5,017",3.40%,18.60%,"4,231",2.90%,4,Europe
Portugal,EUCOM,Southwestern Europe,4,Peugeot 208,"4,834",3.30%,23.90%,"3,903",2.70%,5,Europe
Portugal,EUCOM,Southwestern Europe,5,Mercedes A-Class,"3,998",2.70%,-33.10%,"5,978",4.10%,2,Europe
Portugal,EUCOM,Southwestern Europe,6,Citroen C3,"3,520",2.40%,4.70%,"3,361",2.30%,6,Europe
Portugal,EUCOM,Southwestern Europe,7,Dacia Sandero,"3,501",2.40%,44.30%,"2,427",1.70%,13,Europe
Portugal,EUCOM,Southwestern Europe,8,BMW 1 Series,"3,216",2.20%,0.60%,"3,198",2.20%,7,Europe
Portugal,EUCOM,Southwestern Europe,9,Toyota Yaris,"2,798",1.90%,36.80%,"2,046",1.40%,19,Europe
Portugal,EUCOM,Southwestern Europe,10,Peugeot 3008,"2,652",1.80%,29.30%,"2,051",1.40%,18,Europe
Portugal,EUCOM,Southwestern Europe,11,Opel Corsa,"2,540",1.70%,27.10%,"1,998",1.40%,22,Europe
Portugal,EUCOM,Southwestern Europe,12,Hyundai Kauai,"2,455",1.70%,6.10%,"2,314",1.60%,15,Europe
Portugal,EUCOM,Southwestern Europe,13,Seat Ibiza,"2,432",1.70%,40.80%,"1,727",1.20%,26,Europe
Portugal,EUCOM,Southwestern Europe,14,Volvo XC40,"2,374",1.60%,17.90%,"2,014",1.40%,20,Europe
Portugal,EUCOM,Southwestern Europe,15,Fiat 500,"2,371",1.60%,-15.40%,"2,802",1.90%,9,Europe
Portugal,EUCOM,Southwestern Europe,16,Seat Arona,"2,210",1.50%,1.60%,"2,176",1.50%,16,Europe
Portugal,EUCOM,Southwestern Europe,17,Renault Mégane,"2,130",1.50%,-30.00%,"3,044",2.10%,8,Europe
Portugal,EUCOM,Southwestern Europe,18,Toyota Corolla,"2,115",1.40%,24.00%,"1,706",1.20%,27,Europe
Portugal,EUCOM,Southwestern Europe,19,Nissan Juke,"2,042",1.40%,8.00%,"1,891",1.30%,24,Europe
Portugal,EUCOM,Southwestern Europe,20,BMW 3 Series,"1,923",1.30%,-4.10%,"2,005",1.40%,21,Europe
Portugal,EUCOM,Southwestern Europe,21,Ford Puma,"1,716",1.20%,-1.30%,"1,738",1.20%,25,Europe
Portugal,EUCOM,Southwestern Europe,22,Citroen C4,"1,694",1.20%,1266.10%,124,0.10%,149,Europe
