Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Russia,EUCOM,Eastern Europe,1,Lada Vesta,"113,698",6.80%,6.00%,"107,281",6.70%,2,Europe
Russia,EUCOM,Eastern Europe,2,Lada Granta,"111,430",6.70%,-11.60%,"126,112",7.90%,1,Europe
Russia,EUCOM,Eastern Europe,3,Kia Rio,"82,941",5.00%,-5.80%,"88,064",5.50%,3,Europe
Russia,EUCOM,Eastern Europe,4,Hyundai Creta,"68,081",4.10%,-7.40%,"73,537",4.60%,4,Europe
Russia,EUCOM,Eastern Europe,5,Hyundai Solaris,"61,061",3.70%,23.90%,"49,280",3.10%,6,Europe
Russia,EUCOM,Eastern Europe,6,Lada Niva,"51,242",3.10%,4.80%,"48,913",3.10%,7,Europe
Russia,EUCOM,Eastern Europe,7,GAZ Gazelle,"47,032",2.80%,8.20%,"43,457",2.70%,8,Europe
Russia,EUCOM,Eastern Europe,8,VW Polo,"46,887",2.80%,-19.80%,"58,455",3.70%,5,Europe
Russia,EUCOM,Eastern Europe,9,Skoda Rapid PA II,"41,680",2.50%,58.70%,"26,267",1.60%,17,Europe
Russia,EUCOM,Eastern Europe,10,Renault Duster,"41,471",2.50%,31.10%,"31,640",2.00%,13,Europe
Russia,EUCOM,Eastern Europe,11,Lada Largus,"39,541",2.40%,6.40%,"37,166",2.30%,9,Europe
Russia,EUCOM,Eastern Europe,12,Toyota RAV4,"38,441",2.30%,5.50%,"36,433",2.30%,10,Europe
Russia,EUCOM,Eastern Europe,13,Toyota Camry,"31,983",1.90%,16.80%,"27,373",1.70%,16,Europe
Russia,EUCOM,Eastern Europe,14,Renault Logan,"29,783",1.80%,-8.70%,"32,628",2.00%,12,Europe
Russia,EUCOM,Eastern Europe,15,VW Tiguan,"29,232",1.80%,-11.40%,"32,982",2.10%,11,Europe
Russia,EUCOM,Eastern Europe,16,Kia K5,"29,224",1.80%,259.60%,"8,126",0.50%,n/a,Europe
Russia,EUCOM,Eastern Europe,17,Kia Sportage,"24,969",1.50%,-11.40%,"28,190",1.80%,15,Europe
Russia,EUCOM,Eastern Europe,18,Renault Sandero,"22,386",1.30%,-14.00%,"26,038",1.60%,18,Europe
Russia,EUCOM,Eastern Europe,19,Lada XRAY,"22,107",1.30%,14.60%,"19,286",1.20%,26,Europe
Russia,EUCOM,Eastern Europe,20,Ford Transit,"20,840",1.30%,48.50%,"14,038",0.90%,n/a,Europe
Russia,EUCOM,Eastern Europe,21,Nissan Qashqai,"20,474",1.20%,-7.40%,"22,110",1.40%,19,Europe
Russia,EUCOM,Eastern Europe,22,Mazda CX-5,"19,828",1.20%,-1.00%,"20,033",1.30%,25,Europe
Russia,EUCOM,Eastern Europe,23,Skoda Karoq,"19,487",1.20%,25.30%,"15,551",1.00%,n/a,Europe
Russia,EUCOM,Eastern Europe,24,Nissan X-Trail,"19,010",1.10%,-6.10%,"20,237",1.30%,24,Europe
Russia,EUCOM,Eastern Europe,25,Renault Kaptur,"18,889",1.10%,-6.90%,"20,284",1.30%,23,Europe
Russia,EUCOM,Eastern Europe,26,Renault Arkana,"18,246",1.10%,8.50%,"16,814",1.10%,n/a,Europe
Russia,EUCOM,Eastern Europe,27,Kia Seltos,"17,865",1.10%,39.90%,"12,774",0.80%,n/a,Europe
