Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Saudi Arabia,CENTCOM,West Asia,1,Toyota Camry,"33,420",0,26.60%,"26,403",5.80%,2,Asia
Saudi Arabia,CENTCOM,West Asia,2,Hyundai Elantra,"24,898",0,-7.30%,"26,853",5.90%,1,Asia
Saudi Arabia,CENTCOM,West Asia,3,Toyota Yaris,"24,547",0,40.80%,"17,432",3.80%,5,Asia
Saudi Arabia,CENTCOM,West Asia,4,Hyundai Accent,"24,042",0,11.70%,"21,517",4.70%,4,Asia
Saudi Arabia,CENTCOM,West Asia,5,Toyota Hilux,"22,957",0,5.10%,"21,838",4.80%,3,Asia
Saudi Arabia,CENTCOM,West Asia,6,Toyota Corolla,"16,171",0,21.70%,"13,285",2.90%,7,Asia
Saudi Arabia,CENTCOM,West Asia,7,Nissan Sunny,"15,655",0,22.20%,"12,812",2.80%,9,Asia
Saudi Arabia,CENTCOM,West Asia,8,Isuzu TF,"13,341",0,-0.40%,"13,395",2.90%,6,Asia
Saudi Arabia,CENTCOM,West Asia,9,Hyundai Sonata,"12,515",2.20%,69.40%,"7,389",1.60%,14,Asia
Saudi Arabia,CENTCOM,West Asia,10,Ford Taurus,"11,094",0,73.00%,"6,411",1.40%,20,Asia
Saudi Arabia,CENTCOM,West Asia,11,Toyota Fortuner,"10,761",1.90%,20.40%,"8,935",2.00%,10,Asia
Saudi Arabia,CENTCOM,West Asia,12,Mazda 6,"10,248",1.80%,-22.80%,"13,269",2.90%,8,Asia
Saudi Arabia,CENTCOM,West Asia,13,Toyota Rush,"8,690",1.50%,98.00%,"4,389",1.00%,27,Asia
Saudi Arabia,CENTCOM,West Asia,14,Kia Pegas,"8,249",1.50%,10.00%,"7,502",1.60%,12,Asia
Saudi Arabia,CENTCOM,West Asia,15,Isuzu N-Series,"8,076",0,23.00%,"6,566",1.40%,19,Asia
Saudi Arabia,CENTCOM,West Asia,16,Hyundai Kona,"7,973",1.40%,17.50%,"6,786",1.50%,17,Asia
Saudi Arabia,CENTCOM,West Asia,17,MG 5,"7,888",1.40%,9.30%,"7,219",1.60%,16,Asia
Saudi Arabia,CENTCOM,West Asia,18,MG ZS,"7,304",0,143.10%,"3,004",0.70%,43,Asia
Saudi Arabia,CENTCOM,West Asia,19,Chevrolet Captiva,"7,252",1.30%,71.20%,"4,237",0.90%,28,Asia
Saudi Arabia,CENTCOM,West Asia,20,Toyota Land Cruiser Sw,"7,241",0,-2.50%,"7,430",1.60%,13,Asia
Saudi Arabia,CENTCOM,West Asia,21,Toyota RAV4,"7,234",1.30%,43.60%,"5,037",1.10%,23,Asia
Saudi Arabia,CENTCOM,West Asia,22,Mazda CX-9,"6,909",1.20%,-4.80%,"7,259",1.60%,15,Asia
Saudi Arabia,CENTCOM,West Asia,23,Mitsubishi L200,"6,388",1.10%,117.60%,"2,935",0.60%,46,Asia
Saudi Arabia,CENTCOM,West Asia,24,Hyundai Tucson,"6,337",1.10%,-3.50%,"6,570",1.40%,18,Asia
Saudi Arabia,CENTCOM,West Asia,25,Honda Accord,"6,086",1.10%,49.50%,"4,072",0.90%,31,Asia
Saudi Arabia,CENTCOM,West Asia,26,Toyota Hiace,"6,061",1.10%,30.40%,"4,647",1.00%,26,Asia
Saudi Arabia,CENTCOM,West Asia,27,Hyundai Creta,"5,922",1.00%,45.30%,"4,075",0.90%,30,Asia
Saudi Arabia,CENTCOM,West Asia,28,Nissan X-Trail,"5,822",1.00%,55.80%,"3,736",0.80%,34,Asia
Saudi Arabia,CENTCOM,West Asia,29,Toyota Land Cruiser H/D,"5,808",1.00%,6.40%,"5,459",1.20%,21,Asia
Saudi Arabia,CENTCOM,West Asia,30,Chevrolet Tahoe,"5,655",1.00%,-26.30%,"7,676",1.70%,11,Asia
Saudi Arabia,CENTCOM,West Asia,31,Nissan Patrol,"5,257",0.90%,11.90%,"4,696",1.00%,25,Asia
Saudi Arabia,CENTCOM,West Asia,32,Haval H6,"5,087",0.90%,new,0,0.00%, –,Asia
Saudi Arabia,CENTCOM,West Asia,33,Mazda CX-5,"4,864",0.90%,29.20%,"3,766",0.80%,33,Asia
Saudi Arabia,CENTCOM,West Asia,34,Changan Alsvin,"4,815",0.80%,43.40%,"3,358",0.70%,38,Asia
Saudi Arabia,CENTCOM,West Asia,35,Geely Coolray (SX11),"4,779",0.80%,91.90%,"2,490",0.50%,55,Asia
Saudi Arabia,CENTCOM,West Asia,36,Changan Eado Plus,"4,705",0.80%,new,0,0.00%, –,Asia
Saudi Arabia,CENTCOM,West Asia,37,Mazda CX-30,"4,624",0.80%,134.40%,"1,973",0.40%,60,Asia
Saudi Arabia,CENTCOM,West Asia,38,Lexus ES,"4,619",0.80%,23.60%,"3,736",0.80%,35,Asia
Saudi Arabia,CENTCOM,West Asia,39,Hyundai Azera,"4,274",0.80%,47.40%,"2,900",0.60%,47,Asia
Saudi Arabia,CENTCOM,West Asia,40,Changan CS95,"4,246",0.70%,42.10%,"2,989",0.70%,44,Asia
Saudi Arabia,CENTCOM,West Asia,41,Toyota Avalon,"4,216",0.70%,31.00%,"3,219",0.70%,40,Asia
Saudi Arabia,CENTCOM,West Asia,42,Nissan Altima,"4,114",0.70%,101.30%,"2,044",0.40%,59,Asia
Saudi Arabia,CENTCOM,West Asia,43,Hyundai Santa Fe,"4,052",0.70%,46.00%,"2,776",0.60%,48,Asia
Saudi Arabia,CENTCOM,West Asia,44,Mitsubishi Attrage,"3,997",0.70%,-16.10%,"4,763",1.00%,24,Asia
Saudi Arabia,CENTCOM,West Asia,45,Changan CS85,"3,898",0.70%,100.40%,"1,945",0.40%,61,Asia
Saudi Arabia,CENTCOM,West Asia,46,Kia Optima,"3,885",0.70%,-6.90%,"4,175",0.90%,29,Asia
Saudi Arabia,CENTCOM,West Asia,47,Changan CS35 Plus,"3,837",0.70%,14.60%,"3,347",0.70%,39,Asia
