Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Serbia,EUCOM,Southeastern Europe,1,Skoda Fabia,"1,610",5.30%,49.40%,"1,078",4.10%,3,Europe
Serbia,EUCOM,Southeastern Europe,2,Fiat 500L,"1,527",5.00%,61.60%,945,3.60%,4,Europe
Serbia,EUCOM,Southeastern Europe,3,Skoda Octavia,973,3.20%,-22.30%,"1,252",4.70%,2,Europe
Serbia,EUCOM,Southeastern Europe,4,Fiat Tipo,895,2.90%,6.20%,843,3.20%,5,Europe
Serbia,EUCOM,Southeastern Europe,5,Kia Sportage,886,2.90%,n/a,n/a,n/a,n/a,Europe
Serbia,EUCOM,Southeastern Europe,6,Skoda Superb,688,2.30%,16.20%,592,2.20%,8,Europe
Serbia,EUCOM,Southeastern Europe,7,Dacia Duster,680,2.20%,n/a,n/a,n/a,n/a,Europe
Serbia,EUCOM,Southeastern Europe,8,Hyundai Tucson,668,2.20%,43.70%,465,1.70%,n/a,Europe
Serbia,EUCOM,Southeastern Europe,9,Dacia Sandero,658,2.20%,-11.20%,741,2.80%,6,Europe
Serbia,EUCOM,Southeastern Europe,10,Citroen C3,641,2.10%,n/a,n/a,n/a,n/a,Europe
