Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Slovakia,EUCOM,Central Europe,1,Skoda Fabia,"4,165",5.50%,8.90%,"3,825",100.00%,2,Europe
Slovakia,EUCOM,Central Europe,2,Hyundai i30,"3,479",4.60%,72.90%,"2,012",400.00%,,Europe
Slovakia,EUCOM,Central Europe,3,Skoda Octavia,"3,218",4.30%,-4.80%,"3,382",200.00%,,Europe
Slovakia,EUCOM,Central Europe,4,Kia Ceed,"2,541",3.40%,25.50%,"2,024",300.00%,,Europe
Slovakia,EUCOM,Central Europe,5,Hyundai Tucson,"2,299",3.00%,48.10%,"1,552",800.00%,,Europe
Slovakia,EUCOM,Central Europe,6,Skoda Kamiq,"2,192",2.90%,27.60%,"1,718",600.00%,,Europe
Slovakia,EUCOM,Central Europe,7,Skoda Scala,"1,908",2.50%,-3.50%,"1,978",500.00%,,Europe
Slovakia,EUCOM,Central Europe,8,Skoda Karoq,"1,688",2.20%,18.50%,"1,425",900.00%,,Europe
Slovakia,EUCOM,Central Europe,9,Kia Sportage,"1,601",2.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,10,VW T-Cross,"1,515",2.00%,,,,,Europe
Slovakia,EUCOM,Central Europe,11,Toyota Corolla,"1,433",1.90%,,,,,Europe
Slovakia,EUCOM,Central Europe,12,Peugeot 2008,"1,391",1.80%,,,,,Europe
Slovakia,EUCOM,Central Europe,13,Toyota RAV4,"1,356",1.80%,,,,,Europe
Slovakia,EUCOM,Central Europe,14,Dacia Duster,"1,297",1.70%,-6.40%,"1,385",1000.00%,,Europe
Slovakia,EUCOM,Central Europe,15,VW Golf,"1,208",1.60%,,,,,Europe
Slovakia,EUCOM,Central Europe,16,Citroen C3,"1,164",1.50%,,,,,Europe
Slovakia,EUCOM,Central Europe,17,Hyundai i20,"1,128",1.50%,,,,,Europe
Slovakia,EUCOM,Central Europe,18,Dacia Sandero,"1,092",1.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,19,Peugeot 208,"1,079",1.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,20,Skoda Kodiaq,"1,006",1.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,21,VW Tiguan,"1,001",1.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,22,Skoda Superb,979,1.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,23,Kia Rio,958,1.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,24,Toyota Yaris,934,1.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,25,Kia Stonic,919,1.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,26,Suzuki SX4 S-Cross,895,1.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,27,VW T-Roc,822,1.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,28,Suzuki Vitara,775,1.00%,,,,,Europe
Slovakia,EUCOM,Central Europe,29,Toyota C-HR,765,1.00%,,,,,Europe
Slovakia,EUCOM,Central Europe,30,Citroen C4,694,0.90%,,,,,Europe
Slovakia,EUCOM,Central Europe,31,Renault Clio,689,0.90%,-56.10%,"1,570",700.00%,,Europe
Slovakia,EUCOM,Central Europe,32,Nissan Qashqai,662,0.90%,,,,,Europe
Slovakia,EUCOM,Central Europe,33,Opel Crossland X,643,0.80%,,,,,Europe
Slovakia,EUCOM,Central Europe,34,Kia Xceed,642,0.80%,,,,,Europe
Slovakia,EUCOM,Central Europe,35,VW Polo,634,0.80%,,,,,Europe
Slovakia,EUCOM,Central Europe,36,Renault Captur,626,0.80%,,,,,Europe
Slovakia,EUCOM,Central Europe,37,Mercedes GLE,594,0.80%,,,,,Europe
Slovakia,EUCOM,Central Europe,38,Hyundai Kona,562,0.70%,,,,,Europe
Slovakia,EUCOM,Central Europe,39,SsangYong Korando C,553,0.70%,,,,,Europe
Slovakia,EUCOM,Central Europe,40,Kia Proceed ,527,0.70%,,,,,Europe
Slovakia,EUCOM,Central Europe,41,Mazda CX-30,510,0.70%,,,,,Europe
Slovakia,EUCOM,Central Europe,42,Opel Corsa,475,0.60%,,,,,Europe
Slovakia,EUCOM,Central Europe,43,Toyota Proace City Verso,466,0.60%,,,,,Europe
Slovakia,EUCOM,Central Europe,44,BMW X5,445,0.60%,,,,,Europe
Slovakia,EUCOM,Central Europe,45,Peugeot 3008,419,0.60%,,,,,Europe
Slovakia,EUCOM,Central Europe,46,Citroen Berlingo,356,0.50%,,,,,Europe
Slovakia,EUCOM,Central Europe,47,VW Touran,352,0.50%,,,,,Europe
Slovakia,EUCOM,Central Europe,48,Seat Leon,324,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,49,Ford Transit Custom,323,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,50,Kia Sorento,323,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,51,Peugeot 308,321,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,52,Toyota Aygo,305,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,53,Mazda CX-5,305,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,54,Jeep Compass,302,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,55,Opel Mokka,296,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,56,Opel Grandland X,294,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,57,Mercedes GLC,292,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,58,Toyota Proace,287,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,59,BMW X3,280,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,60,BMW X1,273,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,61,Suzuki Swift,268,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,62,Peugeot 5008,267,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,63,Opel Combo,266,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,64,Hyundai Santa Fe,266,0.40%,,,,,Europe
Slovakia,EUCOM,Central Europe,65,VW Passat Variant,263,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,66,Suzuki Ignis,261,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,67,Peugeot Rifter,259,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,68,VW Touareg,256,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,69,Honda CR-V,252,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,70,Seat Arona,244,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,71,Citroen C3 Aircross,239,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,72,Mazda3,239,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,73,Renualt Arkana,235,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,74,Citroen C5 Aircross,234,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,75,Mercedes GLS,229,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,76,BMW X6,222,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,77,Toyota Highlander,219,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,78,Hyundai i10,219,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,79,BMW 3 Series,219,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,80,Audi Q3,211,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,81,Volvo XC40,210,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,82,Volvo XC60,210,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,83,Renault Mégane,204,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,84,Audi A3,194,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,85,Fiat 500,192,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,86,BMW 4 Series,191,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,87,Dacia Lodgy,190,0.30%,,,,,Europe
Slovakia,EUCOM,Central Europe,88,Nissan Juke,188,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,89,Skoda Enyaq,187,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,90,Mitsubishi ASX,186,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,91,VW Caddy,183,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,92,Mercedes V Class,177,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,93,VW Arteon,174,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,94,Mercedes S Class,171,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,95,Opel Astra,167,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,96,Seat Ateca ,164,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,97,VW Up!,162,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,98,Land Rover Defender,157,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,99,Mazda CX-3,152,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,100,VW Passat,150,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,101,VW Multivan,150,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,102,Mercedes GLB,147,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,103,BMW X7,147,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,104,Seat Tarraco,147,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,105,Mercedes GLA,146,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,106,Volvo XC90,145,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,107,Ford Kuga,145,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,108,Opel Insignia,145,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,109,Cupra Formentor,143,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,110,Mercedes G Class,143,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,111,BMW 5 Series,143,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,112,Fiat Tipo,141,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,113,Honda Civic,135,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,114,Mercedes A Class,134,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,115,Mercedes CLA,132,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,116,Kia Niro,132,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,117,Hyundai Bayon,130,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,118,Audi Q8,130,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,119,Audi Q5,126,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,120,Subaru Outback,120,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,121,Peugeot Expert,120,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,122,Subaru Forester,116,0.20%,,,,,Europe
Slovakia,EUCOM,Central Europe,123,Audi Q7,112,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,124,Honda HR-V,106,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,125,Nissan X-Trail,105,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,126,Mercedes C Class,97,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,127,Fiat Panda,97,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,128,Mitsubishi Eclipse Cross,94,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,129,Subaru XV,93,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,130,Honda Jazz,93,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,131,Toyota Prius,90,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,132,VW ID.4,90,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,133,Mercedes E Class,90,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,134,Mitsubishi Space Star,90,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,135,Ford Puma,90,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,136,BMW X2,90,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,137,Lexus NX,89,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,138,Lexus RX,86,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,139,Porsche Cayenne,86,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,140,Toyota Land Cruiser,83,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,141,Land Rover Discovery Sport,79,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,142,Toyota Camry,78,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,143,Mini ,75,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,144,Mazda6,75,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,145,Dacia Dokker,74,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,146,Opel Vivaro,73,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,147,Ford Focus Combi,73,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,148,Citroen Jumpy,71,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,149,DS7 Crossback,70,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,150,Jeep Wrangler,69,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,151,Audi A6,64,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,152,Citroen C4 Picasso,64,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,153,Mercedes EQA,62,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,154,Mitsubishi Outlander,61,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,155,BMW 1 Series,61,0.10%,,,,,Europe
Slovakia,EUCOM,Central Europe,156,Audi Q2,60,0.10%,,,,,Europe
