Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Slovenia,EUCOM,Central Europe,1,Renault Clio,"2,627",4.90%,-32.60%,"3,897",7.30%,1,Europe
Slovenia,EUCOM,Central Europe,2,VW T-Cross,"1,859",3.40%,63.10%,"1,140",2.10%,10,Europe
Slovenia,EUCOM,Central Europe,3,Skoda Octavia,"1,808",3.30%,-5.80%,"1,920",3.60%,2,Europe
Slovenia,EUCOM,Central Europe,4,Renault Captur,"1,530",2.80%,-11.50%,"1,728",3.20%,4,Europe
Slovenia,EUCOM,Central Europe,5,Dacia Duster,"1,319",2.40%,1.20%,"1,303",2.40%,6,Europe
Slovenia,EUCOM,Central Europe,6,VW T-Roc,"1,255",2.30%,34.40%,934,1.70%,13,Europe
Slovenia,EUCOM,Central Europe,7,Hyundai Tucson,"1,159",2.10%,-1.30%,"1,174",2.20%,9,Europe
Slovenia,EUCOM,Central Europe,8,Skoda Kamiq,"1,151",2.10%,36.20%,845,1.60%,15,Europe
Slovenia,EUCOM,Central Europe,9,Peugeot 2008,"1,146",2.10%,-3.90%,"1,193",2.20%,8,Europe
Slovenia,EUCOM,Central Europe,10,VW Polo,"1,086",2.00%,5.40%,"1,030",1.90%,12,Europe
Slovenia,EUCOM,Central Europe,11,Fiat 500 ,"1,056",2.00%,38.40%,763,1.40%,18,Europe
Slovenia,EUCOM,Central Europe,12,VW Tiguan,"1,015",1.90%,-16.50%,"1,215",2.30%,7,Europe
Slovenia,EUCOM,Central Europe,13,VW Golf,982,1.80%,-47.60%,"1,875",3.50%,3,Europe
Slovenia,EUCOM,Central Europe,14,Skoda Kodiaq,936,1.70%,21.60%,770,1.40%,17,Europe
Slovenia,EUCOM,Central Europe,15,Citroen C3,927,1.70%,23.30%,752,1.40%,20,Europe
Slovenia,EUCOM,Central Europe,16,Dacia Sandero,916,1.70%,-14.40%,"1,070",2.00%,11,Europe
Slovenia,EUCOM,Central Europe,17,Kia Sportage,895,1.70%,75.50%,510,1.00%,31,Europe
Slovenia,EUCOM,Central Europe,18,Peugeot 208,877,1.60%,16.30%,754,1.40%,19,Europe
Slovenia,EUCOM,Central Europe,19,Kia Stonic,860,1.60%,37.60%,625,1.20%,25,Europe
Slovenia,EUCOM,Central Europe,20,Hyundai Kona,783,1.50%,-10.80%,878,1.60%,14,Europe
Slovenia,EUCOM,Central Europe,21,Ford Tourneo Custom,783,1.50%,104.40%,383,0.70%,42,Europe
Slovenia,EUCOM,Central Europe,22,Nissan Qashqai,743,1.40%,-55.10%,"1,656",3.10%,5,Europe
Slovenia,EUCOM,Central Europe,23,Skoda Karoq,728,1.30%,5.80%,688,1.30%,22,Europe
Slovenia,EUCOM,Central Europe,24,Fiat Panda,659,1.20%,86.70%,353,0.70%,47,Europe
Slovenia,EUCOM,Central Europe,25,Renault Mégane,620,1.10%,-25.60%,833,1.60%,16,Europe
Slovenia,EUCOM,Central Europe,26,Toyota Corolla,615,1.10%,-0.30%,617,1.10%,26,Europe
