Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Sout Korea Imports,INDOPACOM,East Asia,1,Mercedes E Class,"26,109",10.99%,-22.40%,"33,642",17.11%,1,Asia
Sout Korea Imports,INDOPACOM,East Asia,2,BMW 5 Series,"17,740",7.47%,-14.10%,"20,643",10.50%,2,Asia
Sout Korea Imports,INDOPACOM,East Asia,3,Audi A6,"12,273",5.17%,6.10%,"11,571",5.88%,4,Asia
Sout Korea Imports,INDOPACOM,East Asia,4,Mercedes S Class,"11,239",4.73%,80.60%,"6,223",3.16%,7,Asia
Sout Korea Imports,INDOPACOM,East Asia,5,Tesla Model 3,"8,893",3.74%,n/a,n/a,0.00%,n/a,Asia
Sout Korea Imports,INDOPACOM,East Asia,6,Tesla Model Y,"8,886",3.74%,new,0,0.00%, –,Asia
Sout Korea Imports,INDOPACOM,East Asia,7,BMW 3 Series,"7,980",3.36%,-2.10%,"8,150",4.14%,5,Asia
Sout Korea Imports,INDOPACOM,East Asia,8,Mercedes GLE,"6,856",2.89%,n/a,n/a,0.00%,n/a,Asia
Sout Korea Imports,INDOPACOM,East Asia,9,Lexus ES,"6,748",2.84%,17.70%,"5,732",2.91%,10,Asia
Sout Korea Imports,INDOPACOM,East Asia,10,Mercedes GLC,"6,282",2.64%,-15.70%,"7,453",3.79%,6,Asia
Sout Korea Imports,INDOPACOM,East Asia,11,BMW X5,"5,601",2.36%,57.30%,"3,560",1.81%,19,Asia
Sout Korea Imports,INDOPACOM,East Asia,12,Mini Cooper Hatch,"5,305",2.23%,-1.70%,"5,396",2.74%,11,Asia
Sout Korea Imports,INDOPACOM,East Asia,13,Mercedes GLB,"5,218",2.20%,n/a,n/a,0.00%,n/a,Asia
Sout Korea Imports,INDOPACOM,East Asia,14,BMW X3,"5,094",2.14%,42.30%,"3,581",1.82%,18,Asia
Sout Korea Imports,INDOPACOM,East Asia,15,VW Tiguan,"4,851",2.04%,-58.40%,"11,663",5.93%,3,Asia
Sout Korea Imports,INDOPACOM,East Asia,16,VW Jetta,"4,794",2.02%,82.60%,"2,625",1.33%,25,Asia
Sout Korea Imports,INDOPACOM,East Asia,17,Ford Explorer,"4,660",1.96%,-23.90%,"6,126",3.12%,8,Asia
Sout Korea Imports,INDOPACOM,East Asia,18,Mercedes A Class,"4,523",1.90%,-24.20%,"5,970",3.04%,9,Asia
Sout Korea Imports,INDOPACOM,East Asia,19,BMW X7,"4,211",1.77%,57.80%,"2,669",1.36%,23,Asia
Sout Korea Imports,INDOPACOM,East Asia,20,BMW X4,"3,886",1.64%,5.10%,"3,698",1.88%,17,Asia
Sout Korea Imports,INDOPACOM,East Asia,21,BMW X6,"3,867",1.63%,50.20%,"2,575",1.31%,26,Asia
Sout Korea Imports,INDOPACOM,East Asia,22,Chevrolet Colorado,"3,754",1.58%,-25.60%,"5,049",2.57%,14,Asia
Sout Korea Imports,INDOPACOM,East Asia,23,Chevrolet Traverse,"3,483",1.47%,-13.70%,"4,035",2.05%,15,Asia
Sout Korea Imports,INDOPACOM,East Asia,24,Porsche Cayenne,"3,453",1.45%,-7.70%,"3,743",1.90%,16,Asia
Sout Korea Imports,INDOPACOM,East Asia,25,Mercedes CLS,"3,429",1.44%,-34.60%,"5,243",2.67%,13,Asia
