Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Spain,EUCOM,Southwestern Europe,1,Seat Arona,"21,946",2.60%,42.80%,"15,365",1.80%,6,Europe
Spain,EUCOM,Southwestern Europe,2,Hyundai Tucson,"21,258",2.50%,66.80%,"12,743",1.50%,19,Europe
Spain,EUCOM,Southwestern Europe,3,Dacia Sandero,"20,419",2.40%,-15.00%,"24,035",2.80%,1,Europe
Spain,EUCOM,Southwestern Europe,4,Peugeot 2008,"19,426",2.30%,27.60%,"15,226",1.80%,7,Europe
Spain,EUCOM,Southwestern Europe,5,Toyota Corolla,"16,983",2.00%,9.70%,"15,478",1.80%,5,Europe
Spain,EUCOM,Southwestern Europe,6,Peugeot 3008,"16,812",2.00%,14.70%,"14,652",1.70%,8,Europe
Spain,EUCOM,Southwestern Europe,7,Seat Leon,"16,692",1.90%,-29.20%,"23,582",2.80%,2,Europe
Spain,EUCOM,Southwestern Europe,8,VW T-Roc,"15,988",1.90%,23.20%,"12,978",1.50%,14,Europe
Spain,EUCOM,Southwestern Europe,9,Citroen C3  ,"15,948",1.90%,23.20%,"12,948",1.50%,15,Europe
Spain,EUCOM,Southwestern Europe,10,Fiat 500,"15,941",1.90%,30.80%,"12,189",1.40%,20,Europe
Spain,EUCOM,Southwestern Europe,11,Seat Ibiza,"15,103",1.80%,33.20%,"11,342",1.30%,24,Europe
Spain,EUCOM,Southwestern Europe,12,Toyota C-HR,"15,013",1.70%,17.40%,"12,789",1.50%,17,Europe
Spain,EUCOM,Southwestern Europe,13,Peugeot 208,"14,961",1.70%,16.50%,"12,839",1.50%,16,Europe
Spain,EUCOM,Southwestern Europe,14,Nissan Qashqai,"14,664",1.70%,-26.00%,"19,818",2.30%,3,Europe
Spain,EUCOM,Southwestern Europe,15,Renault Clio,"14,505",1.70%,-18.60%,"17,818",2.10%,4,Europe
Spain,EUCOM,Southwestern Europe,16,VW T-Cross,"13,741",1.60%,22.80%,"11,193",1.30%,25,Europe
Spain,EUCOM,Southwestern Europe,17,Opel Corsa,"13,669",1.60%,13.30%,"12,062",1.40%,21,Europe
Spain,EUCOM,Southwestern Europe,18,Seat Ateca,"13,304",1.50%,-2.20%,"13,605",1.60%,11,Europe
Spain,EUCOM,Southwestern Europe,19,Renault Captur,"13,110",1.50%,-7.70%,"14,196",1.70%,9,Europe
Spain,EUCOM,Southwestern Europe,20,Citroen C4 (est),"12,603",1.50%,933.00%,"1,220",0.10%,124,Europe
Spain,EUCOM,Southwestern Europe,21,Dacia Duster,"12,404",1.40%,7.20%,"11,568",1.40%,23,Europe
Spain,EUCOM,Southwestern Europe,22,Hyundai Kona,"12,234",1.40%,-13.30%,"14,117",1.70%,10,Europe
Spain,EUCOM,Southwestern Europe,23,Toyota Yaris,"11,363",1.30%,7.60%,"10,558",1.20%,27,Europe
Spain,EUCOM,Southwestern Europe,24,Kia Stonic,"11,331",1.30%,29.60%,"8,744",1.00%,33,Europe
Spain,EUCOM,Southwestern Europe,25,Kia Sportage,"10,238",1.20%,5.60%,"9,694",1.10%,30,Europe
Spain,EUCOM,Southwestern Europe,26,Ford Puma,"9,698",1.10%,14.10%,"8,500",1.00%,35,Europe
Spain,EUCOM,Southwestern Europe,27,Toyota RAV4,"9,444",1.10%,-15.20%,"11,138",1.30%,26,Europe
Spain,EUCOM,Southwestern Europe,28,Hyundai i20,"9,382",1.10%,21.50%,"7,721",0.90%,38,Europe
Spain,EUCOM,Southwestern Europe,29,Citroen C3 Aircross,"9,348",1.10%,1.80%,"9,179",1.10%,31,Europe
Spain,EUCOM,Southwestern Europe,30,Cupra Formentor,"9,208",1.10%,1471.30%,586,0.10%,168,Europe
Spain,EUCOM,Southwestern Europe,31,VW Polo,"9,018",1.00%,4.10%,"8,662",1.00%,34,Europe
Spain,EUCOM,Southwestern Europe,32,Kia Niro,"8,866",1.00%,22.40%,"7,246",0.90%,41,Europe
Spain,EUCOM,Southwestern Europe,33,Audi Q3,"8,776",1.00%,10.10%,"7,974",0.90%,37,Europe
Spain,EUCOM,Southwestern Europe,34,Kia Xceed,"8,685",1.00%,24.70%,"6,967",0.80%,45,Europe
