Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Switzerland,EUCOM,Western Europe,1,Tesla Model 3,"5,074",2.10%,0.50%,"5,051",2.10%,2,Europe
Switzerland,EUCOM,Western Europe,2,Skoda Octavia,"4,974",2.10%,-15.60%,"5,892",2.50%,1,Europe
Switzerland,EUCOM,Western Europe,3,Audi Q3,"3,960",1.70%,-2.00%,"4,041",1.70%,5,Europe
Switzerland,EUCOM,Western Europe,4,VW Tiguan,"3,842",1.60%,-22.60%,"4,965",2.10%,3,Europe
Switzerland,EUCOM,Western Europe,5,Fiat 500,"3,620",1.50%,12.90%,"3,207",1.40%,11,Europe
Switzerland,EUCOM,Western Europe,6,Mercedes A Class,"3,472",1.50%,-4.50%,"3,635",1.50%,7,Europe
Switzerland,EUCOM,Western Europe,7,Volvo XC40,"3,439",1.40%,1.90%,"3,376",1.40%,10,Europe
Switzerland,EUCOM,Western Europe,8,Toyota Yaris,"3,410",1.40%,28.10%,"2,663",1.10%,20,Europe
Switzerland,EUCOM,Western Europe,9,Skoda Karoq,"3,376",1.40%,-7.80%,"3,663",1.50%,6,Europe
Switzerland,EUCOM,Western Europe,10,BMW X3,"3,376",1.40%,15.30%,"2,927",1.20%,15,Europe
Switzerland,EUCOM,Western Europe,11,VW Polo,"3,361",1.40%,20.30%,"2,794",1.20%,18,Europe
Switzerland,EUCOM,Western Europe,12,VW Golf,"3,269",1.40%,-21.80%,"4,182",1.80%,4,Europe
Switzerland,EUCOM,Western Europe,13,"Mini Hatch (incl Cabrio, Clubman)","3,101",1.30%,-8.20%,"3,379",1.40%,9,Europe
Switzerland,EUCOM,Western Europe,14,BMW X1,"2,985",1.30%,-6.30%,"3,185",1.30%,12,Europe
Switzerland,EUCOM,Western Europe,15,Dacia Sandero,"2,865",1.20%,35.50%,"2,114",0.90%,34,Europe
Switzerland,EUCOM,Western Europe,16,VW T-Roc,"2,823",1.20%,-1.60%,"2,870",1.20%,17,Europe
Switzerland,EUCOM,Western Europe,17,Mercedes GLC,"2,751",1.20%,-20.90%,"3,480",1.50%,8,Europe
Switzerland,EUCOM,Western Europe,18,Skoda Fabia,"2,698",1.10%,33.30%,"2,024",0.90%,37,Europe
Switzerland,EUCOM,Western Europe,19,BMW 1 Series,"2,657",1.10%,15.90%,"2,293",1.00%,27,Europe
Switzerland,EUCOM,Western Europe,20,Hyundai Tucson,"2,442",1.00%,87.10%,"1,305",0.60%,61,Europe
Switzerland,EUCOM,Western Europe,21,VW ID.3,"2,423",1.00%,140.90%,"1,006",0.40%,78,Europe
Switzerland,EUCOM,Western Europe,22,Volvo XC60,"2,379",1.00%,-6.10%,"2,534",1.10%,22,Europe
Switzerland,EUCOM,Western Europe,23,Seat Ateca,"2,356",1.00%,-11.50%,"2,663",1.10%,19,Europe
Switzerland,EUCOM,Western Europe,24,Dacia Duster,"2,323",1.00%,1.40%,"2,290",1.00%,28,Europe
Switzerland,EUCOM,Western Europe,25,Audi A3,"2,305",1.00%,-1.20%,"2,332",1.00%,26,Europe
Switzerland,EUCOM,Western Europe,26,BMW 3 Series,"2,301",1.00%,-8.80%,"2,523",1.10%,23,Europe
Switzerland,EUCOM,Western Europe,27,Skoda Kodiaq,"2,288",1.00%,-24.30%,"3,023",1.30%,13,Europe
Switzerland,EUCOM,Western Europe,28,BMW X5,"2,206",0.90%,3.60%,"2,129",0.90%,33,Europe
Switzerland,EUCOM,Western Europe,29,Skoda Enyaq,"2,188",0.90%,new,0,0.00%, –,Europe
Switzerland,EUCOM,Western Europe,30,Mercedes GLE,"2,135",0.90%,-6.00%,"2,272",1.00%,29,Europe
Switzerland,EUCOM,Western Europe,31,Cupra Formentor,"2,127",0.90%,531.20%,337,0.10%,167,Europe
Switzerland,EUCOM,Western Europe,32,Audi Q5,"2,116",0.90%,76.30%,"1,200",0.50%,63,Europe
Switzerland,EUCOM,Western Europe,33,Mercedes GLA,"2,107",0.90%,2.60%,"2,053",0.90%,36,Europe
Switzerland,EUCOM,Western Europe,34,VW T6,"2,095",0.90%,-29.50%,"2,972",1.30%,14,Europe
Switzerland,EUCOM,Western Europe,35,Seat Leon,"2,077",0.90%,-12.10%,"2,363",1.00%,25,Europe
Switzerland,EUCOM,Western Europe,36,Peugeot 208,"2,033",0.90%,20.50%,"1,687",0.70%,44,Europe
Switzerland,EUCOM,Western Europe,37,Seat Ibiza,"2,027",0.80%,9.90%,"1,845",0.80%,39,Europe
Switzerland,EUCOM,Western Europe,38,Toyota RAV4,"2,024",0.80%,39.30%,"1,453",0.60%,55,Europe
Switzerland,EUCOM,Western Europe,39,Ford Kuga,"1,964",0.80%,28.20%,"1,532",0.60%,53,Europe
Switzerland,EUCOM,Western Europe,40,Ford Puma,"1,944",0.80%,9.00%,"1,783",0.80%,40,Europe
Switzerland,EUCOM,Western Europe,41,Hyundai Kona,"1,933",0.80%,-24.90%,"2,573",1.10%,21,Europe
Switzerland,EUCOM,Western Europe,42,Suzuki Swift,"1,904",0.80%,12.70%,"1,690",0.70%,43,Europe
Switzerland,EUCOM,Western Europe,43,Mercedes C Class,"1,836",0.80%,-16.30%,"2,193",0.90%,31,Europe
Switzerland,EUCOM,Western Europe,44,BMW 2 Series,"1,831",0.80%,-26.30%,"2,485",1.00%,24,Europe
Switzerland,EUCOM,Western Europe,45,Renault Clio,"1,745",0.70%,-12.60%,"1,996",0.80%,38,Europe
Switzerland,EUCOM,Western Europe,46,Audi A1,"1,714",0.70%,36.50%,"1,256",0.50%,62,Europe
Switzerland,EUCOM,Western Europe,47,Toyota Corolla,"1,670",0.70%,6.60%,"1,567",0.70%,49,Europe
Switzerland,EUCOM,Western Europe,48,Skoda Kamiq,"1,665",0.70%,6.10%,"1,569",0.70%,48,Europe
Switzerland,EUCOM,Western Europe,49,VW T-Cross,"1,600",0.70%,-4.80%,"1,680",0.70%,46,Europe
Switzerland,EUCOM,Western Europe,50,Renault Zoe,"1,557",0.70%,-46.10%,"2,890",1.20%,16,Europe
Switzerland,EUCOM,Western Europe,51,Renault Captur,"1,509",0.60%,-30.00%,"2,155",0.90%,32,Europe
