Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
United Arab Emirates,CENTCOM,West Asia,1,Toyota Land Cruiser SW,"13,101",6.80%,-1.40%,"13,288",8.70%,2,Asia
United Arab Emirates,CENTCOM,West Asia,2,Nissan Patrol,"11,950",6.20%,-15.60%,"14,162",9.30%,1,Asia
United Arab Emirates,CENTCOM,West Asia,3,Toyota Hilux,"10,543",5.50%,11.60%,"9,451",6.20%,3,Asia
United Arab Emirates,CENTCOM,West Asia,4,Nissan Sunny,"9,839",5.10%,65.70%,"5,937",3.90%,4,Asia
United Arab Emirates,CENTCOM,West Asia,5,Mitsubishi Attrage,"7,691",4.00%,186.80%,"2,682",1.80%,11,Asia
United Arab Emirates,CENTCOM,West Asia,6,Mitsubishi Pajero,"7,269",3.80%,40.60%,"5,171",3.40%,5,Asia
United Arab Emirates,CENTCOM,West Asia,7,Toyota Camry,"4,751",2.50%,17.60%,"4,039",2.70%,7,Asia
United Arab Emirates,CENTCOM,West Asia,8,Toyota Prado,"4,629",2.40%,-9.70%,"5,128",3.40%,6,Asia
United Arab Emirates,CENTCOM,West Asia,9,Toyota Hiace,"4,584",2.40%,46.70%,"3,125",2.10%,9,Asia
United Arab Emirates,CENTCOM,West Asia,10,Mitsubishi L200,"4,003",2.10%,37.80%,"2,905",1.90%,10,Asia
United Arab Emirates,CENTCOM,West Asia,11,Toyota Yaris,"3,989",2.10%,82.10%,"2,190",1.40%,12,Asia
United Arab Emirates,CENTCOM,West Asia,12,Suzuki Swift Dzire,"3,905",2.00%,847.80%,412,0.30%,70,Asia
United Arab Emirates,CENTCOM,West Asia,13,Mitsubishi Montero Sport,"3,332",1.70%,487.70%,567,0.40%,59,Asia
United Arab Emirates,CENTCOM,West Asia,14,Toyota Fortuner,"3,108",1.60%,45.00%,"2,144",1.40%,13,Asia
United Arab Emirates,CENTCOM,West Asia,15,Toyota Corolla,"3,019",1.60%,48.40%,"2,035",1.30%,16,Asia
United Arab Emirates,CENTCOM,West Asia,16,Nissan Kicks,"2,611",1.40%,26.80%,"2,059",1.40%,15,Asia
United Arab Emirates,CENTCOM,West Asia,17,Toyota Land Cruiser H/D,"2,569",1.30%,-35.30%,"3,973",2.60%,8,Asia
United Arab Emirates,CENTCOM,West Asia,18,Nissan X-Trail,"2,402",1.20%,35.90%,"1,768",1.20%,18,Asia
United Arab Emirates,CENTCOM,West Asia,19,Nissan Altima,"2,343",1.20%,20.60%,"1,943",1.30%,17,Asia
United Arab Emirates,CENTCOM,West Asia,20,Jeep Wrangler,"2,311",1.20%,50.00%,"1,541",1.00%,22,Asia
United Arab Emirates,CENTCOM,West Asia,21,Toyota Rush,"2,267",1.20%,42.30%,"1,593",1.00%,21,Asia
United Arab Emirates,CENTCOM,West Asia,22,Lexus LX,"2,192",1.10%,4.00%,"2,107",1.40%,14,Asia
United Arab Emirates,CENTCOM,West Asia,23,Nissan X Terra,"2,053",1.10%,1159.50%,163,0.10%,132,Asia
United Arab Emirates,CENTCOM,West Asia,24,Toyota RAV4,"1,914",1.00%,14.50%,"1,671",1.10%,20,Asia
United Arab Emirates,CENTCOM,West Asia,25,Nissan Urvan,"1,802",0.90%,5.30%,"1,711",1.10%,19,Asia
United Arab Emirates,CENTCOM,West Asia,26,Chevrolet Captiva,"1,792",0.90%,133.00%,769,0.50%,45,Asia
United Arab Emirates,CENTCOM,West Asia,27,Hyundai Accent,"1,733",0.90%,57.70%,"1,099",0.70%,28,Asia
United Arab Emirates,CENTCOM,West Asia,28,Gmc Sierra,"1,447",0.80%,36.30%,"1,062",0.70%,31,Asia
United Arab Emirates,CENTCOM,West Asia,29,Kia Seltos,"1,393",0.70%,97.60%,705,0.50%,46,Asia
United Arab Emirates,CENTCOM,West Asia,30,Gmc Yukon,"1,337",0.70%,176.20%,484,0.30%,65,Asia
United Arab Emirates,CENTCOM,West Asia,31,Hino 300 Series,"1,326",0.70%,-6.40%,"1,417",0.90%,24,Asia
United Arab Emirates,CENTCOM,West Asia,32,Kia Pegas,"1,308",0.70%,66.60%,785,0.50%,44,Asia
United Arab Emirates,CENTCOM,West Asia,33,Lexus ES,"1,264",0.70%,10.10%,"1,148",0.80%,26,Asia
United Arab Emirates,CENTCOM,West Asia,34,Toyota FJ Cruiser,"1,256",0.70%,17.40%,"1,070",0.70%,30,Asia
United Arab Emirates,CENTCOM,West Asia,35,Mazda 6,"1,185",0.60%,45.90%,812,0.50%,42,Asia
United Arab Emirates,CENTCOM,West Asia,36,Mitsubishi ASX,"1,181",0.60%,27.80%,924,0.60%,36,Asia
United Arab Emirates,CENTCOM,West Asia,37,Kia Sportage,"1,159",0.60%,-19.80%,"1,445",0.90%,23,Asia
