Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Uruguay,SOUTHCOM,South America,1,Fiat Strada,"4,597",9.30%,,,,,South America
Uruguay,SOUTHCOM,South America,2,Hyundai HB20,"3,723",7.50%,,,,,South America
Uruguay,SOUTHCOM,South America,3,Renault Kwid,"1,886",3.80%,,,,,South America
Uruguay,SOUTHCOM,South America,4,Suzuki Swift,"1,841",3.70%,,,,,South America
Uruguay,SOUTHCOM,South America,5,Renault Oroch,"1,699",3.40%,,,,,South America
Uruguay,SOUTHCOM,South America,6,VW Saveiro,"1,503",3.00%,,,,,South America
Uruguay,SOUTHCOM,South America,7,Suzuki Alto,"1,444",2.90%,,,,,South America
Uruguay,SOUTHCOM,South America,8,VW Gol,"1,374",2.80%,,,,,South America
Uruguay,SOUTHCOM,South America,9,Chevrolet Joy,"1,365",2.80%,,,,,South America
Uruguay,SOUTHCOM,South America,10,Chevrolet Onix,"1,341",2.70%,,,,,South America
Uruguay,SOUTHCOM,South America,11,Toyota Hilux,"1,144",2.30%,,,,,South America
Uruguay,SOUTHCOM,South America,12,Nissan Versa,994,2.00%,,,,,South America
Uruguay,SOUTHCOM,South America,13,Fiat Mobi,932,1.90%,,,,,South America
Uruguay,SOUTHCOM,South America,14,VW Up,850,1.70%,,,,,South America
Uruguay,SOUTHCOM,South America,15,Nissan Frontier,725,1.50%,,,,,South America
Uruguay,SOUTHCOM,South America,16,Chevrolet S10,532,1.10%,,,,,South America
Uruguay,SOUTHCOM,South America,17,Fiat Fiorino,438,0.90%,,,,,South America
Uruguay,SOUTHCOM,South America,18,Citroen Berlingo,428,0.90%,,,,,South America
Uruguay,SOUTHCOM,South America,19,Peugeot Partner,400,0.80%,,,,,South America
Uruguay,SOUTHCOM,South America,20,Fiat Toro,260,0.50%,,,,,South America
