Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Vietnam,INDOPACOM,Southeast Asia,1,VinFast Fadil,"24,128",5.90%,77.40%,"13,600",3.40%,5,Asia
Vietnam,INDOPACOM,Southeast Asia,2,Hyundai Accent,"19,956",4.90%,-3.90%,"20,776",5.20%,2,Asia
Vietnam,INDOPACOM,Southeast Asia,3,Toyota Vios,"19,934",4.90%,-34.10%,"30,251",7.50%,1,Asia
Vietnam,INDOPACOM,Southeast Asia,4,Toyota Corolla Cross,"18,411",4.50%,211.20%,"5,916",1.50%,18,Asia
Vietnam,INDOPACOM,Southeast Asia,5,Kia Seltos,"16,122",3.90%,165.80%,"6,065",1.50%,17,Asia
Vietnam,INDOPACOM,Southeast Asia,6,Ford Ranger,"15,650",3.80%,17.70%,"13,291",3.30%,6,Asia
Vietnam,INDOPACOM,Southeast Asia,7,Mitsubishi Xpander,"13,616",3.30%,-19.20%,"16,844",4.20%,4,Asia
Vietnam,INDOPACOM,Southeast Asia,8,Hyundai Santa Fe,"12,160",3.00%,6.40%,"11,425",2.80%,9,Asia
Vietnam,INDOPACOM,Southeast Asia,9,Hyundai Grand i10,"11,732",2.90%,-33.20%,"17,569",4.40%,3,Asia
Vietnam,INDOPACOM,Southeast Asia,10,Kia Cerato/K3,"10,505",2.60%,-12.70%,"12,033",3.00%,7,Asia
Vietnam,INDOPACOM,Southeast Asia,11,Mazda CX-5,"10,230",2.50%,-13.30%,"11,803",2.90%,8,Asia
Vietnam,INDOPACOM,Southeast Asia,12,Honda City,"9,745",2.40%,74.40%,"5,589",1.40%,20,Asia
Vietnam,INDOPACOM,Southeast Asia,13,Hyundai Tucson,"8,573",2.10%,-21.10%,"10,872",2.70%,11,Asia
Vietnam,INDOPACOM,Southeast Asia,14,Toyota Fortuner,"6,351",1.50%,-25.40%,"8,512",2.10%,13,Asia
Vietnam,INDOPACOM,Southeast Asia,15,VinFast Lux A2.0,"6,330",1.50%,24.40%,"5,089",1.30%,23,Asia
Vietnam,INDOPACOM,Southeast Asia,16,Mitsubishi Attrage,"6,075",1.50%,25.80%,"4,830",1.20%,25,Asia
Vietnam,INDOPACOM,Southeast Asia,17,Honda CR-V,"5,854",1.40%,-48.50%,"11,365",2.80%,10,Asia
Vietnam,INDOPACOM,Southeast Asia,18,Ford Everest,"5,485",1.30%,-7.10%,"5,902",1.50%,19,Asia
Vietnam,INDOPACOM,Southeast Asia,19,Mazda3,"5,333",1.30%,-45.40%,"9,775",2.40%,12,Asia
Vietnam,INDOPACOM,Southeast Asia,20,VinFast Lux SA2.0,"5,180",1.30%,18.10%,"4,385",1.10%,28,Asia
Vietnam,INDOPACOM,Southeast Asia,21,Suzuki XL7,"5,175",1.30%,16.70%,"4,433",1.10%,27,Asia
Vietnam,INDOPACOM,Southeast Asia,22,Hyundai Kona,"5,068",1.20%,-35.50%,"7,863",2.00%,15,Asia
Vietnam,INDOPACOM,Southeast Asia,23,Kia Sorento,"4,753",1.20%,84.70%,"2,573",0.60%,38,Asia
Vietnam,INDOPACOM,Southeast Asia,24,Kia Soluto,"4,500",1.10%,-46.00%,"8,334",2.10%,14,Asia
Vietnam,INDOPACOM,Southeast Asia,25,Toyota Hilux,"4,413",1.10%,69.00%,"2,612",0.70%,37,Asia
Vietnam,INDOPACOM,Southeast Asia,26,Toyota Camry,"4,205",1.00%,-22.20%,"5,406",1.30%,22,Asia
Vietnam,INDOPACOM,Southeast Asia,27,Kia Morning,"3,904",1.00%,-37.10%,"6,208",1.50%,16,Asia
Vietnam,INDOPACOM,Southeast Asia,28,Mitsubishi Triton,"3,683",0.90%,63.90%,"2,247",0.60%,42,Asia
Vietnam,INDOPACOM,Southeast Asia,29,Suzuki Carry,"3,672",0.90%,12.30%,"3,271",0.80%,31,Asia
Vietnam,INDOPACOM,Southeast Asia,30,Toyota Rush,"3,663",0.90%,-13.60%,"4,241",1.10%,29,Asia
Vietnam,INDOPACOM,Southeast Asia,31,Mazda CX-8,"3,603",0.90%,-26.20%,"4,885",1.20%,24,Asia
Vietnam,INDOPACOM,Southeast Asia,32,Kia Sedona/Carnival,"3,586",0.90%,82.90%,"1,961",0.50%,43,Asia
Vietnam,INDOPACOM,Southeast Asia,33,Mazda2,"3,247",0.80%,16.80%,"2,779",0.70%,36,Asia
Vietnam,INDOPACOM,Southeast Asia,34,Toyota Innova,"3,002",0.70%,-44.60%,"5,423",1.40%,21,Asia
Vietnam,INDOPACOM,Southeast Asia,35,Hyundai Elantra,"2,912",0.70%,-38.00%,"4,694",1.20%,26,Asia
Vietnam,INDOPACOM,Southeast Asia,36,Honda Brio,"2,870",0.70%,-1.20%,"2,906",0.70%,34,Asia
Vietnam,INDOPACOM,Southeast Asia,37,Mitsubishi Outlander,"2,793",0.70%,-29.60%,"3,969",1.00%,30,Asia
Vietnam,INDOPACOM,Southeast Asia,38,Suzuki Super Carry,"2,746",0.70%,-12.50%,"3,137",0.80%,32,Asia
Vietnam,INDOPACOM,Southeast Asia,39,Toyota Wigo,"2,491",0.60%,-2.70%,"2,561",0.60%,39,Asia
Vietnam,INDOPACOM,Southeast Asia,40,Toyota Corolla,"1,954",0.50%,-33.70%,"2,945",0.70%,33,Asia
Vietnam,INDOPACOM,Southeast Asia,41,Honda Civic,"1,948",0.50%,-21.40%,"2,478",0.60%,41,Asia
Vietnam,INDOPACOM,Southeast Asia,42,Kia Sonet,"1,742",0.40%,new,0,0.00%, –,Asia
Vietnam,INDOPACOM,Southeast Asia,43,Mazda CX-3,"1,596",0.40%,new,0,0.00%, –,Asia
Vietnam,INDOPACOM,Southeast Asia,44,Ford Ecosport,"1,490",0.40%,-47.00%,"2,813",0.70%,35,Asia
Vietnam,INDOPACOM,Southeast Asia,45,Mazda BT-50,"1,288",0.30%,-3.10%,"1,329",0.30%,47,Asia
Vietnam,INDOPACOM,Southeast Asia,46,Suzuki Ertiga,"1,198",0.30%,-52.80%,"2,537",0.60%,40,Asia
Vietnam,INDOPACOM,Southeast Asia,47,Honda HR-V,"1,161",0.30%,-32.20%,"1,712",0.40%,44,Asia
Vietnam,INDOPACOM,Southeast Asia,48,Mazda6,"1,122",0.30%,-32.10%,"1,653",0.40%,45,Asia
Vietnam,INDOPACOM,Southeast Asia,49,Toyota Yaris,"1,118",0.30%,-28.70%,"1,569",0.40%,46,Asia
Vietnam,INDOPACOM,Southeast Asia,50,Mitsubishi Pajero Sport,"1,076",0.30%,18.80%,906,0.20%,53,Asia
Vietnam,INDOPACOM,Southeast Asia,51,Ford Transit,898,0.20%,-26.30%,"1,219",0.30%,49,Asia
Vietnam,INDOPACOM,Southeast Asia,52,Mazda CX-30,867,0.20%,new,0,0.00%, –,Asia
