Model,Sales,Type
Toyota Corolla,1085387,ZZZ
Toyota RAV4,986385,SUV
Ford F Series,855869,Pickup Truck
Honda CR-V,682026,SUV
Toyota Camry,675857,ZZZ
Ram 1500-4000,668771,Pickup Truck
Chevrolet Silverado,591217,Pickup Truck
Honda Civic,559914,ZZZ
VW Tiguan,525772,SUV
Nissan Sylphy,507870,ZZZ
Toyota Yaris,505076,ZZZ
Tesla Model 3,495963,ZZZ
Hyundai Tucson,492143,SUV
Honda HR-V,457853,SUV
VW Lavida,430030,ZZZ
Honda Accord,419799,ZZZ
Toyota Highlander,399569,SUV
Wuling Hongguang Mini EV,390089,ZZZ
Mazda CX-5,374863,SUV
Kia Sportage,374385,SUV
Tesla Model Y,370994,SUV
Haval H6,361635,SUV
VW Polo,356851,ZZZ
Nissan Qashqai,339846,SUV
Toyota Hilux,332369,Pickup Truck
Hyundai Elantra,323430,ZZZ
Nissan Rogue,315530,SUV
Chery Tiggo,309578,SUV
VW Golf,309105,ZZZ
GMC Sierra,308677,Pickup Truck
Peugeot 206/405/Pars,302495,ZZZ
Jeep Grand Cherokee,301849,SUV
Ford Ranger,300819,Pickup Truck
Saipa Tiba,291217,ZZZ
BMW X3,288212,SUV
Hyundai Creta,286702,ZZZ
Kia Seltos,283265,SUV
VW T-Roc,279918,SUV
Ford Explorer,276680,SUV
VW T-Cross,275735,SUV
Buick Excelle,275732,ZZZ
Toyota Tacoma,272702,Pickup Truck
Mercedes GLC,271952,SUV
VW Passat,271841,ZZZ
Hyundai Kona,267602,SUV
VW Bora,265950,ZZZ
Jeep Wrangler,263678,SUV
Mercedes E Class,243104,ZZZ
VW Sagitar,242937,ZZZ
Jeep Compass,236571,SUV
Toyota C-HR,231929,SUV
Subaru Forester,231505,SUV
Audi Q3,229288,SUV
Nissan Kicks,224072,SUV
Mercedes C Class,222322,ZZZ
Audi A6,221557,ZZZ
BMW X1,220645,SUV
Hyundai Santa Fe,218749,SUV
Toyota Levin,216286,ZZZ
Kia Rio,213077,ZZZ
Ford Escape,212883,SUV
Chevrolet Equinox,211691,SUV
Mercedes A Class,205390,ZZZ
Changan CS75 Plus,202579,SUV
Mazda CX-30,200949,SUV
Kia K5,197625,ZZZ
Nissan X-Trail,197102,SUV
Subaru Outback,195511,SUV
Jeep Renegade,195322,SUV
Wuling Hongguang,193809,ZZZ
Kia Sorento,192666,SUV
Hyundai Sonata,190460,ZZZ
Honda N-BOX,188940,ZZZ
Lexus RX,186363,SUV
Volvo XC60,186143,SUV
Honda XR-V,185327,SUV
Hyundai Venue,184035,SUV
Maruti Suzuki Wagon R,183851,ZZZ
Geely Emgrand,176995,ZZZ
Maruti Suzuki Swift,175052,ZZZ
Skoda Octavia,173498,ZZZ
Citroen C3,172951,ZZZ
Mercedes GLE,172632,SUV
BMW 5 Series L,172563,ZZZ
Maruti Suzuki Baleno,172237,ZZZ
Lexus ES,171432,ZZZ
BMW 3 Series L,171203,ZZZ
Honda Fit,170858,ZZZ
Dacia Duster,170386,SUV
Volvo XC40,170300,SUV
Changan Eado,170099,ZZZ
Maruti Suzuki Alto,166233,ZZZ
Mitsubishi Outlander,164949,SUV
Nissan Sentra,164515,ZZZ
Peugeot 3008,163470,SUV
Honda Breeze,162927,SUV
VW Santana,162703,ZZZ
Nissan Teana,162264,ZZZ
BMW X5,160264,SUV
Toyota Land Cruiser,160020,SUV
Buick GL8,156819,Van
Hyundai Palisade,156370,SUV
Nissan Versa,156159,ZZZ
Opel Corsa,155367,ZZZ
Geely Boyue,154712,SUV
Toyota 4Runner,154055,SUV
Renault Clio,152037,ZZZ
Honda Pilot,151241,SUV
Subaru Crosstrek,150808,SUV
VW Magotan,150569,ZZZ
Honda Odyssey,150327,Van
Ford Transit,147285,Van
Peugeot 2008,146853,SUV
Kia Forte,146378,ZZZ
Audi A3,144460,ZZZ
Haval M6,143744,SUV
Ford Puma,143686,ZZZ
Dacia Sandero,139777,ZZZ
Fiat 500,137615,ZZZ
Mazda3,137600,ZZZ
Toyota Avalon,137350,ZZZ
VW Tharu,135107,ZZZ
Toyota Roomy,134801,ZZZ
Toyota Sienna,132293,Van
Mercedes GLB,131474,SUV
Fiat Panda,131068,ZZZ
Chevrolet Traverse,130444,SUV
Suzuki Spacia,128881,ZZZ
Changan CS55 Plus,128758,ZZZ
Hyundai Grand i10,128579,ZZZ
Chevrolet Trailblazer,128295,SUV
Ford Edge,127892,SUV
COS X5,126685,ZZZ
Kia Niro,126567,SUV
BYD Song PLUS,125882,SUV
Audi Q5L,125762,ZZZ
BYD Qin PLUS,125344,ZZZ
Suzuki Swift,125292,ZZZ
Buick Envision,125070,SUV
Hongqi HS5,125063,SUV
Roewe i5/Ei5,124592,ZZZ
Ford Bronco Sport,123457,SUV
Audi Q5,123443,SUV
Toyota Alphard,122836,ZZZ
Lada Vesta,122387,ZZZ
BMW 3 Series,121827,ZZZ
Peugeot 208,121737,ZZZ
Audi A4L,121726,ZZZ
Chevrolet Tahoe,121210,SUV
Toyota Prius,121153,ZZZ
Daihatsu Tanto,116912,ZZZ
Lexus NX,116260,SUV
Suzuki Alto,116250,Van
Maruti Suzuki DZire,116222,ZZZ
Maruti Suzuki Vitara Brezza,115962,ZZZ
Lada Granta,115760,ZZZ
Renault Captur,114749,SUV
Maruti Suzuki Eeco,114524,ZZZ
Maruti Suzuki Ertiga,114408,ZZZ
Renault Kwid,114170,ZZZ
Geely Xingrui,114100,ZZZ
Fiat Strada,113704,Pickup Truck
VW Tayron,113161,SUV
Nissan Altima,113034,ZZZ
MG ZS,109663,SUV
Hyundai i30,109407,ZZZ
BYD Han,108734,ZZZ
Tata Nexon,108577,SUV
Skoda Karoq,107943,ZZZ
Buick Regal,107685,ZZZ
BMW 1 Series,107306,ZZZ
Toyota Vios,107131,ZZZ
Toyota Raize,106360,SUV
Chevrolet Monza,105645,ZZZ
Toyota Fortuner,105002,SUV
Haval Big Dog,104669,SUV
Skoda Kamiq,104565,ZZZ
Jeep Cherokee,104506,SUV
Ford Ecosport,103612,SUV
Chrysler Pacifica,103197,Van
Toyota Wildlander,103071,SUV
Ford Focus,102749,ZZZ
Seat Arona,101611,SUV
MG 5,100352,ZZZ
Roewe RX5,100179,SUV
Saipa Quick,99717,ZZZ
Kia Telluride,98531,SUV
Chevrolet Malibu,98485,ZZZ
Nissan Navara,98466,Pickup Truck
Jeep Gladiator,98413,Pickup Truck
Kia Stonic,97820,SUV
Mercedes GLA,97044,ZZZ
Geely Binyue,96226,SUV
Daihatsu Move,95840,ZZZ
Hyundai Porter,95741,Pickup Truck
Geely Vision X3,94618,ZZZ
Kia Carnival,94004,ZZZ
